"Wight and Sozen, 1973, Spec. WS25033W"	
27.818	68.37
26.81	63.531
26.005	59.132
25.349	56.049
24.846	53.323
24.241	50.418
23.535	46.989
22.779	43.732
22.174	40.828
21.62	38.452
20.461	33.877
18.949	27.629
18.294	25.254
17.538	22.526
16.127	17.598
14.212	11.527
12.952	7.9192
12.146	5.8073
10.684	2.9037
9.3736	0.61596
8.2649	-1.2319
7.3076	-2.7277
6.2995	-4.1356
5.3421	-5.8954
3.3261	-10.647
2.419	-13.023
1.5119	-15.927
0.70556	-18.302
-0.10079	-21.206
-1.2599	-24.99
-2.0663	-27.454
-3.0239	-30.445
-4.1326	-34.053
-4.8885	-36.869
-5.3924	-38.98
-5.9972	-41.444
-6.7028	-44.172
-7.7107	-47.514
-8.6683	-50.067
-9.4242	-52.353
-10.331	-55.346
-11.087	-57.459
-12.045	-60.008
-13.506	-63.62
-14.716	-66.787
-16.53	-70.394
-17.84	-72.943
-19.705	-76.377
-21.973	-79.103
-24.09	-81.394
-25.651	-83.24
-26.962	-84.383
-28.12	-85.086
-29.027	-85.526
-29.533	-85.878
-30.035	-86.144
-28.979	-80.246
-28.524	-77.431
-27.767	-72.591
-27.064	-67.667
-26.459	-62.913
-25.753	-58.162
-25.198	-54.466
-24.644	-50.858
-23.938	-46.722
-23.182	-42.764
-22.628	-40.124
-21.922	-37.22
-20.763	-32.909
-20.007	-30.269
-19.1	-26.837
-17.488	-20.854
-16.328	-16.63
-15.522	-13.638
-14.917	-11.439
-14.111	-8.3591
-13.254	-5.4555
-12.498	-3.2557
-11.692	-1.4079
-10.785	0.61596
-10.079	1.8478
-7.761	5.2793
-6.602	7.0394
-5.2413	9.0632
-3.8806	11.175
-2.923	12.583
-1.6127	14.607
-0.40317	16.454
1.7639	19.358
1.9655	19.622
2.1167	19.798
3.3261	21.558
4.2334	24.549
5.5436	28.597
6.4508	31.413
7.3579	33.877
7.9626	35.636
8.8697	38.012
9.6258	40.124
10.432	42.412
11.339	45.138
12.347	47.429
13.405	50.245
14.363	52.793
15.27	55.258
16.429	58.424
17.689	61.596
18.092	62.65
18.647	64.323
19.453	66.698
20.158	68.544
20.864	70.305
21.922	72.769
22.628	74.442
23.434	76.199
24.14	77.52
24.896	78.663
25.55	79.895
26.205	80.865
27.115	81.745
27.767	82.27
28.423	82.626
28.776	82.888
28.979	82.888
28.524	78.93
28.222	75.847
27.97	72.329
27.767	70.043
27.417	67.578
27.064	64.411
26.711	61.858
26.307	58.865
25.954	56.579
25.299	52.971
24.644	49.978
24.14	47.691
23.485	45.054
22.779	41.884
21.469	36.076
20.814	33.525
19.957	30.005
19.05	26.573
18.294	23.758
17.387	20.678
16.48	17.774
15.472	14.519
14.565	11.967
13.557	9.1513
12.7	6.8633
11.944	5.0156
11.289	3.4317
10.483	1.7598
10.029	0.8799
8.2649	-1.5838
7.257	-2.3758
6.1989	-3.1677
4.6868	-4.7514
3.427	-6.7752
2.2678	-8.8871
1.1591	-11.439
0.40317	-13.287
-0.75595	-16.19
-1.2599	-17.598
-1.7639	-19.446
-2.6205	-22.35
-3.2758	-24.374
-3.9812	-26.837
-4.6868	-29.565
-5.2916	-32.029
-5.8964	-34.581
-6.4003	-37.044
-7.1562	-40.036
-8.4666	-44.084
-8.6683	-45.054
-9.4745	-47.429
-10.432	-50.418
-11.541	-53.585
-12.347	-56.138
-13.607	-59.132
-14.565	-61.24
-15.572	-63.62
-16.681	-65.995
-17.992	-68.633
-19.1	-71.008
-20.209	-73.121
-21.116	-74.882
-22.023	-76.288
-22.981	-77.782
-24.19	-79.37
-25.903	-81.216
-27.013	-82.448
-27.719	-83.151
-28.524	-83.68
-29.332	-84.121
-29.533	-84.121
-29.18	-80.865
-28.776	-77.871
-28.273	-74.967
-27.719	-71.889
-27.163	-67.752
-26.81	-64.496
-26.307	-61.329
-25.601	-57.984
-24.745	-53.941
-23.938	-50.156
-22.981	-45.405
-22.275	-41.796
-21.368	-37.836
-20.511	-34.492
-19.503	-30.533
-18.496	-26.486
-17.538	-23.23
-16.429	-19.182
-15.421	-15.399
-14.514	-12.143
-13.557	-8.8871
-12.246	-4.8394
-10.936	-0.96788
-10.281	0.61596
-8.2146	4.1356
-7.1059	5.8954
-6.098	7.4793
-4.6365	9.9431
-3.3767	12.055
-2.0158	14.255
-1.1087	15.399
0.50396	17.774
1.7639	19.358
3.3767	20.942
4.8885	22.702
5.4933	24.109
6.4508	26.661
7.4082	29.037
8.0635	31.061
8.8194	33.613
9.4242	35.548
9.8778	36.869
10.684	38.892
11.591	41.092
12.498	43.38
13.254	45.405
14.212	47.691
15.119	49.804
16.127	52.179
16.58	53.234
17.588	55.524
18.445	57.548
19.251	59.483
20.259	61.68
21.015	63.442
22.124	65.906
22.779	67.312
23.837	70.127
24.694	72.943
25.299	74.704
26.256	76.639
27.465	78.752
28.07	79.633
28.826	80.162
29.23	79.281
29.23	77.168
29.078	74.442
28.877	72.151
28.524	69.602
27.767	64.585
27.115	60.804
26.558	58.34
25.702	54.555
25.047	51.561
24.291	47.954
23.485	43.732
22.578	39.86
21.721	36.076
20.763	31.677
20.007	28.597
19.201	25.781
18.244	22.438
17.336	19.446
16.127	16.366
15.321	14.166
14.162	11.175
12.045	6.0715
11.238	4.2236
10.432	2.5517
9.4242	1.1439
8.5169	0.08799
7.4082	-1.0559
6.2492	-2.1118
5.2916	-3.1677
3.9812	-5.1036
1.8143	-8.799
1.0079	-10.823
-1.2095	-15.047
-1.9151	-16.543
-2.5702	-18.214
-3.2253	-19.974
-3.7798	-21.646
-4.334	-23.582
-4.8379	-26.309
-5.3421	-28.773
-5.8964	-31.061
-6.5011	-33.173
-7.0556	-34.932
-7.9626	-37.484
-8.6177	-39.508
-9.3736	-41.532
-10.029	-43.468
-10.987	-46.548
-11.692	-48.835
-12.347	-51.036
-12.851	-52.793
-13.557	-54.817
-14.313	-57.192
-15.018	-59.394
-16.026	-61.769
-16.832	-63.793
-17.84	-65.995
-18.848	-68.633
-19.705	-70.394
-20.209	-71.537
-22.426	-74.704
-23.333	-75.585
-24.14	-76.466
-25.198	-77.609
-26.609	-79.192
-27.567	-80.335
-28.423	-81.038
-29.078	-81.394
-29.23	-81.394
-29.027	-78.752
-28.626	-76.288
-28.273	-73.823
-27.767	-70.483
-27.315	-67.312
-27.013	-64.323
-26.761	-61.68
-26.408	-58.513
-25.954	-55.169
-25.299	-51.477
-24.594	-47.429
-23.787	-42.676
-23.081	-39.42
-22.275	-35.46
-21.217	-30.797
-20.511	-27.805
-19.604	-24.109
-18.899	-21.118
-17.588	-16.982
-15.925	-12.231
-14.262	-7.7431
-13.002	-4.6637
-10.533	0.8799
-9.3736	2.8157
-8.1643	4.6637
-6.4508	6.7752
-4.6868	9.4151
-1.6127	13.815
-0.45357	15.31
0.75595	16.894
2.1671	18.742
3.5278	20.238
4.5357	21.382
5.3924	22.262
6.5011	23.758
7.6601	25.517
8.8194	27.629
9.9281	29.829
10.987	32.381
11.843	34.669
12.347	36.164
12.952	38.012
13.708	40.388
14.313	42.412
15.169	45.138
16.228	48.132
17.286	50.947
18.143	53.234
19.403	56.227
20.36	58.78
21.318	61.418
22.225	63.62
23.132	65.728
23.888	67.667
24.694	69.691
25.4	71.626
26.256	73.472
27.163	75.145
27.767	76.114
28.524	77.079
28.725	76.99
29.027	75.407
29.027	72.24
27.97	67.841
27.366	65.288
26.81	62.913
26.256	59.572
25.601	55.609
24.946	51.21
24.14	46.281
22.83	40.212
22.023	36.341
21.419	33.525
20.411	29.125
19.554	25.605
18.697	22.174
17.74	19.182
16.278	15.31
14.565	11.351
13.204	8.5353
11.843	5.9834
10.936	4.3996
9.4745	2.1998
8.0129	0
6.7028	-1.6718
5.3924	-3.0797
3.6286	-5.1036
2.1671	-7.0394
0	-11.175
-0.90714	-12.935
-1.8143	-15.047
-2.923	-17.686
-3.8806	-20.062
-4.586	-22.174
-5.3421	-24.549
-5.9972	-26.926
-6.8036	-29.917
-7.509	-32.205
-8.3155	-34.845
-8.8697	-36.692
-9.4745	-38.54
-10.23	-40.916
-10.936	-43.028
-11.894	-45.579
-12.7	-47.78
-13.506	-49.978
-14.565	-52.442
-15.824	-55.346
-16.782	-57.984
-18.042	-61.067
-19.251	-63.971
-20.562	-67.049
-22.477	-71.626
-23.333	-72.769
-24.644	-74.264
-26.205	-76.199
-27.516	-77.698
-28.423	-78.489
-29.027	-79.014
-29.431	-78.93
-29.533	-78.663
-29.18	-75.145
-28.877	-72.507
-28.473	-69.602
-28.12	-66.876
-27.767	-64.056
-27.417	-61.329
-26.911	-57.722
-26.055	-52.268
-25.753	-49.978
-25.299	-47.073
-24.846	-44.172
-24.291	-41.268
-23.636	-38.276
-22.83	-34.669
-21.922	-30.885
-20.915	-26.661
-20.259	-24.286
-19.403	-21.294
-18.092	-17.598
-16.933	-14.431
-15.572	-10.999
-14.212	-7.4793
-12.851	-4.2236
-11.44	-1.2319
-9.8778	1.4079
-8.6177	3.2557
-5.5941	7.6555
-3.3767	10.999
-1.9151	12.847
-0.35278	14.782
1.1591	16.982
2.6711	18.83
4.2334	20.942
5.5436	22.702
7.4082	25.165
8.7691	27.805
10.079	30.533
11.138	32.909
12.196	35.197
13.002	37.22
14.061	39.86
14.917	42.06
15.925	44.698
16.984	47.429
18.143	50.418
19.251	53.412
20.411	56.49
21.318	59.043
22.275	61.507
22.88	63.09
23.585	65.025
24.241	66.876
25.349	69.335
26.055	70.834
27.214	72.943
27.617	73.739
27.92	74.001
28.324	72.769
28.222	68.459
27.617	65.288
27.163	62.828
26.711	60.186
26.005	56.049
25.198	51.388
24.392	47.34
23.535	43.204
22.779	39.86
21.872	35.901
21.015	32.117
20.209	28.597
19.201	24.814
18.092	20.766
17.034	17.774
15.774	14.166
14.665	11.263
13.859	9.327
12.952	6.8633
11.793	4.0476
10.483	1.4959
9.3736	0
8.4163	-0.96788
7.1059	-2.2878
6.0475	-3.4317
4.7374	-4.7514
2.8222	-7.3032
1.0079	-10.295
0.050396	-11.703
-1.3103	-13.903
-2.7719	-16.543
-4.8885	-20.942
-6.4508	-25.165
-7.6601	-28.245
-8.4666	-30.445
-9.2225	-32.821
-10.079	-35.46
-11.289	-38.804
-12.246	-41.62
-13.204	-44.698
-14.212	-47.602
-15.22	-50.418
-16.177	-52.882
-17.084	-55.435
-18.294	-58.602
-19.453	-61.418
-20.612	-64.056
-21.721	-66.96
-22.729	-69.162
-23.535	-70.656
-24.644	-72.418
-25.702	-73.739
-26.609	-74.615
-27.516	-75.407
-28.324	-76.025
-29.078	-76.377
-29.583	-76.728
-29.682	-76.728
-29.583	-73.032
-29.281	-69.335
-29.129	-66.876
-28.826	-63.001
-28.324	-59.394
-27.818	-55.965
-27.214	-51.917
-26.055	-45.668
-25.4	-42.852
-24.846	-40.388
-24.09	-37.572
-22.93	-32.997
-22.074	-29.653
-21.116	-25.958
-20.058	-22.174
-18.848	-18.654
-17.79	-15.927
-16.278	-12.055
-14.867	-8.6233
-13.506	-5.4555
-11.944	-2.1118
-10.583	0.61596
-8.8194	3.7836
-7.5595	5.5435
-6.35	7.3032
-4.586	9.855
-2.0663	13.199
-0.50396	15.222
1.1087	17.686
2.419	19.27
4.2837	21.558
5.8964	23.494
8.1138	26.133
9.1216	27.717
10.634	30.093
11.944	32.469
12.801	34.317
13.809	36.604
14.817	38.892
16.076	42.324
17.084	45.138
18.193	47.691
19.201	50.156
20.36	52.793
21.368	55.258
22.779	58.424
24.291	61.858
25.651	64.763
26.711	66.876
27.92	68.633
29.886	71.626
31.801	74.001
33.414	75.233
35.428	76.466
38.552	78.578
40.368	79.633
41.829	80.246
42.08	80.424
