Galeota 1996 Specimen BB4B	
-11.26	92.79475
-10.59	93.79929
-9.88	94.74106
-9.18	95.11776
-8.51	96.24788
-7.8	96.87572
-7.11	97.3152
-6.44	98.57086
-5.76	99.01033
-5.05	99.44989
-4.39	100.58
-3.71	101.145
-3.05	102.2751
-2.37	102.7147
-1.68	103.2797
-1.02	104.1586
-0.35	104.8493
0.32	104.9748
0.98	106.2933
1.65	106.6072
2.33	106.7955
2.97	108.0513
3.63	108.4279
4.28	109.5581
4.94	109.7464
5.61	109.9976
6.25	110.8138
6.9	111.1905
7.56	111.3161
8.19	111.9439
8.86	112.5717
9.52	113.0112
10.15	113.2624
10.81	113.4507
11.45	114.0157
12.13	114.3297
12.82	114.2669
13.47	115.1459
14.14	115.1459
14.82	115.1459
15.48	115.7109
16.16	115.7109
16.83	115.7109
17.46	115.8365
18.11	116.1504
18.77	115.5854
19.39	116.2131
20.04	116.276
20.69	116.276
21.31	116.276
21.94	115.7737
22.52	116.0248
23.1	115.9621
23.62	115.7737
24.19	115.5225
24.73	115.9621
25.28	115.5225
25.87	114.8947
26.41	115.397
26.98	114.9575
27.52	114.7692
28.07	114.4553
28.61	114.6436
29.16	114.3297
29.69	114.0157
30.23	113.7647
30.98	112.9485
31.62	113.0112
32.27	112.5717
32.94	111.8811
33.52	112.0694
34.16	111.63
34.78	111.6927
35.39	110.8138
36.04	109.4953
36.6	109.1185
37.04	107.8001
37.62	107.9885
38.24	107.4234
38.83	106.984
39.36	106.7328
39.71	105.0377
40.29	105.6655
40.82	105.8539
41.39	105.4143
41.96	105.6027
42.53	105.226
43.12	105.1004
43.68	104.5354
44.27	103.7192
44.82	103.0913
45.22	102.0868
45.72	100.2661
46.34	99.82652
46.88	98.75927
47.41	99.38705
47.96	99.01033
48.03	97.56635
48.04	96.18509
48.07	94.92941
48.08	93.86208
48.09	92.54361
48	87.01862
47.77	84.88396
47.54	82.30982
47.3	79.92403
47.04	77.91493
46.79	76.03143
46.53	73.89677
46.3	71.95046
45.92	68.99962
45.57	66.17434
45.2	63.53741
44.93	61.46553
44.76	60.08429
44.52	58.38912
44.17	56.00333
43.77	53.11527
43.39	50.2272
43.04	47.8414
42.77	46.14624
42.47	44.26272
42.11	41.68857
41.74	39.05165
41.37	36.72864
41	34.40563
40.65	32.20819
40.3	29.69683
39.94	27.31104
39.59	25.17639
39.25	23.23008
38.97	21.03264
38.73	19.14912
38.47	17.64231
38.21	16.26105
37.93	14.87981
37.73	14.00083
37.36	12.05453
37.1	10.10823
36.86	8.413056
36.66	6.59232
36.33	4.018176
35.97	1.757952
35.69	-0.376704
35.27	-2.51136
34.97	-4.143744
34.66	-5.838912
34.33	-7.094592
33.99	-8.350272
33.62	-9.919874
33.27	-11.36391
32.89	-13.05907
32.56	-14.37753
32.21	-16.07271
31.88	-17.64231
31.53	-19.52583
31.18	-21.03264
30.82	-22.53945
30.46	-23.85792
30.11	-25.55309
29.76	-27.31104
29.42	-28.75507
29.05	-30.13632
28.72	-31.7687
28.35	-33.27552
27.99	-34.78234
27.63	-36.1008
27.29	-37.54483
26.92	-38.86329
26.57	-40.37011
26.22	-41.68857
25.85	-43.13261
25.49	-44.26272
25.14	-45.58119
24.78	-46.96244
24.42	-48.28089
24.05	-49.34822
23.69	-50.54112
23.31	-51.92237
22.95	-53.11527
22.45	-52.36186
21.99	-54.05703
21.52	-55.37548
21.2	-56.44281
20.77	-57.82407
20.21	-58.38912
19.87	-59.45645
19.53	-60.58656
19.09	-61.90503
18.64	-63.53741
18.1	-63.16071
17.74	-64.60473
17.4	-65.73485
17.04	-66.99052
16.6	-68.24621
15.85	-69.75303
15.19	-71.95046
14.56	-72.6411
13.93	-74.5246
13.24	-76.5337
12.47	-77.28709
11.81	-79.23341
10.76	-80.17517
10.12	-81.87034
9.49	-83.50272
8.83	-84.63284
8.12	-85.26067
7.47	-86.76749
6.74	-87.45811
6.1	-88.651
5.34	-89.78112
4.75	-90.34617
4.11	-91.47629
3.1	-92.54361
2.44	-93.67372
1.72	-93.86208
1.08	-95.11776
0.34	-95.43168
-0.29	-96.68736
-1.01	-97.94308
-1.64	-98.3197
-2.44	-98.82201
-3.23	-100.3288
-4.1	-100.2661
-4.8	-101.7729
-5.51	-101.3962
-6.11	-102.5891
-6.74	-103.5309
-7.43	-103.9075
-8.22	-104.347
-8.98	-105.6027
-9.75	-105.9166
-10.46	-106.9211
-11.24	-107.3607
-12.06	-107.3607
-12.79	-108.4279
-13.57	-108.9302
-14.33	-109.6837
-15.11	-109.9976
-15.86	-110.8138
-16.68	-110.8765
-17.51	-111.0649
-18.23	-111.9439
-19.09	-111.6927
-19.84	-112.5717
-20.34	-112.76
-21.1	-113.2624
-21.96	-113.3879
-22.8	-114.2041
-23.66	-114.0157
-24	-112.8229
-24.69	-113.4507
-25.36	-114.6436
-26.12	-114.6436
-26.89	-114.4553
-27.66	-115.1459
-28.63	-114.518
-29.02	-113.1995
-29.51	-114.4553
-30.12	-114.8947
-30.82	-114.8319
-31.46	-115.0831
-32.16	-114.7063
-33	-114.6436
-33.74	-115.1459
-34.33	-114.8319
-34.85	-114.9575
-35.38	-114.4553
-36.03	-114.518
-36.53	-114.0157
-37.16	-114.3297
-37.84	-113.6391
-38.43	-114.2669
-38.93	-113.1995
-39.51	-113.7647
-40.19	-113.0112
-40.77	-113.1995
-41.28	-112.6973
-41.82	-112.9485
-42.5	-112.1323
-43.07	-112.2577
-43.69	-111.5044
-44.27	-111.63
-44.74	-110.5626
-45.28	-110.6255
-45.93	-109.3697
-46.5	-109.3697
-47.08	-108.2396
-47.69	-107.6746
-48.09	-105.7283
-48.51	-104.4098
-48.68	-103.0913
-48.84	-101.2079
-48.97	-99.44989
-49.07	-97.88025
-49.24	-95.62002
-49.31	-94.11321
-49.41	-92.6064
-49.51	-91.35072
-49.75	-86.328
-49.75	-83.37715
-49.76	-81.9959
-49.76	-80.55186
-49.75	-79.48454
-49.78	-78.22887
-50.34	-77.72659
-50.5	-76.28256
-50.48	-74.46182
-50.17	-72.2016
-49.8	-70.00416
-49.4	-67.80672
-49.04	-65.9232
-48.66	-64.22803
-48.26	-62.34451
-47.89	-60.3982
-47.5	-58.64025
-47.11	-56.69395
-46.72	-55.18714
-46.72	-0.690624
