Galeota 1996 Specimen BB4B	
29.65	89.27885
29.48	88.21152
29.32	86.76749
29.06	84.69561
28.89	83.37715
28.64	81.6192
28.47	80.17517
28.23	78.54279
28.04	77.03596
27.86	75.78029
27.68	74.33626
27.4	72.6411
27.22	71.25984
26.96	69.56467
26.79	68.12064
26.6	66.99052
26.43	65.35815
26.16	63.78854
25.98	62.53286
25.71	60.58656
25.53	59.26809
25.26	57.51014
25	56.31725
24.82	54.99878
24.56	53.42919
24.38	51.92237
24.11	50.28999
23.93	48.97152
23.67	47.46471
23.49	46.02068
23.23	44.51385
22.96	42.75591
22.71	41.24908
22.45	39.74227
22.28	38.4866
22.03	36.97978
21.85	35.66132
21.61	34.21728
21.36	32.45932
21.11	30.76416
20.86	29.25735
20.61	27.56217
20.38	26.18093
20.16	24.86247
19.93	23.41843
19.71	21.9744
19.41	20.34201
19.15	18.70963
18.93	17.32839
18.71	16.26105
18.44	14.56589
18.25	13.37299
18.01	11.99175
17.76	10.48493
17.49	9.166464
17.24	7.596864
16.85	5.587776
16.55	4.143744
16.27	2.82528
15.91	1.506816
15.62	0.062784
15.31	-1.25568
15.02	-2.574144
14.71	-4.269312
14.42	-6.2784
13.94	-7.53408
13.6	-9.292032
13.35	-10.29657
13.01	-12.30567
12.8	-13.68691
12.47	-15.31929
12.24	-16.57497
11.9	-18.39571
11.61	-19.96531
11.41	-21.03264
11.15	-22.47667
10.86	-23.79513
10.59	-25.30195
10.31	-26.62041
10.08	-27.87609
9.8	-29.13177
9.45	-30.63859
9.18	-32.1454
8.67	-33.46387
8.4	-34.84512
8.13	-36.35193
7.86	-37.98432
7.58	-39.30278
7.3	-40.62125
6.98	-42.12806
6.63	-43.63488
6.3	-45.33004
6.03	-46.77408
5.69	-47.96697
5.42	-49.41101
5.08	-51.10617
4.74	-52.61299
4.39	-54.05703
4.13	-55.43827
3.61	-56.63116
3.34	-57.94963
3.12	-59.20531
2.85	-60.52378
2.57	-62.03059
2.34	-63.16071
2.05	-64.79309
1.71	-66.42547
1.36	-67.9323
1.07	-69.37632
0.78	-70.82036
0.44	-72.76665
0.16	-74.27348
-0.13	-75.59194
-0.42	-77.03596
-0.7	-78.54279
-1	-79.92403
-1.28	-81.43085
-1.57	-82.74931
-1.86	-84.25613
-2.14	-85.76295
-2.62	-87.14419
-2.9	-88.651
-3.12	-90.03225
-3.4	-91.72742
-3.62	-92.79475
-3.91	-94.42713
-4.19	-95.93394
-4.42	-97.25246
-4.71	-98.57086
-5	-100.1405
-5.23	-101.3962
-5.52	-102.903
-5.81	-104.347
-6.04	-105.6655
-6.34	-107.1723
-6.57	-108.2396
-6.86	-109.7464
-7.15	-111.1905
-7.45	-112.76
-7.74	-114.0785
-8.29	-115.2715
-8.57	-116.841
-8.85	-118.3478
-9.09	-119.6663
-9.38	-121.1731
-9.66	-122.6171
