Takemura and Kawashima #3																			
58.007	63.57																		
60.353	63.80																		
62.100	63.93																		
64.247	63.93																		
66.044	63.93																		
67.941	63.57																		
70.138	63.20																		
72.184	55.66																		
74.181	57.70																		
76.128	57.34																		
78.125	57.10																		
80.371	56.51																		
82.218	56.99																		
84.315	56.14																		
85.962	55.31																		
87.709	55.43																		
89.656	46.57																		
91.453	46.69																		
89.457	22.99																		
87.859	10.53																		
86.112	1.31																		
84.515	-5.03																		
82.368	-10.78																		
80.571	-15.08																		
78.474	-15.93																		
76.677	-16.88																		
74.930	-18.55																		
72.584	-19.15																		
70.637	-20.11																		
68.640	-21.06																		
66.344	-22.27																		
66.044	-22.27																		
64.596	-22.51																		
62.799	-22.62																		
60.703	-23.70																		
58.906	-24.42																		
56.759	-24.18																		
54.662	-25.13																		
52.466	-25.26																		
50.319	-25.38																		
48.073	-25.74																		
45.876	-25.98																		
44.279	-26.81																		
42.282	-26.58																		
40.385	-27.17																		
38.289	-27.77																		
36.142	-27.77																		
34.345	-28.37																		
32.348	-28.73																		
30.351	-28.97																		
28.005	-29.33																		
26.208	-29.45																		
23.912	-30.17																		
23.363	-30.17																		
21.965	-30.65																		
19.968	-31.24																		
17.871	-31.61																		
15.924	-32.08																		
13.828	-32.32																		
11.681	-32.69																		
9.535	-33.28																		
7.588	-33.40																		
5.292	-34.24																		
3.494	-34.24																		
1.198	-34.72																		
-0.799	-34.83																		
-3.095	-35.43																		
-5.042	-35.91																		
-7.188	-36.16																		
-9.285	-36.51																		
-11.631	-36.87																		
-13.778	-36.99																		
-15.725	-37.23																		
-17.871	-38.07																		
-19.768	-37.95																		
-22.164	-38.67																		
-24.261	-39.15																		
-26.158	-39.38																		
-28.355	-40.10																		
-28.854	-40.10																		
-30.301	-40.10																		
-32.298	-40.70																		
-34.395	-41.18																		
-36.691	-41.42																		
-38.538	-41.89																		
-40.585	-42.62																		
-42.732	-43.22																		
-45.028	-43.57																		
-47.374	-43.57																		
-49.121	-45.01																		
-51.617	-45.73																		
-53.564	-47.41																		
-55.910	-50.28																		
-57.857	-52.55																		
-59.804	-52.55																		
-61.951	-53.39																		
-64.097	-54.83																		
-66.194	-54.95																		
-68.440	-55.78																		
-70.587	-57.70																		
-72.584	-58.90																		
-75.080	-59.02																		
-77.226	-58.78																		
-79.373	-60.10																		
-81.869	-59.98																		
-83.666	-61.53																		
-85.812	-62.49																		
-88.259	-63.09																		
-90.205	-63.68																		
-92.502	-64.53																		
-94.848	-65.24																		
-92.552	-34.24																		
-90.255	-21.43																		
-88.259	-12.57																		
-86.162	-5.38																		
-83.816	-1.08																		
-82.019	2.64																		
-79.523	5.03																		
-77.226	7.18																		
-75.229	8.62																		
-73.133	10.41																		
-70.986	11.61																		
-68.840	14.00																		
-66.743	16.52																		
-64.447	18.80																		
-62.250	21.43																		
-60.154	24.07																		
-58.007	26.58																		
-55.910	28.25																		
-53.764	29.45																		
-51.817	30.28																		
-49.521	30.88																		
-47.224	30.28																		
-45.228	30.76																		
-43.231	30.41																		
-41.084	29.93																		
-38.838	30.41																		
-36.691	30.88																		
-34.944	30.41																		
-32.797	30.17																		
-30.651	30.28																		
-28.654	29.93																		
-26.607	29.81																		
-24.461	29.93																		
-22.464	29.68																		
-20.517	29.57																		
-18.420	29.45																		
-16.274	29.09																		
-14.127	29.09																		
-11.831	28.73																		
-9.884	28.49																		
-7.738	28.73																		
-5.741	28.49																		
-3.644	28.61																		
-1.498	27.77																		
0.799	28.37																		
