"Ohue et al. 1985, Specimen 2D16RS"	
-4.9037	-91.589
-5.1092	-91.954
-5.2888	-91.349
-5.3401	-90.139
-5.3914	-89.899
-5.3658	-83.978
-5.2375	-79.988
-5.032	-74.553
-4.7239	-67.543
-4.4674	-61.623
-4.082	-53.767
-3.7226	-46.642
-3.3889	-40.599
-3.1064	-36.249
-2.5674	-28.758
-2.3106	-25.254
-1.2067	-8.6998
-0.89858	-3.5041
-0.38511	2.7791
0	7.6123
0.5905	15.587
0.82156	22.716
1.0783	28.999
1.3864	38.908
2.285	49.057
2.5418	53.042
3.3889	64.282
3.7483	71.893
3.9538	75.038
4.2106	79.628
4.4417	83.253
4.7239	86.634
5.1349	92.919
5.3144	95.939
5.2631	92.554
5.1349	89.778
5.0576	87.239
4.9807	84.823
4.8524	82.163
4.7239	79.628
4.57	76.488
4.493	73.708
4.3901	71.048
4.1336	65.733
4.0307	63.073
3.697	56.187
3.4661	51.717
3.2863	48.572
3.0295	44.707
2.7986	41.203
2.5931	37.941
2.4647	34.678
2.3106	30.933
1.8485	23.441
1.6174	18.004
1.335	12.446
1.104	8.8208
0.89858	5.0747
0.66751	0.12083
0.48781	-3.0208
0.28242	-7.6123
-0.10269	-13.654
-0.41079	-18.125
-0.71887	-22.716
-0.97561	-27.429
-1.3094	-32.503
-1.6688	-36.611
-2.0539	-41.082
-2.362	-46.037
-3.6713	-63.193
-3.8511	-66.938
-4.082	-69.238
-4.1592	-73.948
-4.5443	-78.058
-4.6726	-81.803
-5.032	-84.459
-5.3401	-87.844
-5.1092	-79.263
-5.0576	-74.673
-4.4674	-63.437
-4.3132	-58.843
-4.1336	-53.527
-3.9025	-49.662
-3.543	-44.345
-3.2093	-37.82
-2.8755	-32.141
-2.6187	-27.912
-2.2079	-21.87
-1.8999	-17.762
-1.4121	-10.633
-1.0783	-5.7997
-0.66751	-0.72498
-0.33376	3.6249
-0.051349	7.1288
0.12837	9.6664
0.43645	13.292
0.82156	18.125
1.0526	28.154
1.2837	32.866
1.6688	39.27
2.1566	45.917
2.4904	50.992
3.0295	58.843
3.2863	62.228
3.543	67.788
3.7483	72.013
4.0564	76.488
4.3645	82.284
4.8011	87.483
4.9807	90.624
5.3401	95.334
5.6482	98.719
5.8537	100.53
6.3927	101.38
6.855	100.89
7.1374	100.29
7.24	99.324
7.2144	95.214
7.0602	90.019
6.9576	87.964
6.8293	84.823
6.7008	81.803
6.5212	77.813
6.2387	72.138
6.0589	67.183
5.828	61.382
5.5712	57.152
5.2888	51.352
4.9037	45.192
4.6982	41.928
4.3132	36.128
3.9281	31.174
3.5687	26.22
3.2349	23.441
3.0551	21.749
2.4133	13.412
2.0796	9.4249
1.6945	5.5582
1.5148	3.7457
0.84724	-2.5375
0.46213	-6.7663
0.07702	-11.116
-0.25674	-15.104
-0.64186	-19.212
-1.4121	-29.12
-1.7458	-33.953
-2.0026	-38.062
-2.2336	-42.411
-2.5418	-47.487
-2.7727	-51.717
-3.0295	-55.702
-3.2863	-59.448
-3.543	-63.557
-3.7226	-66.938
-4.0051	-70.443
-4.1592	-72.863
-4.2619	-74.673
-4.5443	-77.453
-4.8268	-81.318
-5.2375	-85.668
-5.6482	-89.294
-5.8793	-90.744
-6.2131	-90.503
-6.3414	-90.624
-6.6751	-90.624
-6.9319	-86.998
-7.1117	-90.624
-7.24	-90.503
-7.3683	-88.208
-7.1887	-82.888
-7.0345	-77.453
-6.6751	-68.873
-6.2901	-61.502
-6.0333	-56.547
-5.7767	-50.507
-5.5456	-45.797
-5.4686	-44.466
-5.1349	-43.257
-5.1349	-41.082
-4.9037	-36.853
-4.6726	-33.228
-4.4417	-28.999
-4.2106	-25.375
-3.697	-20.662
-3.2093	-16.433
-2.747	-11.841
-2.439	-8.0958
-2.0539	-3.5041
-1.6688	0.36249
-1.3864	3.8666
-1.0783	6.1623
-0.56482	10.754
-0.25674	14.258
0.10269	18.366
0.41079	21.87
0.79588	25.858
1.3607	29.724
1.6945	33.591
1.8999	37.337
2.6444	44.103
3.2863	50.267
3.9794	54.977
4.1849	59.448
4.3132	64.282
4.57	68.753
4.9807	72.738
5.1605	76.728
5.6225	81.683
5.8793	85.548
6.3157	90.259
6.4699	92.194
6.5212	92.194
6.6751	94.729
6.9576	96.664
7.0861	97.629
7.2657	97.509
7.1374	90.864
6.9063	85.789
6.7264	81.923
6.5469	78.538
6.3414	75.158
6.2901	70.563
5.982	63.798
5.7767	59.812
5.5199	55.702
5.2375	50.872
4.9037	44.947
4.57	40.237
4.3132	36.611
4.0564	33.712
3.697	29.724
3.3889	25.495
3.158	23.078
2.8755	20.299
2.285	11.962
1.9255	7.4913
1.2837	2.1749
1.0013	0.12083
0.64186	-4.7122
0.46213	-7.8538
0.17972	-11.116
0	-13.775
-0.25674	-17.279
-0.7702	-20.541
-1.181	-25.012
-1.5404	-28.154
-2.0026	-32.382
-2.439	-36.611
-2.7986	-40.841
-3.0295	-44.345
-3.158	-46.037
-3.4145	-48.937
-3.6457	-52.077
-4.082	-56.427
-4.493	-60.173
-4.7495	-63.317
-5.032	-66.578
-5.2888	-69.718
-5.6482	-72.738
-5.9306	-75.763
-6.0589	-76.968
-6.1874	-79.023
-6.2387	-81.559
-6.367	-83.858
-6.6495	-86.634
-7.0345	-89.778
-7.24	-87.844
-6.9576	-75.763
-6.6238	-68.513
-6.2901	-61.382
-5.9306	-55.342
-5.6995	-51.472
-4.9294	-37.457
-4.5956	-32.02
-4.1849	-26.341
-3.7226	-21.024
-3.2093	-15.708
-2.747	-11.116
-2.439	-7.7333
-1.9769	-3.0208
-1.5918	0.96664
-1.3094	4.3499
-0.92426	8.0958
-0.61618	11.116
0.025674	14.862
0.61618	20.058
1.0526	24.528
1.5661	29.603
1.7715	33.47
1.9255	37.699
2.4647	42.411
3.0551	48.452
3.3889	52.317
4.082	57.757
4.2619	61.262
4.8781	66.698
5.0063	68.633
5.3658	72.863
5.6739	76.123
5.7252	79.868
6.2387	83.858
6.5469	88.328
6.9063	94.129
7.3942	97.269
7.728	99.444
8.0358	99.079
8.4468	98.839
8.7805	97.269
9.0114	99.804
9.1912	97.509
9.1399	91.349
8.9858	86.878
8.7292	81.198
8.4981	76.003
8.2669	71.533
8.0617	67.062
7.8049	63.073
7.3426	55.822
7.1887	51.232
6.855	46.397
6.5982	42.17
6.0848	35.886
5.7252	31.537
5.2375	26.945
4.8781	24.649
4.493	20.058
4.2362	17.037
3.8255	12.929
3.3632	9.1829
2.9525	5.3167
2.4904	2.1749
2.1309	0.84583
0.30808	-12.687
-0.25674	-18.487
-1.0526	-24.891
-1.5661	-28.879
-2.2079	-34.316
-2.5931	-39.27
-2.9012	-42.532
-3.3632	-45.312
-3.5687	-49.902
-3.7483	-52.682
-4.082	-56.067
-4.5956	-61.262
-4.8781	-65.008
-5.1605	-68.388
-5.4943	-71.533
-5.828	-75.038
-6.0589	-76.363
-6.2387	-79.628
-6.6238	-82.648
-6.8293	-84.823
-7.0089	-85.668
-7.317	-87.603
-7.5994	-89.294
-7.9588	-90.019
-8.2669	-89.534
-8.6263	-90.503
-8.7549	-90.259
-9.2169	-90.019
-9.2939	-84.098
-9.0886	-80.108
-8.8831	-76.123
-8.7036	-70.928
-8.6007	-67.183
-8.4981	-64.038
-8.1643	-57.757
-7.8049	-52.197
-7.4455	-46.642
-7.1631	-42.17
-6.9576	-39.149
-6.6238	-34.678
-6.367	-30.933
-6.1105	-28.154
-5.905	-25.616
-5.4943	-21.629
-5.1349	-18.125
-4.7239	-14.862
-4.3645	-11.72
-4.1849	-10.512
-4.0051	-7.2498
-3.6457	-2.2958
-3.3119	-2.6583
-2.9012	0.84583
-2.4647	4.2291
-1.9769	7.2498
-1.6174	9.0624
-1.0269	12.566
-0.64186	14.621
0	17.52
0.46213	18.85
0.89858	22.958
2.1053	32.503
2.5931	36.37
2.9268	40.357
3.5944	46.397
4.3132	54.132
4.9294	58.602
5.2375	61.867
5.4943	68.028
5.828	69.718
6.367	75.158
6.9063	80.713
7.5225	86.033
7.9332	89.899
8.19	91.589
8.4724	94.249
8.9601	95.939
9.2682	97.754
8.9088	85.668
8.6777	80.834
8.5237	76.488
8.2669	72.013
8.1387	69.478
7.8562	64.162
7.728	62.228
7.4968	58.118
7.2913	53.527
7.0089	48.937
6.6751	44.466
6.0076	36.611
5.8024	32.866
5.4686	29.483
5.0833	25.737
4.8268	22.958
4.5187	17.4
4.3388	15.346
4.0564	14.379
3.7226	11.599
3.2863	8.4583
2.8499	5.6792
2.5931	3.3832
2.1053	0.72498
1.7201	-2.1749
1.258	-5.0747
0.79588	-8.2163
0.33376	-11.116
-0.025674	-13.171
-0.41079	-15.587
-0.89858	-18.366
-1.2067	-20.783
-1.7201	-24.287
-2.1053	-27.187
-2.4647	-30.812
-2.8755	-35.282
-3.1836	-39.028
-3.4402	-42.653
-3.8768	-46.277
-4.2619	-49.177
-4.6469	-52.197
-4.955	-52.317
-5.1605	-56.912
-5.3144	-59.087
-5.7252	-61.743
-6.1361	-65.612
-6.3157	-68.148
-6.6495	-72.738
-7.2144	-76.848
-7.6507	-79.508
-8.1387	-80.713
-8.0874	-82.284
-8.3182	-84.098
-8.6007	-85.909
-9.0114	-87.483
-9.4737	-86.998
-9.2939	-84.459
-9.1656	-80.353
-9.0373	-76.488
-8.8318	-72.258
-8.6007	-68.753
-8.4981	-64.763
-8.1643	-59.207
-7.9332	-54.737
-7.6251	-49.782
-7.317	-44.466
-6.9576	-38.787
-6.5469	-32.866
-6.1105	-27.187
-5.6482	-22.112
-4.8781	-16.433
-4.1849	-10.27
-3.4661	-3.9874
-3.0295	-0.36249
-2.4904	3.3832
-2.1053	4.8332
-1.7972	7.1288
-1.4377	9.3039
-0.82156	12.929
-0.30808	15.95
0.15404	17.883
0.82156	21.024
1.9255	27.67
2.3363	31.778
2.747	35.403
3.2863	39.27
3.5687	42.774
3.9794	46.157
4.57	51.232
4.6469	53.527
5.0833	55.582
5.3401	58.722
5.5199	61.987
5.982	65.853
6.2901	70.563
6.6495	73.828
7.0861	78.418
7.3942	80.233
7.6507	83.373
7.8306	84.459
8.19	87.964
8.6777	90.259
8.8062	92.434
9.3711	95.094
9.602	96.904
9.9101	96.424
10.372	97.874
10.706	97.754
10.911	98.114
11.142	96.544
11.168	94.729
11.066	91.228
10.937	87.239
10.757	82.888
10.629	79.628
10.398	74.673
10.218	70.688
10.039	67.543
9.7305	62.228
9.525	58.242
9.2939	54.492
9.063	51.472
8.8831	47.972
8.652	44.103
8.2669	40.478
7.9845	36.974
7.7536	34.074
7.3683	30.57
6.9832	26.583
6.6238	23.441
6.2131	19.937
5.828	16.916
5.3658	13.775
5.0833	9.7874
4.57	6.8873
4.1849	4.7122
3.8255	3.9874
3.5687	1.8125
3.0038	-0.24166
2.67	-1.6916
1.3607	-7.3708
0.71887	-9.6664
0.10269	-12.204
-0.48781	-15.829
-1.181	-21.387
-1.4634	-24.287
-2.0796	-28.758
-2.362	-31.295
-2.9525	-36.128
-3.543	-40.237
-4.0051	-43.861
-4.5956	-48.937
-5.032	-53.042
-5.3658	-56.912
-5.5712	-58.242
-5.9563	-62.107
-6.1874	-64.643
-6.7523	-68.028
-7.0602	-71.533
-7.5481	-74.673
-7.9845	-77.693
-8.2156	-79.988
-9.0373	-84.823
-9.4737	-86.998
-9.7818	-87.359
-10.193	-87.603
-10.578	-88.208
-10.963	-88.569
-11.296	-87.603
-11.271	-85.064
-11.117	-80.713
-10.988	-75.883
-10.655	-67.908
-10.372	-62.712
-9.8844	-55.342
-9.3967	-47.487
-9.0886	-42.291
-8.7292	-36.491
-8.4211	-32.02
-8.2156	-29.603
-8.1387	-27.67
-7.5738	-22.958
-7.0345	-18.004
-6.5982	-13.654
-6.0848	-9.6664
-5.905	-8.3373
-5.2118	-3.8666
-4.7239	-0.60417
-4.1849	2.2958
-3.697	3.5041
-3.0808	7.1288
-2.67	8.8208
-2.4647	10.754
-1.8485	12.325
-1.2324	13.533
-0.48781	15.587
0.56482	18.97
1.1553	21.87
1.6688	25.254
2.3877	29.845
3.158	35.645
3.6713	39.512
4.0051	42.895
4.3645	45.552
4.9294	49.662
5.6739	55.342
6.2387	60.657
6.855	64.282
7.1887	66.093
7.3683	69.358
7.7536	72.498
7.9845	73.223
8.7805	80.593
9.2169	82.043
9.5763	83.858
9.6276	85.909
9.9614	86.998
10.244	89.294
10.526	89.534
10.757	91.104
11.014	90.624
11.142	91.349
11.374	90.503
11.271	88.569
11.142	86.153
11.014	84.583
11.014	82.768
10.86	80.834
10.732	77.933
10.578	74.673
10.449	71.533
10.372	69.718
10.167	68.028
9.8844	66.213
10.039	63.193
9.9101	60.898
9.8331	58.242
9.448	53.527
9.1143	48.937
8.7805	45.552
8.4981	42.291
8.0101	36.611
7.8306	33.349
7.24	27.67
7.0089	25.133
6.855	22.716
6.5469	20.42
6.2387	18.004
6.0848	17.037
5.6739	15.225
5.3401	11.237
4.955	8.4583
4.5187	6.1623
4.2362	4.5917
3.8255	2.6583
3.2093	0.36249
2.5931	-2.6583
1.5918	-6.1623
0.43645	-11.479
0.025674	-13.171
-0.74455	-15.829
-1.3864	-18.366
-2.0282	-22.837
-2.5674	-25.979
-3.0551	-29.966
-3.4402	-33.591
-4.493	-41.566
-5.0576	-45.552
-5.5969	-48.697
-6.0076	-51.232
-6.367	-54.252
-6.855	-58.843
-7.24	-61.262
-7.4712	-63.798
-7.8049	-65.612
-8.2926	-68.633
-8.5494	-68.993
-9.0373	-72.618
-9.4737	-75.883
-9.8074	-78.058
-10.064	-78.783
-10.449	-80.353
-10.783	-80.958
-10.937	-81.559
-11.117	-85.789
-11.194	-82.888
-11.374	-81.198
-11.271	-79.988
-11.168	-75.883
-10.988	-70.688
-10.655	-63.678
-10.295	-57.152
-10.167	-53.167
-9.8844	-50.507
-9.6533	-45.192
-9.448	-43.257
-9.1399	-38.666
-8.7549	-33.832
-8.3955	-28.999
-8.0874	-24.649
-7.7536	-22.837
-7.5481	-19.695
-7.1374	-17.158
-6.9319	-14.862
-6.4442	-11.599
-6.0848	-9.5454
-5.443	-5.0747
-4.9294	-1.45
-4.2875	2.1749
-3.4661	5.7997
-2.9782	8.2163
-2.4647	10.27
-1.8999	12.446
-1.5918	12.566
-0.64186	15.95
0	18.366
0.69319	20.904
1.4377	23.32
2.3106	27.187
2.9525	31.174
3.7226	35.645
4.1079	39.512
4.6469	43.257
5.2888	47.487
5.6995	51.837
6.2644	55.702
6.855	59.692
7.1631	61.743
7.3426	62.832
7.8306	66.578
8.2156	69.113
8.7549	74.433
9.0373	75.278
9.2169	77.333
9.5507	79.383
9.7561	80.593
10.013	81.438
10.372	83.858
10.68	85.789
11.04	87.483
11.784	90.503
12.041	90.019
12.118	90.744
12.683	91.228
12.965	92.194
13.196	92.074
13.196	91.228
13.119	90.379
13.145	88.328
13.042	87.359
13.042	84.823
12.888	82.648
12.76	79.748
12.734	76.488
12.401	72.138
12.221	68.873
12.195	66.818
11.99	64.162
11.759	60.657
11.476	53.767
11.142	49.057
10.501	40.237
10.09	35.524
9.5763	31.174
9.1656	28.274
8.113	20.662
7.5738	15.95
6.9832	11.841
6.7264	10.15
6.0848	7.4913
5.7767	6.5248
5.4943	4.7122
5.1862	3.6249
4.8268	1.8125
3.697	-0.72498
2.67	-3.1416
1.9769	-4.9542
1.181	-6.5248
0.5905	-8.4583
-0.15404	-12.325
-1.4634	-18.85
-2.1053	-22.958
-3.3376	-30.328
-3.9538	-35.041
-4.6982	-39.995
-5.3144	-43.257
-5.6482	-44.947
-6.2131	-49.782
-6.4442	-51.232
-6.7008	-52.317
-7.4968	-57.517
-8.113	-61.262
-8.8575	-65.733
-9.3967	-68.753
-9.8074	-71.413
-10.321	-73.828
-10.732	-76.123
-11.322	-78.058
-11.682	-79.383
-11.861	-79.143
-12.606	-81.078
-12.837	-80.834
-13.145	-81.923
-13.376	-80.834
-13.325	-78.178
-12.888	-70.928
-12.734	-65.733
-12.324	-58.118
-12.067	-53.042
-11.759	-47.367
-11.425	-43.62
-11.245	-40.72
-10.937	-36.732
-10.783	-35.041
-10.578	-31.658
-10.09	-25.979
-9.7048	-22.595
-9.4737	-19.937
-8.7292	-14.017
-7.9075	-8.4583
-7.1631	-3.3832
-7.0089	-2.5375
-6.8293	-3.9874
-6.2901	0.12083
-5.6739	3.1416
-4.8268	6.4038
-4.2106	8.0958
-3.7483	9.3039
-3.2863	10.27
-2.1566	12.325
-1.181	14.621
-0.48781	15.708
0.33376	18.608
1.0783	21.87
2.0796	24.77
2.9268	28.758
3.7226	33.832
4.493	38.787
5.2375	43.62
5.905	47.122
6.778	52.562
7.4198	56.912
7.702	58.602
8.0101	59.812
8.3439	62.107
9.0114	65.973
9.2426	67.663
9.9614	71.413
10.398	72.983
10.732	75.398
11.296	78.658
11.99	82.648
12.426	83.614
12.683	83.373
12.991	85.184
13.068	84.943
13.222	85.548
13.299	83.373
13.017	77.813
12.811	72.863
12.76	68.513
12.503	67.183
12.375	63.557
11.938	56.912
11.733	53.287
11.451	49.542
10.988	45.917
10.86	41.566
10.552	38.303
10.398	35.282
9.987	32.503
9.602	28.637
9.063	23.803
8.4211	19.816
7.7536	15.104
7.3942	12.083
6.9063	9.7874
6.5725	8.3373
6.2387	5.6792
5.7511	4.4707
5.2375	1.9333
4.5956	0.96664
3.9025	-0.72498
3.5687	-2.0541
2.9782	-2.5375
2.67	-3.5041
2.0796	-4.5917
1.3864	-4.8332
0.56482	-8.3373
-0.33376	-11.237
-1.2067	-14.862
-1.8228	-17.883
-2.67	-21.991
-3.4661	-25.616
-4.1079	-29.362
-4.8524	-33.832
-5.6995	-38.545
-6.2387	-42.291
-6.7008	-44.345
-7.2144	-47.607
-7.5994	-48.332
-8.575	-53.767
-9.0886	-56.912
-9.3452	-57.393
-9.7818	-60.777
-10.244	-62.107
-10.783	-65.853
-11.194	-66.938
-11.579	-69.358
-11.887	-70.203
-12.426	-72.618
-13.273	-74.793
-13.196	-66.458
-12.657	-57.393
-12.118	-48.697
-11.553	-40.962
-11.04	-33.591
-10.218	-23.803
-9.3967	-16.071
-8.1387	-7.8538
-6.8293	-0.12083
-5.8537	3.0208
-5.3401	5.4372
-4.2362	8.6998
-3.3889	11.479
-1.9255	14.5
-0.7702	16.916
0.64186	17.4
2.0539	20.42
3.6457	27.791
4.6726	33.832
6.0333	41.203
7.1631	47.367
8.5494	56.547
9.5507	62.107
10.295	65.488
11.374	72.738
12.195	76.728
13.479	80.834
13.787	82.043
14.634	83.493
15.302	81.803
15.148	77.088
14.788	70.928
14.48	64.162
13.838	53.042
13.402	47.247
13.017	41.566
12.554	35.645
12.067	30.57
11.579	26.462
11.091	22.233
10.629	18.608
10.295	15.587
9.6276	12.566
9.0114	9.4249
8.0874	6.0417
7.6251	4.4707
7.5994	3.1416
6.6495	1.6916
5.443	-0.72498
4.4158	-1.0875
1.7715	-4.4707
0.66751	-6.0417
-0.66751	-8.4583
-1.9255	-12.566
-3.4145	-19.212
-4.6726	-24.649
-5.828	-30.57
-6.5982	-34.92
-7.3683	-38.303
-8.2156	-42.291
-8.7292	-44.466
-9.3711	-48.452
-10.116	-52.922
-10.783	-54.857
-11.502	-58.722
-12.195	-61.502
-12.76	-63.678
-13.376	-65.612
-14.069	-65.973
-14.711	-66.818
-14.994	-67.423
-15.481	-65.488
-15.302	-60.052
-14.916	-54.132
-14.557	-48.092
-14.172	-40.72
-13.684	-34.92
-13.119	-28.516
-12.554	-22.474
-11.887	-16.554
-11.245	-11.237
-10.655	-8.5789
-10.09	-4.8332
-9.2426	0.12083
-8.2669	3.5041
-7.4968	5.9207
-6.4442	7.6123
-5.3658	8.8208
-4.6982	9.3039
-4.1592	10.27
-2.6187	10.875
-1.9512	12.325
-1.258	13.896
-0.25674	13.05
0.94993	12.808
2.7727	16.191
4.4417	20.783
5.9306	26.22
6.4442	27.791
7.3426	32.262
7.728	32.987
8.0874	35.403
8.3955	36.853
9.1143	40.116
9.7048	42.532
10.475	46.642
10.963	49.177
13.017	58.602
13.915	62.348
14.352	62.592
14.994	65.008
15.173	66.818
15.456	64.643
15.199	61.987
15.199	59.448
14.788	50.872
14.429	46.037
14.044	42.17
13.967	39.391
13.479	33.349
13.119	27.67
12.554	24.408
12.195	22.112
11.81	18.487
11.04	16.554
11.066	13.533
10.86	13.654
10.064	9.5454
9.5763	6.4038
8.9601	5.5582
8.2926	3.3832
7.7536	2.1749
7.2144	1.5708
6.8806	1.9333
5.2118	-0.60417
3.9794	-1.0875
2.6957	-0.36249
1.4891	-0.72498
0.53914	-1.2083
-0.82156	-0.96664
-1.4121	-2.5375
-1.8999	-2.1749
-2.6444	-3.7457
-3.4402	-4.9542
-3.9794	-7.1288
-5.032	-9.0624
-5.4686	-11.358
-6.3414	-13.533
-7.0602	-16.675
-7.6764	-19.091
-8.0617	-20.299
-9.4224	-25.133
-10.116	-28.274
-10.706	-30.812
-11.553	-35.161
-12.195	-38.424
-12.914	-42.049
-13.453	-44.466
-14.146	-46.882
-14.762	-48.817
-15.379	-49.782
-15.353	-44.103
-15.122	-39.512
-14.429	-29.845
-14.121	-25.495
-12.452	-10.029
-11.759	-6.2832
-10.578	-0.84583
-9.3195	3.6249
-8.0874	6.5248
-6.9063	7.6123
-5.3401	9.4249
-4.5956	10.029
-3.3119	10.27
-1.4377	9.9079
0.5905	9.9079
2.4647	10.633
4.493	12.808
5.7252	15.104
7.3683	20.058
8.7292	25.375
10.09	29.362
11.014	34.678
11.759	37.82
12.092	40.116
13.299	45.312
14.737	51.837
15.687	55.342
17.15	58.722
17.458	56.912
17.304	51.717
17.047	49.057
16.842	43.257
16.354	35.524
15.712	29.241
14.968	23.078
14.583	19.333
13.915	14.983
13.068	10.633
12.324	6.5248
11.348	3.3832
10.475	1.8125
9.4993	0.36249
7.0861	-1.2083
5.7767	-1.45
3.7739	-1.0875
2.1566	-0.72498
