Sezen et al. 2000 Specimen 2	
-3.6068	-131.2658855
-3.3782	-122.7387027
-3.2258	-113.4155997
-3.0099	-103.8531455
-2.6797	-95.0720727
-2.4765	-85.39249367
-2.2225	-76.18740063
-2.0193	-66.59137679
-1.7653	-57.11203755
-1.5748	-47.50031848
-1.4478	-39.50140745
-1.27	-32.33978811
-1.0922	-24.81176681
-0.8763	-16.25893923
-0.6604	-7.339007879
-0.4699	1.542015674
-0.254	10.27348172
-0.1651	20.09248409
0.1524	28.34851043
0.3937	37.12650071
0.5588	46.2406664
0.8382	54.8498567
1.016	63.47600978
1.2192	72.0562602
1.4859	80.96389555
1.6637	89.4096091
1.9177	94.58510703
2.0447	103.5027581
2.3495	111.6911927
2.6543	119.0559948
2.9083	126.4348109
3.0988	134.6678494
3.3147	138.3646915
3.6703	148.741216
3.9116	156.0524079
4.0513	159.5276266
4.2672	166.7119802
4.572	173.3339519
4.6863	177.2487303
5.0038	187.1431948
5.1943	193.6304339
5.4864	200.0217138
5.6007	207.3124472
5.9182	213.9186347
6.223	219.5368857
6.5151	226.5586521
6.731	232.8474171
6.9215	234.5467801
6.8072	233.4978995
6.9342	233.9806134
7.0104	235.5861965
6.9342	235.6306092
6.9469	235.0449001
7.0104	234.2678685
6.9596	234.1987054
6.8834	228.3032951
6.7183	218.2853325
6.5278	209.2986829
6.223	201.0208269
6.0071	192.0975586
5.842	183.9055838
5.5626	176.1195368
5.3721	167.5119609
5.1054	159.065051
4.9276	151.4453983
4.699	143.1895263
4.5085	135.4993407
4.1529	129.4334844
4.1402	121.3004568
3.81	113.2459008
3.5179	104.4839745
3.3147	95.80893005
3.1496	87.7032768
2.8321	79.90716065
2.5781	70.79099982
2.2987	61.90433444
2.1209	53.09271172
1.9431	44.46200885
1.6891	35.43595926
1.5494	26.26870333
1.3081	18.22886284
1.0287	9.709054834
0.8128	0.612380278
0.6985	-8.053332863
0.6858	-16.28279028
0.1905	-24.18204662
0.0635	-31.99851008
-0.1016	-39.0002885
-0.3302	-45.69594994
-0.5588	-54.13193236
-0.7366	-63.76627586
-0.9017	-72.79368239
-1.1176	-82.53263109
-1.27	-87.63961084
-1.5748	-101.4237876
-1.8288	-109.9940312
-2.1463	-118.7062789
-2.3495	-127.6518114
-2.4384	-136.8267727
-2.8194	-144.7684288
-3.048	-152.475973
-3.2639	-160.5679146
-3.5052	-168.5169669
-3.8227	-176.1371177
-3.9751	-183.0754624
-4.2545	-190.942227
-4.4704	-198.3150968
-4.7244	-206.040987
-4.953	-213.1915707
-5.1816	-220.5327521
-5.4356	-226.3485433
-5.7023	-233.5111175
-5.7658	-236.225191
-5.8293	-238.2244846
-6.0833	-246.21851
-6.4389	-251.4863114
-6.5405	-258.4232461
-6.7818	-265.4645593
-6.9215	-266.5425577
-6.9088	-265.8408044
-6.9088	-266.8503647
-7.1247	-270.3919134
-7.0739	-271.4746795
-7.1628	-272.1319711
-7.2009	-271.9483961
-7.239	-271.8807629
-7.1628	-271.7627752
-7.1755	-261.1787882
-6.7818	-251.8101739
-6.5913	-242.6391309
-6.2992	-233.3186519
-6.0325	-224.4130446
-5.8801	-215.7296078
-5.6134	-206.915281
-5.3975	-198.6389905
