"Pujol 2002, No. 10-1-2.25N"	
32189	
0.972799139	37.85874911
1.059621681	37.83646083
1.163892976	40.33256162
1.042081195	40.33256162
1.110133032	40.31027333
1.07120165	40.31027333
1.078183929	40.28798505
1.166607375	39.12908354
1.109449861	39.08451122
1.119694945	39.08451122
1.101095093	39.06222294
1.077552015	39.1067995
1.183639137	43.40810681
1.228559139	43.38582278
1.232616487	43.40810681
1.277813606	43.34125046
1.197826123	43.38582278
1.313173452	44.65615723
1.289127636	44.72301782
1.317430315	44.67844551
1.286336513	44.76759014
1.280628122	44.63386895
1.285694538	44.21042554
1.270981581	44.23271382
1.386001176	44.18813726
1.258662476	44.21042554
1.311802959	44.21042554
1.309077303	43.56411631
1.322112312	43.51953975
1.330494385	43.45268338
1.292606641	43.49725571
1.34143709	43.54182803
1.356850542	43.20752927
1.311638973	43.20752927
1.32459646	43.20752927
1.343117033	43.16295693
1.333782817	43.20752927
1.396776222	47.10768145
1.470008883	47.10768145
1.366453412	47.06310914
1.394752818	47.12996973
1.4304487	47.01853682
1.440852181	46.6396615
1.402770591	46.57280513
1.477324724	46.57280513
1.340905531	46.57280513
1.444105565	46.59508917
1.475039612	46.19392982
1.427938286	46.2162181
1.399584591	46.2162181
1.45860791	46.2162181
1.465613183	46.2162181
1.50624351	45.97106397
1.422608485	45.94877994
1.469414891	46.01564053
1.414254276	45.92649166
1.423625936	45.97106397
1.561573221	49.47006105
1.569123945	49.42548449
1.554581361	49.42548449
1.485867829	49.44777277
1.549346727	49.47006105
1.614794421	48.33344357
1.562656778	48.40030418
1.497962272	48.35573185
1.61017789	48.40030418
1.558044717	48.35573185
1.59090828	48.31115528
1.589231051	48.28887125
1.563626166	48.26658297
1.588319944	48.24429894
1.498415271	48.28887125
1.69036329	51.78786408
1.659837693	51.8547247
1.665429041	51.83243642
1.661759544	51.74329177
1.678810466	51.74329177
1.72310055	50.13865858
1.672394395	50.07179796
1.725900775	50.16094262
1.728877441	50.16094262
1.709921593	50.1163703
1.768912977	49.51463336
1.710841961	49.53691742
1.745225473	49.4923451
1.71420105	49.47006105
1.727074548	49.51463336
1.805569466	53.61536313
1.848972554	53.48164616
1.847753114	53.57079082
1.801502537	53.52621848
1.890917008	53.45935788
1.899333331	52.90219328
1.886475641	52.70161574
1.837111077	52.879905
1.82378506	52.90219328
1.822569292	52.879905
1.871264816	51.54270998
1.890192242	51.56499826
1.860160999	51.54270998
1.903874815	51.56499826
1.872587406	51.54270998
1.859656904	51.56499826
1.936540061	51.52042592
1.835928682	51.56499826
1.881772566	51.54270998
1.894845977	51.58728654
1.918232494	51.52042592
1.836432298	51.54270998
1.860423984	51.54270998
1.935379701	51.43127704
1.846981563	51.52042592
1.975187221	56.20060857
2.018190162	56.17832029
2.035929923	56.20060857
2.03766256	56.15603626
2.028171622	56.17832029
2.034794792	55.04170705
2.097930069	54.99713049
2.024194431	55.01941877
2.099344472	55.01941877
1.994777299	55.13085168
2.191273668	58.16182881
2.117787283	58.22868516
2.100746421	58.29554576
2.179149366	58.25097344
2.109262062	58.22868516
2.177239171	57.3372218
2.119274179	57.3372218
2.174041515	57.31493777
2.111867483	57.44865472
2.180187096	57.31493777
2.154232362	56.75777317
2.18991084	56.80234549
2.153253074	56.82463377
2.222428546	56.80234549
2.154112765	56.82463377
2.2645793	60.27905428
2.291454083	60.256766
2.279888485	60.256766
2.195061485	60.23447772
2.309207417	60.23447772
2.412902763	61.48252811
2.34357049	61.48252811
2.376591173	61.46023983
2.400730718	61.41566752
2.306159056	61.48252811
2.39481986	60.70249769
2.370764463	60.70249769
2.365301494	60.72478597
2.359364129	60.79164232
2.38892449	60.74707
2.451975298	59.766462
2.425562296	59.78874603
2.421597081	59.78874603
2.353599373	59.74417371
2.37907061	59.766462
2.438921526	58.47383929
2.459808647	58.47383929
2.433500711	58.47383929
2.413566214	58.49612757
2.459650888	58.45155101
2.423136989	58.28886013
2.466140409	58.26657609
2.423760042	58.1997155
2.430950538	58.24428781
2.454374898	58.26657609
2.44341862	58.22199953
2.416251313	58.22199953
2.425526529	58.35572072
2.447886653	58.1997155
2.440534726	58.24428781
2.414926327	58.33343244
2.421825097	58.35572072
2.474453742	58.31114841
2.397529229	58.378009
2.49799227	58.378009
