"Mugaruma et al. 1989, Spec. BH1"	
-7.95	-208.65
-9.73	-222.46
-12.22	-231.97
-14.09	-240.25
-15.35	-239.76
-15.75	-229.6
-15.25	-204.45
-14.2	-177.35
-13.04	-151.26
-11.74	-123.42
-10.21	-94.838
-8.21	-65.811
-5.76	-36.003
-3.67	-7.6313
-2.08	19.902
-0.85	46.722
0.25	73.493
1.43	101.13
2.76	128.15
4.6	157.61
6.99	186.66
8.88	201.11
10.58	211.97
12.3	221.58
14.66	230.91
15.33	233.05
15.12	206.48
14.17	179.48
13.09	153.12
11.91	125.44
10.53	97.57
8.71	68.639
6.53	39.318
4.07	9.2936
2.43	-18.683
1.06	-45.407
-0.19	-72.329
-1.5	-100.56
-2.95	-128.52
-4.83	-156.96
-7.65	-187.43
-9.62	-203.59
-11.53	-216.66
-13.2	-224.5
-15.58	-232.91
-15.99	-228.47
-15.55	-204.73
-14.47	-177.81
-13.29	-150.65
-11.99	-123.48
-10.41	-95.307
-8.51	-66.215
-6.07	-36.247
-3.97	-10.835
-2.08	19.249
-0.71	46.927
0.59	75.268
1.86	101.58
3.39	130.17
5.5	159.17
8.72	189.71
11.19	206.66
13.24	217.45
15.68	226.43
18.38	232.56
20.17	233.86
21.28	235.54
21.49	227.13
20.62	192.14
19.51	164.84
18.32	137.6
16.84	110.44
15.08	80.652
12.25	50.427
7.89	16.248
4.55	-14.427
2.43	-43.076
0.71	-71.668
-0.9	-99.783
-2.63	-127.91
-4.87	-157.29
-7.95	-187.73
-10.19	-202.14
-12.89	-216.29
-17.29	-232.48
-19.35	-234.54
-21.41	-236.95
-22.13	-225.29
-21.17	-190.61
-19.93	-164.16
-18.58	-135.99
-16.94	-108.02
-14.83	-79.169
-11.45	-46.353
-7.45	-15
-4.43	15.129
-2.05	44.733
-0.28	72.895
1.6	101.73
3.7	130.05
6.8	161.56
9.47	181.34
13.31	201.03
16.19	212.81
20.07	222.78
21.79	224.31
21.24	192.07
20.12	165.15
18.84	137.05
17.4	109.48
15.65	80.902
13.07	51.061
8.89	17.919
5.36	-13.058
2.6	-42.932
0.49	-71.886
-1.53	-101.51
-3.84	-130.13
-6.93	-161.39
-10.91	-187.85
-15.15	-208.66
-17.12	-216.07
-20.55	-226.1
-21.34	-226.52
-21.56	-222.73
-20.69	-189.91
-19.43	-162.97
-18.12	-135.15
-16.66	-108.75
-14.48	-77.777
-11.65	-47.897
-7.64	-14.818
-5.6	-3.7158
-4.16	16.257
-2.11	44.899
-0.38	72.599
1.57	101.46
3.88	130.7
6.51	158.75
6.88	161.59
11.76	194.65
12.39	197.54
16.5	215.92
20.84	225.65
24.53	229.29
26.65	230.17
27.01	221.4
26.55	199.23
25.46	172.5
24.23	145.23
22.88	117.63
21.26	89.57
19.05	60.139
15.13	27.476
9.93	-6.2409
5.3	-39.664
1.72	-71.121
-1.05	-101.03
-4.05	-131.55
-8.46	-165.33
-12.88	-190.75
-17.26	-207.38
-20.1	-217.49
-24.32	-225.1
-26.9	-228.96
-26.95	-202.68
-25.75	-175.19
-24.36	-147.28
-22.8	-119.39
-20.67	-90.28
-17.31	-57.912
-11.47	-22.052
-6.58	10.93
-3.12	42.175
-0.35	72.386
2.36	101.59
5.82	136.52
9.91	164.84
14.47	187.13
18.17	202.35
26.75	220.18
26.8	198.71
25.77	172.01
24.53	144.86
23.15	116.24
21.69	89.676
19.65	60.945
16.02	28.153
11.96	-3.0655
6.57	-38.323
2.62	-69.701
-0.79	-101.13
-4.53	-132.97
-10.12	-167.18
-16.6	-196.71
-21.48	-210.77
-26.61	-219.45
-26.69	-201.6
-25.51	-174.41
-24.07	-147.19
-22.48	-119.42
-20.45	-90.038
-17.39	-57.951
-12.09	-22.551
-6.82	11.916
-2.78	43.219
0.38	74.365
3.63	104.52
7.73	137.63
13.83	172.93
14.89	175.76
18.24	191.52
21.18	200.24
24.79	207.82
26.64	209.97
30.03	213.42
31.92	214.09
32.19	205.98
31.52	180.11
30.32	152.94
28.99	125.52
27.53	97.859
25.68	69.388
22.87	38.803
18.25	5.5758
11.33	-30.987
5.1	-65.984
0.46	-98.881
-4.04	-132.07
-10.68	-169.67
-15.27	-188.04
-22.47	-208.74
-30.55	-223.08
-32.14	-223.88
-32.76	-215.22
-31.79	-184.82
-30.4	-156.79
-28.85	-129.06
-27.03	-100.51
-24.36	-70.031
-19.27	-34.942
-11.2	4.7985
-4.94	40.538
-0.52	71.986
4.24	105.51
10.35	140.91
13.8	157.37
21.37	184.42
25.01	192.46
30.18	199.22
35.13	202.17
37.2	202.64
40.27	202.18
42.51	202.52
42.93	194.43
42.24	169.6
40.93	141.63
39.54	114.29
38.01	86.817
35.75	57.588
