"""Thompson and Wallace, 1994, C3"""	
4.29514	16.00514398
3.19786	10.11347527
1.8034	0.746411484
0.27178	-11.55247476
0.07874	-11.95948698
-0.76454	-19.86041712
-2.38252	-30.04150535
-4.03352	-38.7840389
-5.70484	-45.81578666
-7.43458	-51.68032122
-8.41502	-51.46324804
-8.18388	-47.66224319
-8.09498	-46.41318274
-8.03148	-45.54444517
-7.98068	-44.86564665
-7.9375	-44.51290272
-7.89686	-43.96977494
-7.7724	-41.96051352
-7.49046	-38.48556327
-7.2136	-34.41277212
-6.94436	-30.88355358
-6.6548	-28.38543267
-6.32968	-26.37661606
-6.0071	-24.1774156
-5.71246	-22.08675173
-5.22732	-19.39869178
-3.85572	-12.31267573
-2.4765	-3.977599218
-1.08966	6.529543606
0.20574	16.98241813
1.5367	26.83789658
3.0607	35.28150968
4.80822	42.82925108
6.5278	48.88372468
7.84352	52.52192464
8.44804	53.30925975
8.03148	46.35891444
7.67842	41.77057448
7.33044	37.29077111
6.99008	33.46263212
6.62432	29.66162727
6.30682	27.08254874
5.5245	22.901221
4.26466	15.89660739
2.90322	7.697201618
1.65608	-0.475070003
0.33274	-10.19487771
0.10414	-11.25355431
0.09144	-10.6294689
0.08128	-10.60233475
-1.41986	-22.49376395
-3.48996	-33.46263212
-5.37464	-41.68917203
-6.63448	-46.82063978
-7.53364	-49.83430951
-8.38708	-52.06064412
-9.22528	-53.96092413
-10.03046	-54.25984458
-10.79754	-52.6580402
-11.05154	-43.94264079
-10.6553	-38.56696571
-10.2489	-33.21842478
-9.50468	-24.20454975
-8.3058	-18.09580785
-6.67766	-11.14501772
-4.8641	-5.090544112
-3.04546	2.592868021
-1.44272	11.60674306
0.1905	21.27228247
1.83388	30.50323069
3.57886	38.13237452
5.34416	44.02404324
7.14756	49.31831587
8.52678	52.19631486
9.7663	53.74385094
10.84834	52.2777173
10.70102	47.58084075
10.52576	45.40877443
10.12698	40.63049544
9.36498	31.83369359
8.46836	24.80150101
7.33044	19.91468542
5.90296	14.56614449
4.33832	8.403134291
2.68224	1.452344157
0.90678	-7.67006747
0.12446	-11.17215186
0.11684	-10.98221283
-1.01854	-18.15007615
-3.01244	-26.59368925
-5.17398	-34.11429649
-6.98246	-38.94684379
-8.29056	-42.20516567
-9.67486	-44.37678716
-11.0871	-44.81137835
-10.44448	-33.76110775
-9.64438	-24.82907998
-8.80872	-19.86041712
-7.98068	-15.59768694
-6.63702	-10.41195089
-4.77266	-5.389464564
-3.03784	3.135995805
-1.3589	10.79227379
0.29464	19.75188053
2.1209	28.9556946
3.71348	36.53057014
5.3594	41.1731784
7.02818	45.40877443
8.68934	48.77518809
10.11428	50.81158366
10.52068	45.27310369
9.70026	35.36335695
8.60806	25.04615316
7.34314	19.91468542
6.03758	14.62041278
4.78536	9.977804525
3.5306	4.656397743
2.1463	-2.104008533
0.31242	-11.19928601
0.12446	-11.71527965
0.12192	-11.14501772
0.10668	-11.06361527
-1.55448	-20.26742934
-4.13512	-30.47609654
-6.80974	-37.96956963
-9.46404	-43.34524471
-10.6807	-44.32251887
-11.8872	-44.24111642
-13.03782	-44.05117739
-13.6144	-39.65277646
-12.9159	-31.48050484
-12.23264	-24.47589123
-11.25982	-17.09095473
-9.50214	-10.49335334
-7.30504	-5.470867008
-5.1181	1.425210008
-2.88798	9.570347482
-0.91694	18.23147859
1.17094	26.43088436
3.05562	35.33577798
4.76758	39.62564231
6.33984	43.7798359
8.001	46.63025592
9.6647	49.04697439
11.21918	50.40412662
12.17422	50.92012025
13.04544	50.51310803
13.06322	44.8385125
12.26312	35.90603991
11.51636	27.97842045
10.77976	22.8469527
9.52246	18.28574689
7.94258	13.18141329
6.32968	8.837280661
4.77012	4.167538255
3.2004	-0.475070003
1.56972	-6.529543606
0.17526	-12.14987084
0.0889	-11.55247476
-1.30048	-18.122942
-3.37566	-25.53456783
-5.49402	-31.42623654
-7.68604	-36.0688448
-9.16432	-38.26804526
-10.44702	-39.89742862
-11.8491	-40.71189788
-13.2207	-41.33598329
-13.4493	-35.0101682
-12.2555	-22.22242247
-11.0744	-14.45760789
-9.66724	-9.326140149
-7.46506	-4.330343144
-5.31368	1.507057275
-3.70586	6.964134798
-1.80086	14.51187619
0.30734	23.25396492
2.51714	31.83369359
4.88696	37.75249645
7.24408	42.74784863
9.60374	46.1689754
11.96594	48.34104172
13.24102	48.36817587
13.1318	43.5623179
12.63142	37.83389889
12.1158	32.24070581
11.61034	26.86503073
10.94994	22.00534929
9.56056	16.98241813
7.51078	11.22642016
5.36956	5.498001156
3.25374	-0.746411484
1.0287	-8.294597699
0.0762	-11.03648112
0.05334	-11.03648112
0.04826	-10.19487771
0.0381	-9.624615778
-0.01524	-11.22642016
-3.33756	-23.47148293
-6.89102	-32.56676041
-10.46734	-38.59409986
-13.33246	-40.0602335
-14.73708	-39.7341789
-15.4432	-39.65277646
-16.02486	-39.30003254
-16.43634	-39.08251453
-16.74622	-38.91970964
-17.17294	-38.91970964
-17.653	-38.43129497
-18.12798	-38.24091111
-18.5801	-37.7796306
-19.05	-37.50784429
-18.72996	-32.56676041
-18.45056	-29.06423119
-18.26768	-27.02783562
-18.0594	-24.74723271
-17.85874	-22.57561122
-17.6657	-20.37641076
-17.16278	-14.75608352
-16.46682	-11.55247476
-15.74038	-8.56593918
-14.9987	-6.149665533
-14.16812	-3.787660182
-12.42314	-1.072466083
-10.5664	1.153868527
-8.94842	4.683531891
-7.29996	7.642933322
-5.6515	11.19928601
-4.0386	14.62041278
-2.43586	18.7470274
-0.83566	23.49861708
1.22174	30.3404258
3.48742	36.04171065
6.49986	40.79330032
9.4996	44.70284176
12.48664	47.01057882
15.18158	46.87490808
16.72844	46.41318274
18.32356	45.62584762
17.31264	32.3492424
16.3576	23.25396492
16.07566	20.97336202
16.01724	20.75628883
15.94358	20.43067905
15.89278	19.99608786
15.84198	19.83328297
15.77848	19.61620979
15.61338	18.71989326
14.34084	14.59327863
12.16406	9.706018222
10.05332	6.176799681
7.92988	2.75567291
5.7277	-0.991063639
3.55346	-4.710666039
1.31064	-9.299006001
0.08382	-12.28554158
0.00508	-11.93235283
-1.14046	-15.86947324
-3.8862	-22.60274537
-6.0325	-26.72935999
-8.23214	-30.47609654
-10.42416	-33.13702234
-12.74318	-34.30423553
-14.45768	-34.79309502
-15.25016	-35.0101682
-16.11376	-35.30864383
-17.02308	-35.44475939
-17.82826	-35.55329599
-18.43786	-35.17297309
-18.95094	-35.09157065
-19.12366	-32.83810189
-18.7452	-28.33116437
-18.20926	-22.27669077
-17.39392	-14.43047375
-16.48206	-9.16333526
-15.52956	-5.850745081
-14.5415	-3.515873878
-12.4841	0.692143188
-10.19556	3.163129953
-7.06628	8.484536735
-3.54838	15.92374154
0.06604	24.47589123
3.28676	31.69802285
5.92328	36.4491677
8.49122	39.54423987
11.00582	41.60776959
13.32738	42.80211693
15.6591	43.39951301
17.38376	43.15530568
18.13814	42.77498278
18.45818	41.39069641
18.02892	36.61197258
17.58696	32.02363262
17.03324	26.86503073
15.82928	17.11808887
14.22654	12.55688306
12.04468	7.588665026
9.8806	4.303208995
7.7343	1.181002676
5.18922	-2.701404613
2.12852	-7.832872359
0.0508	-11.90521868
-0.04318	-11.25355431
-0.07112	-11.44393817
-2.81686	-18.122942
-7.04596	-25.2903605
-9.27608	-28.46683511
-11.47064	-31.53477314
-14.18336	-33.00090678
-16.99514	-32.97377263
-18.2499	-32.675297
-19.35988	-32.2949741
-20.46986	-31.6708887
-21.1709	-31.39910239
-21.77034	-30.77457217
-22.38756	-30.04150535
-23.28418	-29.52595653
-24.22906	-28.9556946
-25.12822	-27.92415215
-26.08834	-27.19108533
-27.0383	-26.40375021
-28.02636	-25.48029953
-28.98648	-24.55729367
-29.56052	-23.68855611
-29.39034	-19.72474638
-28.94076	-15.4077479
-28.4988	-10.98221283
-27.69362	-3.95046507
-26.15184	2.75567291
-24.3078	6.991268946
-21.17852	11.7424138
-17.82826	12.88293766
-14.3256	14.78321767
-10.82548	17.63408251
-7.42696	20.48494735
-4.06908	24.55729367
-0.34798	30.2861575
4.1656	36.12355792
8.76554	38.97397794
13.26388	39.40856913
15.8496	39.24576424
18.1991	39.08251453
20.57654	37.86103304
22.6822	36.36776525
24.31288	35.28150968
25.93594	33.97862575
26.84018	32.40395552
27.3304	32.51249211
27.79776	32.18643751
28.28798	31.80655944
28.75534	31.50763899
28.6385	27.9512863
28.18892	23.76995856
27.77998	19.83328297
26.95448	12.33980988
25.9715	7.045537242
24.88692	4.574995299
23.53564	1.370941712
21.77796	-1.343807564
19.93138	-3.624410471
16.7513	-5.850745081
13.1699	-7.344012871
9.73328	-9.244737704
5.15112	-11.28068846
0.63754	-14.62041278
-0.21336	-14.48474204
-0.21844	-14.05015085
-2.96926	-17.14522302
-8.69696	-19.75188053
-14.49832	-21.21801417
-20.09394	-21.10947758
-23.69566	-20.07749031
-27.12212	-19.1816186
-30.19298	-17.68835081
-28.9052	-4.38461144
-27.31008	4.900605076
-25.25268	8.647341624
-23.11908	12.36694402
-20.83816	13.91448011
-17.65808	14.62041278
-14.1224	15.62482108
-10.57148	17.44414347
-7.15772	19.45296008
-3.72364	21.89681269
-0.36576	23.66142197
3.21564	25.10042146
7.84352	26.81076243
12.36472	27.35389022
15.72768	27.48956096
18.58264	27.16395118
21.20138	26.37661606
23.59406	25.75208584
25.93086	24.93761657
28.08732	23.98703174
28.95854	19.88755127
27.58186	7.615799174
26.20518	-0.529338299
24.74722	-3.787660182
22.9616	-6.964134798
20.30476	-9.869267933
17.21358	-11.33540157
14.07414	-12.50261476
10.60958	-13.88734596
7.13232	-14.89175426
3.6068	-15.54341864
0.2921	-15.89660739
-0.23368	-14.86462012
-0.254	-14.51187619
-3.33756	-16.27648546
-9.3218	-15.3534796
-15.4686	-14.45760789
-20.09902	-13.80594352
-24.66086	-13.45275477
-28.80868	-12.25840743
-31.80842	-10.98221283
-32.92348	-10.16774356
-33.87344	-10.3034143
-34.84372	-9.950670377
-36.14928	-9.896402081
-37.24148	-9.217603556
-37.91204	-8.972951401
-38.4683	-8.674475772
-39.0017	-8.891548957
-39.56558	-8.321731847
-40.0812	-8.131347988
-40.59936	-8.158482136
-40.7035	-2.430063132
-39.2684	9.217603556
-37.15004	15.43488205
-34.798	18.77416155
-32.32658	20.59348394
-28.58008	21.8425444
-24.35352	22.30382492
-20.25904	23.66142197
-14.07922	23.74282441
-6.52018	23.93276345
0.4064	23.68855611
6.52526	22.5208981
11.3411	21.27228247
17.8943	18.93741126
23.22576	17.14522302
27.5082	16.14081472
31.8262	15.3534796
35.74542	14.91888841
37.79266	14.56614449
39.33698	14.64754693
40.89146	14.53901034
39.7764	4.194672403
38.44544	-2.620002169
36.93668	-6.502409458
35.39998	-8.755878216
32.66948	-11.90521868
26.90876	-14.3490713
19.7993	-15.4620162
13.09878	-15.81520494
6.64718	-15.32634546
0.62992	-14.91888841
-0.0508	-13.83307767
-0.05334	-13.23568159
