"Mugaruma et al. 1989, Spec. AH1"	
28.4	197.25
33.16	202.33
35.98	203.59
40.11	204.15
45.19	204.23
50.09	201.77
50.38	197.47
49.55	170.33
48.38	142.66
46.7	113.79
44.85	83.952
