"Sugano 1996, No.UC15L"	
992	
-9.795661791	-311.75
-10.17857533	-310.75
-10.5971633	-311.75
-11.10370768	-308.5
-11.4615475	-308.25
-11.81737542	-307.25
-12.2676527	-304.75
-11.97300409	-274
-11.45263173	-250.5
-10.77262717	-223
-9.712597782	-183.25
-8.638901044	-150.25
-7.376115491	-118
-5.843668448	-80.25
-4.747586134	-53
-3.989354506	-29.75
-3.248966452	-11
-3.042001336	-6.75
-2.312975369	16.5
-1.599756739	43.5
-0.839160973	66.5
-0.081000001	92.5
0.846045997	121.75
1.642687297	145.25
2.391952527	169.5
3.154596674	189.75
3.953306699	209
4.925401674	230.75
5.724173709	249.5
6.700815198	264.25
7.44376883	275.75
8.051448999	281.5
8.915621289	288.75
9.638043333	294.75
10.53192236	299.5
11.44857911	299.25
12.09499627	299.25
11.90086336	268.25
11.35577456	240.25
10.56798717	207
9.38399489	161.75
8.010936099	122
6.334213293	77.25
5.031119611	44.75
3.926169619	15
3.050911745	-3.25
2.007193311	-36
1.037206837	-62.5
-0.06075	-93.5
-1.037206837	-123
-2.007193311	-149.25
-3.091413631	-177.5
-4.052539551	-199.5
-5.024638803	-219
-6.037292187	-238.75
-6.90336147	-254.75
-8.1863579	-267.75
-8.942766973	-276.5
-9.795661791	-280.5
-10.56555583	-285.5
-11.4007583	-286.75
-12.24536117	-285.25
-11.95922435	-256.25
-11.49558964	-235
-10.64660082	-200
-9.64736261	-161.75
-8.762472222	-134.75
-7.398801603	-96.75
-6.032431313	-62.75
-4.524812486	-25.5
-3.786839385	-7.25
-2.614709425	24.25
-1.349869049	57
-0.05832	92
1.307343678	123
2.135176023	147.25
3.098298957	168.25
3.824912108	183.75
5.008841839	207.75
5.906454148	227.75
7.229871983	247.5
8.089531244	258.75
8.992196595	268.25
9.696795436	275.25
10.52949103	280.25
11.39427415	282
12.05852002	285.25
13.03127579	284.5
13.79700079	281
14.68646108	277.25
15.45682445	276.25
15.96369154	272
15.82622524	244.5
15.47020524	219.25
14.49266759	182.75
13.23840712	141.5
11.60136426	103.25
9.669647871	68
7.62606993	34.5
6.143016549	9.75
5.488022059	-1.75
3.937510484	-30.75
3.089388535	-48
1.964262475	-75
0.94284138	-95.5
-0.044955	-116
-1.242138155	-141
-2.029468759	-160
-2.866628776	-175.5
-4.041198633	-198.5
-5.224734753	-218.25
-6.237399406	-232.75
-7.121709485	-246.25
-8.22687137	-254.25
-8.940336014	-262
-9.800118903	-265.25
-10.51855005	-271
-11.40318986	-272
-12.28143294	-272
-12.98141918	-273
-13.79010932	-271
-14.60294272	-266.75
-15.5581947	-264
-16.26337031	-263
-16.14171279	-241
-15.67984107	-220
-14.9070193	-189.75
-13.87807738	-153
-12.85981901	-122.25
-11.71402982	-94.75
-10.24138264	-67.5
-8.30789871	-36.75
-6.984380757	-14.25
-6.415229548	-7.5
-5.024638803	19.5
-4.086157299	35.5
-2.97679342	56
-1.959807391	72.5
-1.208117903	87.5
-0.006885	107.75
0.940411369	122.25
1.991397999	138.5
3.100729072	156.5
4.02297217	170.5
4.889352388	181.75
5.946961173	199.5
7.376115491	217
8.292098336	224.75
9.142917768	233
9.951256661	240
10.70738502	243.25
11.3334854	249.75
12.1865929	253.5
13.16868715	254.5
14.17969024	255
15.39154285	253.5
16.22484517	251
15.90286538	223.75
15.41181657	201.75
14.41604361	163.25
13.15044656	120.75
11.73429357	86.25
10.0322966	52.75
8.382039198	25.75
6.448851415	-1.25
5.051372153	-21.25
3.363992662	-44.25
2.081309841	-66
-0.01134	-95
-2.027443718	-127.75
-4.054564715	-157.5
-6.122762788	-185
-8.100874913	-207.5
-9.651819658	-221.5
-10.91445947	-234.75
-12.20037301	-237.75
-13.14152896	-243.25
-14.2652306	-241.25
-15.17745615	-243.5
-16.26093713	-240.75
-15.97504582	-212.5
-15.50872582	-191.75
-14.96337631	-171
-14.19104151	-141.5
-13.11882965	-106
-12.06946288	-77.75
-10.43061743	-44.75
-9.055402001	-21.5
-7.943279845	-5.25
-6.226057231	21.75
-4.047679157	52.75
-2.198357488	80.5
-0.211410016	105
2.166766745	134
3.798180191	150.75
5.940480043	179.75
8.010936099	200
9.825240843	217.5
12.07635283	230.75
13.7090337	237
14.70146206	235.5
16.12143677	228.5
17.13531971	233.5
17.99603947	229.25
18.63821682	223.5
19.61197289	224.75
20.34038063	220.25
20.40328429	215.5
20.15979067	197
19.76981955	180.5
19.02161198	151.5
18.10881066	120.25
16.97065357	86.25
15.41181657	54.5
13.88902279	29.75
12.05406182	6.5
11.09479226	-4.5
9.613327029	-21.25
7.893854545	-41.5
5.97855672	-61.75
3.852049083	-82
2.236428412	-100
1.142912457	-110.75
-0.0405	-122.75
-2.276929431	-147.5
-4.189441032	-168.75
-6.156384045	-187
-8.283185314	-204.75
-10.39009575	-217.75
-12.41883136	-223
-13.93199381	-223
-15.17745615	-222.5
-16.36475338	-219.5
-17.16249412	-219
-18.40413596	-213.25
-19.28736762	-212
-20.32901748	-208.25
-20.03155545	-179.75
-19.08449951	-143
-17.97372889	-105
-16.8940002	-74.25
-15.27882209	-41.5
-14.04226024	-23.5
-13.23151616	-12
-12.63243172	-6.5
-10.64903218	19.75
-8.593929562	42
-6.491790291	61.5
-4.441779244	81.25
-2.436908821	97
-0.351135071	111.5
1.856125526	130.5
3.60457709	142.5
6.095622786	161.5
7.954623383	175.5
9.960171022	187.5
11.93693365	197.5
13.0673511	201.25
14.59199621	202.5
16.16198888	202.75
17.05176933	201.75
18.24186737	199
19.28980208	195.5
20.14193494	192.75
19.90535243	168
19.51540071	152
18.78710885	125
18.03457613	99.25
16.75448546	60.75
15.24962854	30.25
14.01063955	10
12.67093714	-3.25
11.06115689	-23.75
8.683872698	-40.5
6.005696531	-63
3.879186085	-78
1.856125526	-89.75
-0.096795001	-105.25
-2.191472324	-121.25
-4.250196374	-135
-6.212689678	-151.75
-8.251584652	-163.5
-10.45533573	-175.5
-12.25873608	-184.25
-13.80591917	-186.25
-15.02216649	-186.75
-16.10805463	-188.75
-17.55876806	-184.5
-18.18994242	-182.75
-19.2289408	-180.5
-20.32211843	-177
-20.05184561	-149.5
-19.78361615	-138.5
-19.0982943	-112.75
-18.62036628	-96.25
-17.40585261	-58.25
-16.09670011	-26.25
-16.07642423	-27.75
-14.82836353	-7.25
-12.796993	20
-10.61053572	45.75
-8.656727625	63.25
-6.84502786	75.25
-4.475397544	91.25
-2.150971381	104.75
-0.110160002	114
0.630180412	118
1.874350839	129.75
3.653990304	142.75
6.039317552	154.75
8.057931075	166.5
10.13805469	175.5
12.20928956	179.75
14.28996047	184.25
16.23417229	181
18.34085064	177.25
20.12407927	170.25
21.54664857	162
22.36547846	160.5
23.3781582	155
24.3281152	150.75
25.81339243	146.25
26.32134125	139.75
27.44109835	136
28.41480978	130
29.52870337	120.5
30.39843269	112.25
31.36158227	106.75
32.37020518	103.25
32.22324708	83.5
31.65094882	65
30.62220666	34.25
29.73411517	11.5
29.03373143	-3.25
28.85967418	-1.25
28.61812297	2
28.35585112	4.75
27.68501002	0.75
26.00274802	-2.5
