"""Thompson and Wallace, 1994, B3"""	
787	
-1.86944	9.73315237
-1.07696	14.53901034
-0.31242	20.5120815
0.59182	27.46242681
1.82372	36.12355792
3.09372	43.80697005
4.82092	51.57178463
6.60654	57.3277826
8.03148	60.55852552
9.05764	57.84333142
9.80186	58.14225187
10.17524	57.27351431
10.34034	56.51331334
10.14222	53.06505242
9.81964	48.9384378
9.43864	43.37237886
9.00176	38.24091111
8.382	30.61176728
7.67842	23.52575122
6.94436	18.15007615
5.53466	10.84654209
3.8227	3.461605582
2.2479	-4.954873372
0.254	-17.95969229
-0.24384	-20.62061809
-1.64338	-30.2318892
-3.79476	-38.59409986
-5.62356	-43.75270176
-7.24662	-47.14624956
-8.75792	-49.96998025
-9.92124	-51.16477241
-10.6172	-51.49038219
-11.0871	-51.73458952
-11.48842	-51.2190407
-11.11758	-45.59871347
-10.71372	-40.52151402
-10.32256	-35.82463747
-9.94664	-30.91068773
-9.55548	-26.26763465
-9.1567	-22.24955662
-8.74014	-19.15448445
-8.32866	-15.95087568
-7.88162	-13.28994988
-6.88594	-9.244737704
-5.588	-4.54786115
-4.24688	-0.203728522
-3.00736	4.438879736
-1.77292	10.3034143
-0.56134	17.71548495
0.64008	25.69781754
1.905	33.51690041
3.03276	39.21863009
4.04622	43.4537813
5.22732	47.17338371
6.39318	49.86144366
7.57428	52.46765634
8.73252	54.44978362
9.92124	55.97018555
9.87806	48.36817587
9.07796	38.18664282
8.27024	28.84715801
7.4549	21.21801417
6.604	16.30361961
5.76326	12.33980988
4.31546	5.389464564
2.69494	-2.294392392
0.9652	-12.80153522
-0.19812	-19.86041712
-0.7747	-24.25881805
-3.35534	-35.85177162
-5.92582	-42.88396419
-8.66394	-47.87931638
-11.36904	-51.35471145
-13.7795	-48.82945638
-12.64158	-34.19569894
-12.17676	-28.84715801
-11.77036	-24.31308634
-11.6586	-23.28109907
-10.86104	-16.65680836
-9.32434	-9.923536229
-7.74954	-5.171946557
-6.1087	-0.801124602
