"Azizinamini et al., 1988, Spec. NC-4"	
4.6606	-96.375
3.0295	-122.32
1.3399	-145.18
-0.46606	-167.42
-1.806	-181.01
-2.6797	-190.28
-4.6606	-213.75
-7.1656	-242.79
-9.2045	-266.26
-11.418	-290.36
-13.224	-308.27
-15.38	-326.19
-18.234	-346.57
-21.089	-366.34
-23.477	-383.02
-26.157	-396
-29.594	-408.35
-31.341	-417
-30.993	-395.38
-30.526	-368.2
-30.061	-342.87
-29.129	-319.39
-26.624	-272.44
-24.701	-229.2
-21.38	-169.89
-19.225	-128.5
-17.768	-101.93
-15.38	-67.957
-13.108	-35.831
-9.321	16.68
-6.4082	54.982
-3.5537	90.197
-1.3982	116.14
0.58257	135.29
2.272	153.21
5.2431	182.24
6.7577	200.78
8.7968	221.16
10.777	239.7
12.933	259.47
15.322	280.47
17.535	300.24
19.458	316.92
20.973	331.13
23.245	341.63
27.729	363.25
30.409	374.99
32.042	379.93
35.885	384.88
38.623	385.49
38.158	349.04
37.518	316.92
36.645	283.56
35.42	257
33.498	219.93
31.516	180.39
30.002	149.5
28.197	112.44
24.468	58.073
21.089	11.738
18.875	-14.827
15.962	-46.335
13.399	-74.753
11.127	-99.462
10.428	-107.49
6.8161	-137.76
2.1555	-179.16
-0.99037	-204.48
-4.5441	-236.61
-7.8646	-266.88
-12.758	-305.8
-17.127	-337.92
-20.798	-364.49
-23.303	-383.02
-25.982	-390.44
-29.129	-390.44
-33.439	-387.96
-35.07	-382.4
-37.226	-387.96
-39.324	-390.44
-38.74	-355.22
-38.509	-334.84
-36.294	-290.97
-34.021	-246.49
-31.692	-201.4
-29.769	-163.71
-27.264	-113.67
-23.769	-74.753
-19.4	-25.329
-15.788	16.062
-12.583	51.895
-9.8453	82.782
-7.8646	107.49
-2.8547	147.65
1.3982	179.16
4.3693	203.25
6.7577	223.64
13.05	256.38
16.37	274.91
19.05	291.59
22.662	310.74
24.06	318.16
26.624	326.8
30.119	339.16
31.984	342.87
34.953	345.96
37.051	349.04
38.974	349.66
37.749	325.57
36.002	290.97
34.138	252.67
32.332	216.22
29.421	152.59
27.556	114.29
25.517	68.575
23.594	29.036
22.021	0
19.341	-30.271
16.545	-61.16
13.923	-89.578
11.884	-109.35
6.9908	-145.18
4.2527	-165.56
1.3399	-187.19
-1.6895	-207.57
-4.9517	-227.96
-7.1656	-241.55
-10.894	-263.79
-14.448	-284.8
-15.613	-294.68
-18.759	-309.51
-21.846	-323.72
-23.827	-331.75
-27.089	-341.01
-29.362	-346.57
-30.935	-350.9
-34.138	-349.04
-36.645	-345.96
-39.032	-343.48
-39.032	-320.63
-38.974	-301.48
-37.983	-276.76
-36.411	-243.4
-35.187	-211.28
-32.449	-166.18
-30.467	-131.59
-28.603	-104.4
-26.099	-71.662
-24.06	-42.627
-22.254	-16.68
-21.089	0
