Gill et al. 1979 Specimen 2	
11.727	609.15
12.537	623.7
14.377	656.39
14.892	666.09
16.168	686.68
17.076	697.58
16.683	637.04
16.315	604.35
15.922	571.61
15.628	549.82
15.26	521.97
14.72	484.43
14.205	451.74
13.518	412.98
12.733	377.86
11.973	342.74
11.285	303.98
10.476	270.07
9.6172	230.1
8.5377	179.24
6.158	85.989
5.2012	52.077
3.5082	-9.6886
2.4534	-56.921
1.6438	-96.886
1.1776	-123.53
0.34348	-174.4
-0.049068	-198.62
-0.63787	-232.53
-1.2512	-266.44
-1.84	-301.56
-2.4534	-335.47
-3.1895	-375.44
-3.95	-415.4
-4.686	-446.89
-5.3975	-478.38
-6.3053	-511.08
-7.6792	-554.67
-8.8814	-592.21
-9.5928	-607.95
-10.599	-633.4
-11.58	-657.64
-12.439	-675.78
-13.126	-687.88
-14.058	-704.83
-15.554	-729.07
-16.119	-741.17
-17.394	-758.12
-17.983	-765.41
-17.861	-735.12
-17.517	-689.13
-17.125	-646.74
-16.757	-615.25
-16.413	-587.36
-16.045	-565.56
-15.088	-505.03
-14.622	-480.78
-14.033	-451.74
-13.543	-427.52
-13.126	-405.72
-12.561	-380.28
-12.046	-356.06
-10.942	-307.61
-10.133	-273.7
-9.3228	-232.53
-8.366	-198.62
-7.7772	-174.4
-6.7714	-132.01
-7.3355	-156.23
-6.5014	-122.32
-5.6672	-90.833
-5.0295	-61.765
-4.367	-37.544
-3.95	-14.533
-2.7231	35.121
-2.0363	67.819
-1.5211	100.52
-0.56429	144.12
-0.049068	174.4
0.46614	201.04
1.472	250.69
2.3552	290.66
2.9195	312.46
3.3856	333.05
4.1463	363.33
4.8577	387.55
5.4712	410.56
6.1333	433.57
6.6487	450.54
7.8262	489.28
8.8814	519.57
9.7155	541.37
10.721	568.01
11.408	582.51
12.022	597.05
13.003	616.45
14.058	637.04
14.99	652.79
16.119	669.74
17.223	685.48
17.664	695.18
18.597	706.08
19.651	716.97
20.731	720.58
21.688	723.02
22.399	726.67
23.283	727.87
23.945	727.87
24.779	726.67
25.639	723.02
25.196	658.84
25.025	640.65
24.534	593.45
24.117	554.67
23.798	526.82
23.381	495.33
22.866	460.19
22.473	435.99
22.08	411.77
21.418	381.49
20.805	351.21
19.259	290.66
18.45	261.6
17.738	237.37
16.904	210.73
16.34	193.77
15.235	156.23
14.426	128.37
13.567	109
12.758	87.199
11.384	60.555
10.28	33.91
8.6114	0
7.6792	-16.955
7.0168	-25.433
6.4524	-36.333
5.6429	-50.867
4.8087	-71.453
3.999	-93.252
2.8951	-130.8
1.472	-187.72
0.368	-234.95
-0.26987	-264.02
-1.1776	-305.2
-1.791	-334.26
-2.8214	-379.07
-3.68	-410.56
-4.4407	-435.99
-5.6672	-477.18
-6.7224	-513.52
-7.6545	-541.37
-9.6662	-592.21
-10.623	-617.65
-11.899	-645.49
-13.175	-672.14
-14.058	-687.88
-15.064	-704.83
-15.824	-719.37
-17.885	-746.02
-18.793	-752.07
-19.602	-759.36
-20.51	-762.97
-21.442	-767.81
-22.154	-769.06
-23.111	-773.86
-23.945	-775.11
-24.706	-776.31
-25.86	-775.11
-25.712	-736.32
-25.54	-714.53
-25.221	-679.43
-24.632	-626.14
-24.239	-600.7
-23.822	-568.01
-23.332	-535.32
-22.792	-503.82
-22.129	-469.89
-21.393	-431.14
-20.559	-392.39
-19.848	-362.12
-19.21	-336.68
-18.425	-305.2
-17.419	-271.28
-16.389	-233.74
-15.088	-196.2
-14.279	-171.97
-13.493	-151.39
-12.733	-133.22
-11.433	-104.15
-10.255	-79.931
-9.2984	-62.975
-8.3906	-44.809
-7.6545	-27.855
-6.6977	-7.2667
-6.1826	6.0555
-5.6919	18.166
-5.1521	33.91
-4.686	49.653
-4.269	65.399
-3.8519	85.989
-3.1402	118.69
-2.3307	155.02
-1.3248	208.31
-0.53975	242.22
0.098135	270.07
0.93228	297.93
1.5947	319.73
2.3798	345.16
3.0422	364.54
3.95	389.97
4.6614	410.56
5.6429	434.78
6.7467	458.99
7.8019	484.43
9.0284	509.87
9.8872	524.42
10.917	541.37
12.095	560.71
13.076	575.26
14.426	598.26
15.358	614
16.192	623.7
17.002	634.6
17.861	643.09
18.499	652.79
19.406	662.49
20.265	670.94
21.222	679.43
23.847	696.38
25.098	702.43
25.54	702.43
25.196	660.04
24.166	568.01
23.7	538.92
23.234	506.23
22.571	463.84
21.884	426.3
21.246	396.02
20.633	368.17
20.044	340.32
19.529	318.52
18.523	277.34
17.91	254.33
17.125	220.42
16.438	196.2
15.407	162.29
13.493	107.79
12.071	71.453
10.5	35.121
9.4209	10.9
8.1697	-15.744
6.9185	-35.121
6.207	-48.443
5.1765	-69.033
4.2197	-89.618
3.0422	-122.32
2.0118	-150.17
1.1776	-176.82
0.17174	-210.73
-0.51521	-236.16
-1.1776	-260.38
-1.8155	-283.4
-2.6251	-312.46
-3.5329	-340.32
-4.4897	-374.22
-5.0541	-393.6
-5.4712	-409.35
-6.0599	-431.14
-6.5504	-448.09
-7.1638	-471.13
-8.1206	-497.78
-9.1021	-524.42
-10.059	-547.42
-11.114	-571.61
-11.58	-581.31
-12.512	-597.05
-13.543	-615.25
-14.72	-635.84
-16.266	-662.49
-17.443	-681.83
-19.995	-708.48
-21.025	-720.58
-21.958	-725.42
-23.013	-733.92
-24.215	-739.97
-25.172	-746.02
-25.86	-743.62
-25.639	-721.82
-25.245	-673.38
-25	-646.74
-24.558	-611.6
-24.166	-578.91
-23.773	-551.06
-22.988	-502.58
-22.375	-472.33
-21.835	-446.89
-20.976	-410.56
-20.412	-382.7
-19.553	-347.58
-18.817	-320.94
-17.664	-274.92
-16.806	-244.64
-15.849	-210.73
-14.769	-175.61
-13.543	-136.85
-12.365	-105.36
-11.457	-78.721
-10.451	-58.131
-9.4945	-36.333
-8.464	-18.166
-7.6299	0
