"""Mo and Wang, 2000 Test C2-2"""	
738	
-10.438	-112.55
-25.534	-152.83
-40.062	-197.27
-54.978	-235.84
-69.646	-260.99
-60.866	-158.94
-45.751	-51.27
-33.574	25.15
-21.758	58.11
-7.021	93.02
8.055	120.85
22.323	152.34
38.238	191.16
53.085	225.34
66.814	248.05
58.483	153.08
43.567	56.88
28.97	-14.65
19.864	-42.48
4.189	-80.81
-10.478	-111.33
-25.185	-147.95
-40.052	-189.7
-55.078	-226.32
-69.855	-253.17
-60.617	-153.08
-45.751	-48.1
-33.752	26.61
-22.546	58.59
-22.546	58.59
-4.886	89.11
7.975	123.54
25.097	157.96
42.149	198.24
58.353	231.45
73.929	251.22
64.22	149.41
48.187	47.61
33.423	-22.71
21.54	-51.76
4.718	-87.89
-10.648	-117.43
-27.829	-155.03
-44.203	-195.8
-60.277	-231.2
-76.301	-254.88
-66.394	-147.46
-50.41	-38.33
-37.407	36.62
-23.704	66.89
-7.191	100.83
9.153	127.2
24.798	157.96
41.271	194.58
57.445	225.34
74.877	245.85
64.48	146.24
47.748	45.9
32.754	-22.95
21.54	-50.54
4.947	-86.91
-11.556	-116.21
-27.49	-150.88
-43.983	-189.21
-60.616	-223.39
-76.62	-248.29
-66.713	-142.82
-51.119	-34.91
-37.917	34.42
-24.402	67.14
-24.402	67.14
-5.365	96.19
10.2	129.64
27.931	162.84
45.771	200.93
62.933	229.74
80.514	248.05
70.437	141.6
53.077	37.11
41.047	-30.27
23.067	-58.59
5.407	-93.51
-12.084	-122.56
-30.234	-157.23
-47.734	-195.07
-65.275	-227.29
-83.785	-249.76
-73.29	-137.45
-58.491	-26.37
-43.071	39.79
-25.4	74.71
-8.239	106.93
10.17	132.57
28.011	162.35
45.771	196.04
63.641	223.88
81.682	242.43
70.228	137.7
53.356	35.16
40.827	-29.54
23.077	-57.86
5.407	-92.77
-12.364	-120.85
-30.014	-154.05
-48.263	-189.21
-65.844	-220.95
-83.875	-243.41
-72.661	-133.3
-58.491	-23.19
-44.019	36.62
-25.28	74.46
-25.28	74.46
-5.335	101.56
11.408	135.5
29.927	166.75
49.712	200.68
68.74	227.54
87.988	243.16
75.775	133.3
57.037	26.37
42.33	-31.49
24.564	-65.19
5.816	-98.63
-13.601	-126.46
-32.848	-159.67
-51.546	-194.82
-70.953	-224.61
-89.951	-245.36
-78.218	-128.66
-59.301	-15.62
-45.094	44.68
-27.535	80.08
-7.54	112.79
10.769	137.21
30.545	165.53
49.772	196.04
68.99	220.7
88.247	236.08
76.264	128.17
57.287	23.68
42.661	-21.24
24.813	-64.21
4.768	-97.9
-13.352	-124.76
-32.738	-155.76
-51.546	-188.72
-70.724	-218.02
-90.191	-238.77
-78.926	-123.78
-60.249	-12.7
-45.904	41.5
-26.877	80.81
-26.877	80.81
-5.774	105.22
12.465	137.94
32.96	167.48
52.855	200.93
73.969	227.78
94.863	241.7
82.451	120.36
67.788	13.43
47.064	-37.6
26.43	-72.75
6.016	-103.76
-14.539	-129.39
-35.182	-160.16
-55.527	-193.6
-76.211	-220.46
-97.326	-238.77
-84.496	-117.92
-70.051	-4.15
-49.627	44.68
-28.803	86.67
-8.109	115.23
12.495	136.23
33.339	160.4
53.943	186.04
73.909	205.08
