"Aboutaha and Machado, Test ORC2"	
10275	
2.48557442	57.05200512
2.45257926	56.91723072
2.44122117	56.76564288
2.44012377	56.6477264
2.44241002	56.59719712
2.44279411	56.49613856
2.43644748	56.42875136
2.44581196	56.31083488
2.46121214	56.22663424
2.43862399	56.20977632
2.43377714	56.14238912
2.43174695	56.0076592
2.41865131	55.97394336
2.42062663	55.95708544
2.40851865	55.940272
2.41993161	55.85602688
2.41879763	55.83921344
2.41598097	55.82235552
2.40901248	55.72129696
2.41724298	55.70443904
2.42371764	55.65390976
2.41120728	55.58652256
2.43310041	55.56966464
2.41212178	55.56966464
2.41817577	55.50232192
2.4226934	55.46860608
2.39686792	55.45179264
2.43683157	55.43493472
2.4102562	55.40121888
2.4102562	55.36754752
2.41148163	55.3506896
2.40016012	55.30016032
2.40581173	55.24963104
2.40630556	55.23277312
2.41402394	55.26648896
2.41278022	55.23277312
1.99419528	44.53662304
1.23002079	35.35640029
0.80497948	28.9723727
0.33057346	24.10433917
0.12182969	20.21328214
0.04082328	17.01284829
-0.0919987	14.45249498
-0.2171023	12.38063437
-0.2681314	10.5951271
-0.3614104	8.876998144
-0.5106568	7.529449856
-0.5355312	6.080829664
-0.6619151	4.46376816
-0.8020165	2.66141632
-0.9091959	1.297019008
-1.0158266	0.252664192
-1.3401083	-5.4238912
-1.6949343	-11.47103616
-2.0290926	-18.51199776
-2.4689671	-27.72589632
-2.3926978	-29.12399168
-2.4290949	-29.7809168
-2.4761002	-30.06727904
-2.5430416	-31.16215424
-2.882504	-38.5568208
-3.4246196	-50.5835456
-3.4926584	-51.392192
-3.3265852	-48.4783072
-3.3404856	-48.4952096
-3.326951	-48.4952096
-3.3626165	-48.4952096
-3.2881762	-44.16601568
-2.8680549	-32.6781216
-2.5274951	-26.42885952
-2.3367304	-22.6051808
-2.2136387	-20.12906816
-2.1532817	-18.2761648
-2.037506	-16.6590944
-1.9498969	-14.03139392
-1.7465121	-9.06226624
-1.415646	-1.12859104
-0.8568865	8.253757728
-0.8234158	8.253757728
-0.0572477	19.13523818
-0.064015	19.28683936
0.66586574	32.15596198
1.45754839	43.98073424
1.46808343	43.79544835
2.17288858	53.95263872
2.21835752	53.76733504
2.15278787	51.88076032
2.16207919	51.7965152
2.1620609	51.81337312
2.17435178	51.7965152
2.15697628	51.72917248
1.55322338	40.2749631
0.94879375	32.22334029
0.46226146	26.29411181
0.17113953	21.45976742
-0.0137175	17.21497875
-0.2566087	12.86912262
-0.6269812	6.586162496
-1.4716134	-6.48509504
-2.3541059	-25.36765568
-3.387308	-48.3604352
-3.6254438	-54.356784
-3.6462944	-54.794912
-3.5853887	-54.9968512
-3.5992891	-54.9634912
-3.5905099	-54.3229792
-3.612275	-54.3736864
-3.5791701	-54.3398816
-3.614104	-54.2727168
-3.5938021	-54.3065216
-3.0633921	-38.20311584
-2.6842404	-29.49455456
-2.4113536	-24.49175552
-2.2218692	-21.08916896
-2.110666	-18.76464416
-2.0146435	-16.42330592
-1.8580811	-13.52605664
-1.5771467	-6.23244864
-1.2757275	0.842219904
-1.1063621	3.874212448
-0.2028361	16.8612471
-0.0784641	18.30986285
-0.087792	18.07404323
0.57099551	30.0672568
0.74052552	32.69498397
1.46363896	42.51526947
2.1777903	53.46411488
2.90653706	67.34392096
3.24607262	75.36184128
3.5435046	79.21923584
3.53973686	78.59598208
3.52603765	78.2254192
3.5162525	77.90534112
3.50505902	77.703224
3.51049115	77.46739104
3.50796713	77.34951904
3.52859825	77.18107328
3.46674147	77.02944096
3.48450106	76.9283824
3.47444156	76.793608
3.4761974	76.69254944
3.47349048	76.64202016
3.47669123	76.57463296
3.4804041	76.4735744
3.47091159	76.38937376
3.45349951	76.30512864
3.4688814	76.220928
3.50705263	72.26247488
2.36657968	51.56072672
1.58332872	39.76963472
1.0408839	32.39178605
0.65540386	26.91735667
0.33988307	22.75678643
0.12865186	19.30368394
0.00429815	16.27169139
-0.1320538	13.86294371
-0.2586206	11.70686022
-0.3520825	9.887663808
-0.4954761	8.03477824
-0.5801588	6.754603808
-0.7427569	4.699587776
-0.8603616	3.368879616
-0.9285833	2.307684672
-1.2139073	-1.33070816
-1.249207	-2.67827424
-1.4516773	-5.50813632
-1.8156483	-11.63948192
-1.8734447	-12.95333216
-2.2365012	-22.47045088
-2.6041302	-29.47769664
-3.0558932	-39.06215808
-3.5859374	-51.3752896
-3.7253072	-57.759504
-4.0744633	-65.6764992
-4.5673788	-73.5930496
-4.5723171	-73.5596896
-4.5884123	-73.5089824
-4.581645	-73.4080128
-4.5845714	-72.2791104
-4.6067023	-72.3129152
-4.5842056	-72.1950432
-4.6065194	-72.1781408
-3.6261754	-52.1167712
-3.0107169	-37.79883712
-2.6844233	-29.83144608
-2.4702474	-25.08129344
-2.2633875	-21.77980992
-2.097863	-19.42161376
-2.0051327	-16.7938688
-1.9502627	-15.2441856
-1.6797536	-9.66870656
-1.0820364	4.312166976
-0.0486514	18.17511069
0.72583865	31.54956614
1.75285873	46.06944832
2.81687948	63.52024224
2.85225234	64.12663808
3.13433901	69.954808
3.4928413	77.98958624
3.4893662	77.50110688
3.46386994	77.16421536
3.38257089	74.36802464
3.40144617	74.30068192
3.38578993	74.30068192
3.41245675	74.25010816
3.40270818	74.26696608
3.40744529	73.7616288
3.12846792	64.12663808
2.93289295	60.75776736
2.37173746	49.84259776
1.60075909	38.82634291
1.07878078	31.78538576
0.67976614	26.78260006
0.39669181	22.7062527
0.17797999	19.4721297
0.07028847	16.65911219
-0.0278008	14.4019657
-0.1819855	12.38063437
-0.2609983	10.74672829
-0.3478758	9.281267968
-0.4813928	8.051622816
-0.5079133	6.838826688
-0.5587595	5.8450056
-0.7171509	4.227944096
-0.8896256	2.10554976
-1.2043965	-2.29085344
-1.5305072	-8.47272832
-1.6998726	-10.30877376
-1.7596809	-11.3699776
-1.8814923	-14.30089824
-1.9568471	-16.77701088
-2.1260296	-19.62373088
-2.1316995	-21.52716352
-2.4536035	-27.28794624
-2.3804435	-27.001584
-3.1107632	-42.46474464
-3.2918342	-46.5914656
-3.4028545	-51.745808
-3.806149	-61.0274496
-4.1425021	-66.2658592
-4.4051465	-72.0602688
-4.4453845	-72.0771712
-4.3711271	-71.2182624
-4.3563122	-71.1675552
-4.3482646	-71.116848
-4.367652	-71.0496832
-4.3559464	-71.0327808
-4.3532029	-70.998976
-4.3533858	-70.965616
-4.2008472	-65.390048
-3.6773874	-55.7716928
-3.359873	-48.073984
-3.1125922	-41.82463296
-2.9024401	-36.8218784
-2.6608292	-31.09476704
-2.4365938	-25.62034656
-2.220406	-22.18408864
-2.0967656	-19.8932352
-1.9795267	-18.25935136
-1.980807	-17.01284384
-1.9248396	-16.05269856
-1.8337554	-15.04206848
-1.7894936	-13.42499808
-1.593059	-9.71923584
-1.1301391	1.80235184
-0.2229551	15.53053894
0.64079015	29.09028474
1.55267468	42.97006858
2.71963155	61.06094304
3.78745662	84.55888192
4.99854726	104.704808
5.0573679	104.25
5.06503141	103.5425456
5.02954881	103.0372083
5.03589544	102.7003168
5.0207879	102.3634253
5.03397499	102.1444502
5.03454198	101.8918038
4.99397476	101.6559709
5.01905035	101.504383
4.99492584	101.4369958
4.99501729	101.2180208
4.96286347	101.1169622
5.00008362	101.0158592
4.99062769	100.8811293
4.9871343	100.3084048
4.97641636	100.2242042
4.96401574	100.139959
4.97301442	100.1062877
4.95666316	100.0052291
4.96882601	99.95469984
4.94245183	94.61500928
4.56686668	87.82669408
4.17333904	79.75824448
3.71016308	71.7571376
3.00312655	59.07330976
2.41945607	47.9223072
1.91435943	39.98860976
1.40639126	33.43613642
1.01211373	28.1975311
0.68289373	24.13802832
0.45390293	20.73545955
0.24065982	17.82137904
0.06683166	15.26103018
-0.0588938	13.00387923
-0.2052138	10.76357286
-0.3656171	8.405358912
-0.565161	5.103853152
-1.0134489	-1.26332096
-1.8302803	-14.87362272
-2.6661333	-33.840384
-3.6922023	-56.8667904
-4.7268676	-80.6173312
-5.1329056	-89.1236864
-5.1927139	-88.988912
-5.2000299	-88.8541376
-5.1859466	-88.6521984
-5.1751555	-87.16968
-5.1645473	-87.1527776
-5.1482692	-87.0856128
-5.1674737	-87.051808
-5.1555852	-86.9508384
-5.1762529	-86.9508384
-5.1899704	-86.8832288
-5.1689369	-86.8832288
-5.1625354	-86.8667712
-5.1493666	-86.7991616
-5.1477205	-86.7150944
-5.1691198	-86.7319968
-5.1607064	-86.6643872
-5.1832031	-86.58032
-5.1652789	-86.5634176
-5.1583287	-84.1712832
-5.0103626	-80.3815872
-4.7685688	-76.7600256
-4.3883197	-68.9270976
-3.8990622	-61.4989376
-3.2967725	-48.7981184
-2.845924	-37.76516576
-2.5232884	-29.93250464
-2.3449609	-25.23292576
-2.2132729	-22.13355936
-2.0912786	-19.97748032
-2.0148264	-18.4109392
-1.9156946	-17.19814752
-1.8427175	-16.32220288
-1.8335725	-15.54736128
-1.796078	-15.00835264
-1.7770564	-14.31775616
-1.7746787	-13.77870304
-1.7291366	-13.44181152
-1.7031648	-13.12177792
-1.688167	-12.54909792
-1.6525015	-12.17849056
-1.649758	-11.97637344
-1.6526844	-11.74054048
-1.5508091	-10.02241152
-1.3011506	-4.34587392
-0.6211284	8.489577344
0.33410343	22.28514275
1.01004696	35.50800147
2.13329073	50.23001856
3.11846329	68.70830048
4.2462064	90.1680768
4.32938932	91.34719712
4.34133269	90.84185984
4.26155171	87.5235184
4.23451909	87.54037632
4.26433179	87.48984704
4.25917401	87.43927328
4.25152879	87.43927328
4.25804003	87.35507264
4.28064647	84.4915392
4.06967132	79.37082368
3.78039668	74.738632
3.48744575	70.51067456
3.26555147	66.60275072
2.9770633	61.46522176
2.73468422	56.63086848
2.43017401	51.45966816
2.08409063	44.70502432
1.45143953	36.2659985
0.95000089	30.20201341
0.62304885	25.72140067
0.31519157	22.01563398
0.04221332	18.96679686
0.04369481	16.42329258
-0.1197995	14.26720909
-0.2518533	12.41432352
-0.3515338	10.96570778
-0.4493853	9.61815504
-0.499317	8.337980608
-0.5534554	7.091495328
-0.6920936	5.642875136
-0.76818	4.025813632
-1.0251545	1.465464768
-1.2993216	-3.79000736
-1.989952	-15.36210208
-2.9328015	-34.19413344
-3.6947629	-57.0184672
-4.6171276	-81.3752704
-5.0209708	-87.8942592
-5.0367002	-87.9107168
-5.0672445	-87.7928448
-5.241914	-94.1770592
-5.2755676	-93.9075104
-5.2739215	-93.7055712
-5.274836	-92.5766688
-5.2925773	-92.4926016
-5.2775795	-92.4587968
-5.2753847	-92.3747296
-5.2770308	-92.3578272
-5.2775795	-92.2568576
-5.1746068	-87.8773568
-4.8197808	-81.1733312
-4.3649085	-71.5211712
-3.8612019	-61.8356512
-3.4637602	-53.7167168
-3.1599633	-47.046496
-2.8965873	-41.45407008
-2.6341258	-34.24466272
-2.3945268	-27.79328352
-2.2163822	-23.81797248
-2.10335	-21.17341408
-2.0281781	-19.42161376
-1.95703	-17.93927328
-1.8613733	-16.89492736
-1.7953464	-16.06955648
-1.7620586	-15.44630272
-1.7505359	-14.924152
-1.7434028	-14.45248608
-1.7273076	-14.04825184
-1.388211	-8.94439424
-1.4054036	-8.96120768
-1.3715671	-8.94439424
-1.3865649	-8.96120768
-1.3691894	-8.9780656
-1.3946125	-8.94439424
-1.3993679	-8.9780656
-1.3755909	-8.54011552
-1.3527284	-7.52944096
-1.3049915	-4.88488256
-0.9188896	4.362700704
0.0508462	18.00666493
0.91592662	31.92014237
1.86294624	46.5747856
2.97117392	64.44667168
3.97494741	84.69365632
4.05244214	85.45164
4.05035708	84.7441856
4.26601447	90.3702384
5.48504297	112.4363661
5.48765844	111.5941818
5.46113794	110.9035408
5.37773554	108.1579238
5.37548587	108.124208
5.3896972	108.0400074
5.3847589	107.9389488
5.37837569	107.9220909
5.36935872	103.1887962
5.1263212	98.3713008
4.8298403	93.84016768
4.60507449	89.73012672
4.36192723	85.78853152
4.20168854	82.01538208
4.02292208	78.24223264
3.6801309	72.34672
3.40506759	67.07441664
3.08855914	62.2737792
2.85249011	57.91104736
2.66479813	53.88525152
2.37316408	48.8993104
1.86830521	40.76345136
1.30274183	33.46982557
0.94824505	28.38281699
0.52442917	24.30647408
0.24621998	20.92074544
0.10361285	18.04035408
-0.1155928	15.64845098
-0.2220406	13.32392173
-0.305443	11.21837197
-0.4808441	9.129666784
-0.6524043	6.586162496
-0.9622369	2.644571744
-1.5299585	-5.91237056
-2.3637996	-21.74613856
-3.3501793	-42.39735744
-4.0556246	-65.9122432
-5.0262749	-90.0671072
-5.5694879	-105.1934208
-5.61503	-105.2267808
-5.6673394	-105.9344576
-6.1897018	-116.310752
-6.1955546	-115.8557216
-6.2061628	-113.6321664
-6.1961033	-113.5650016
-6.1816542	-113.5311968
-6.1909821	-113.37952
-6.1754356	-111.5438304
-5.7496444	-104.0480608
-5.4407263	-98.5058528
-5.1972864	-92.745248
-5.055356	-89.4604
-4.9483595	-86.2938688
-4.795638	-83.1945024
-4.6906534	-80.1961056
-4.5971915	-77.2991232
-4.4629429	-74.4693056
-4.3319865	-71.7738176
-4.2317573	-69.146384
-4.1498181	-66.65328
-4.0084364	-63.9582368
-3.4639431	-52.655424
-3.0302872	-43.408032
-2.7003356	-36.13123744
-2.4272659	-29.1913344
-2.2352209	-24.81178912
-2.1498066	-21.98192704
-2.0407982	-19.91009312
-1.9888546	-18.17510624
-1.907647	-16.44011936
-1.763156	-13.96400672
-1.3611418	-6.1987328
-0.6141782	7.984244512
0.24082443	21.29132166
1.07223296	34.26151174
1.88694272	48.32658592
2.91972415	65.13731264
3.39125864	74.09852032
3.31674518	73.27314944
4.28953541	91.61670144
5.53764501	114.8114646
5.72467855	117.4223072
5.69762764	116.6474656
5.59549628	111.9816026
5.56965251	111.9310733
5.58743039	111.9310733
5.60233674	111.9142154
5.58218116	111.8636861
5.59099694	111.8299702
5.57568821	111.8299702
5.59081404	110.2466157
5.5718656	107.4841408
5.37409583	102.7003168
4.99216405	96.4341968
4.57617629	89.30903456
4.11777402	80.92050688
3.67237594	72.75095424
3.29589458	65.59212064
2.92806439	59.30914272
2.46488843	50.71849792
2.06664197	43.45855683
1.58570642	36.97346179
1.05158355	30.97685501
0.71753499	26.6141543
0.35923389	22.89154304
0.15008774	19.74163846
-0.0257889	16.92862541
-0.2337462	14.38512112
-0.3277568	11.97636899
-0.5558331	9.331797248
-0.7798856	5.71025344
-1.2852383	-1.19593376
-2.1631583	-15.44630272
-2.9946217	-33.4529632
-3.7258559	-55.2664
-4.6070681	-78.6464224
-4.9503714	-85.0137344
-4.9187297	-85.0475392
-4.8722731	-84.9461248
-5.2080775	-92.3240224
-6.1522073	-113.8848128
-6.3768085	-116.8832096
-6.3965617	-116.5967584
-6.2886507	-113.4809344
-6.2800544	-113.37952
-6.2890165	-113.37952
-6.3095013	-113.3964224
-6.293589	-113.3626176
-6.2890165	-113.3292576
-6.3007221	-113.3626176
-6.1811055	-108.2589824
-5.9107793	-103.5089632
-5.3384852	-92.1727904
-4.916352	-82.3689536
-4.5679275	-73.5761472
-4.2352324	-65.6764992
-3.9171693	-58.786992
-3.4480308	-52.7230336
-3.1817284	-47.517984
-2.9479822	-42.93636608
-2.659366	-35.89540448
-2.361239	-29.17452096
-2.1668163	-24.7444464
-2.0459194	-21.86405504
-1.9723936	-19.825848
-1.8864306	-18.10771904
-1.8408885	-16.62542304
-1.750353	-14.8567648
-1.5537355	-11.08361536
-0.9304123	0.791686176
-0.2077744	14.1156079
0.62399993	27.33846218
1.27801375	40.44340886
2.22499679	55.5528512
3.18514863	72.32986208
4.22877603	91.98726432
5.4610282	114.5587738
6.08385757	124.3959261
6.07869979	123.5536973
7.14786003	139.7916995
7.13794685	138.4609914
7.05988513	134.2667498
7.06582938	134.2667498
7.07442568	134.1825046
7.0531727	134.098304
7.0555504	134.0645882
7.05476393	133.997201
7.05319099	133.7276966
7.06409183	129.6176557
6.84550804	125.7603056
6.66822307	122.0882147
6.40718819	118.5677562
6.1887873	114.2218822
5.82931564	108.6632166
