"""Thompson and Wallace, 1994, B1"""								
-12.07262	-24.85621413							
-11.51636	-21.21801417							
-11.10488	-18.42141763							
-9.53516	-10.00493867							
-7.30758	-2.647136317							
-5.49148	1.615593867							
-2.72796	6.909866501							
0.13208	11.66101135							
3.18262	15.76049183							
6.23316	19.64334394							
9.12622	25.04615316							
10.98804	28.16835948							
11.71194	29.25417023							
12.18692	29.74302972							
12.2301	28.22262778							
11.83894	24.91048242							
11.47318	21.86967855							
10.87882	17.38987518							
10.15238	12.9643401							
9.14146	7.724335767							
7.35838	1.696996312							
5.70992	-2.32152654							
3.0099	-5.199080705							
2.07264	-6.61094605							
2.05486	-6.47527531							
0.19812	-10.27628015							
-2.91592	-14.48474204							
-5.88264	-21.08234343							
-8.91286	-25.1818239							
-11.76528	-31.53477314							
-12.18946	-25.75208584							
-10.07872	-13.34421818							
-7.98068	-5.280927971							
-6.2738	-0.66500904							
-4.01066	3.624410471							
-1.51384	8.538805032							
1.25476	12.42121232							
4.23672	16.38502205							
7.2517	20.05035616							
10.11682	25.2360922							
11.94816	26.34948192							
10.15238	13.58887033							
8.39216	5.633671897							
6.51256	0.257996818							
4.68884	-1.534191423							
2.32156	-6.095397236							
2.0955	-6.04112894							
2.08026	-5.769342637							
-1.99898	-12.66541965							
-6.5532	-20.62061809							
-11.08202	-28.98282875							
-15.12824	-35.71610088							
-16.91132	-36.74764333							
-18.8595	-37.7796306							
-20.81022	-38.7297706							
-20.57146	-31.99649848							
-19.27606	-23.17256248							
-18.0213	-16.14081472							
-16.79194	-10.08634112							
-15.6464	-6.203933829							
-13.34008	-0.882527046							
-9.7663	4.764934335							
-5.60832	10.65660305							
-0.94996	15.05500397							
3.98526	18.85600882							
8.94334	22.81981855							
13.87602	27.81517074							
18.161	32.15930336							
18.49628	22.4666298							
15.62608	8.267018729							
12.90574	1.099600231							
10.88898	-2.782807058							
6.52018	-7.045537242							
3.87096	-9.299006001							
3.78714	-9.678884074							
0.32004	-13.53415721							
-4.68376	-18.04109473							
-9.53008	-23.98703174							
-14.4526	-29.30843852							
-19.28622	-35.82463747							
-19.32432	-24.66583027							
-15.9766	-9.950670377							
-13.27912	-0.583606595							
-10.59942	1.425210008							
-6.88594	6.909866501							
-2.61874	12.09560254							
2.09042	16.05941228							
7.03072	19.91468542							
12.03198	23.52575122							
16.8783	29.0099629							
18.9865	24.50302538							
16.04518	10.03207282							
13.26642	1.805532904							
11.13536	-2.049740237							
7.3025	-4.737800187							
4.0132	-8.484536735							
3.85572	-8.783012365							
3.85064	-8.674475772							
3.5306	-9.434676741							
-2.99974	-16.4664245							
-9.46404	-23.63428782							
-16.129	-30.20475506							
-22.61108	-38.29517941							
-27.08656	-40.63049544							
-28.7401	-34.30423553							
-26.12136	-19.073082							
-23.57628	-8.864414809							
-21.39696	-3.163129953							
-19.80946	-0.773990454							
-16.91894	2.511465577							
-11.72718	8.376000143							
-5.6007	13.99588255							
0.81026	19.88755127							
7.86892	21.67929469							
14.859	26.07769561							
21.65096	31.45337069							
26.1239	27.6252317							
22.7584	11.17215186							
19.26082	1.832667052							
16.85036	-2.239679274							
11.9888	-4.520727002							
6.34492	-9.787865488							
4.9784	-11.22642016							
4.96062	-11.06361527							
4.96062	-10.76513964							
4.93522	-10.43908504							
4.92252	-10.57520061							
