Hakim_Kono 2002 Column D1N30	
1457	
-8.300496911	-70.18874335
-7.754326522	-61.18287937
-7.335146195	-54.57633403
-6.827798323	-45.26335112
-6.739757727	-46.18223105
-6.281464812	-39.09558953
-6.240891917	-38.48173171
-5.799269979	-31.0877411
-5.555974053	-28.06019294
-5.24769193	-23.94583012
-4.768171252	-18.03208253
-4.323340854	-10.7345467
-3.772273915	-4.188596028
-3.252053648	1.477330632
-2.811350408	7.202904736
-2.307273983	12.58133291
-1.814810736	18.68128388
-1.342539061	25.43212965
-0.732785797	34.86891745
-0.688677061	23.35440786
-0.815230079	14.82574713
-0.363978044	43.82019497
0.130610711	53.69068643
0.585711165	63.70136684
1.104848035	72.86825544
1.596368587	80.76653818
2.067276266	88.20052151
2.583119316	96.35667272
3.068540181	102.72453
3.54984687	108.5205282
4.078112627	115.2339481
4.563288199	120.3371709
5.05420324	125.2516152
5.627278039	119.4264727
6.037236372	134.8616031
6.497654657	137.4602387
7.054893152	142.8119698
7.525540181	146.6642304
7.997931045	150.0334737
8.47532945	152.7541726
8.957975403	155.9024911
9.45739777	159.0445339
9.98398401	161.8532442
10.47858735	163.2110637
11.01000279	164.7582066
11.49669466	164.123391
11.96425869	163.4159803
12.51273334	161.356814
12.44878048	142.2186448
11.94252162	128.068468
11.45394954	116.8611128
10.93697847	106.3985634
10.46807102	97.10979393
9.95376543	87.21247296
9.446280407	78.00175334
8.964043266	69.86327985
8.452161255	61.48758746
7.95437785	53.67296103
7.362528183	41.28186448
7.001558517	39.57428123
6.464257854	31.09144856
5.966716255	23.43032123
5.461090829	15.70802869
4.956267009	7.895076378
4.500998875	1.930209572
3.985150138	-4.994714165
3.487661347	-11.77276722
2.984264329	-17.80946689
2.480718862	-24.53276462
1.992129327	-31.53476687
1.486181139	-38.24605101
0.986387347	-45.75534618
0.485170331	-52.7501628
0.008681139	-59.81055116
-0.457986402	-67.69230432
-1.012675577	-75.0901195
-1.471806645	-82.69551311
-1.97199802	-89.59655931
-2.462352205	-96.70042074
-2.957130735	-103.2738955
-3.442898871	-108.8134
-3.928113282	-114.1026253
-4.417183255	-119.6952699
-4.953155432	-123.976171
-5.459782327	-128.9650679
-5.936904972	-121.263069
-6.4589331	-138.1340605
-6.973660388	-141.5980717
-7.453149608	-145.6338379
-7.95336545	-149.2724066
-8.423617986	-152.9243752
-8.921837437	-156.8897513
-9.424662095	-160.4931498
-9.925661491	-158.3827172
-10.40697757	-153.7712605
-10.90845781	-156.4592886
-11.41517941	-159.5571047
-11.91204517	-161.6457913
-12.39600037	-162.5491706
-11.80462081	-139.6406365
-11.28901683	-127.5133013
-10.84560134	-117.9755495
-10.34552404	-106.9934066
-9.80681178	-96.4559709
-9.292396017	-86.32830961
-8.793927829	-77.97064874
-8.265638477	-68.21036988
-7.785581242	-60.70267322
-7.225892556	-52.67158935
-6.811463336	-46.38219599
-6.293905798	-38.00296579
-5.749599124	-30.37987564
-5.277772242	-23.61727568
-4.742654446	-16.90419252
-4.304283396	-10.94655026
-3.767792577	-4.277794581
-3.288122922	1.428434137
-2.80204856	7.184189951
-2.325371454	11.75688863
-1.792226218	19.89650444
-1.288947778	26.18313099
-0.762091238	34.18555908
-0.338447156	38.07677168
-0.281954172	35.1068195
5.678954418	131.921209
6.060541635	134.9736103
6.517949908	138.0970172
7.109807355	142.7992947
7.575584812	133.0754568
8.0209702	148.6329907
8.609762136	146.0473375
9.005315707	154.9841177
9.514188413	159.3257388
9.920198668	161.7434862
10.49792263	166.4285658
11.00691392	169.163485
11.55615786	172.0142154
11.9760123	175.1550813
12.49524258	177.3979457
12.97902759	179.6610233
13.44049805	181.8225854
13.4390716	159.079714
13.94953519	184.6914839
14.46122835	186.3957785
14.99732025	186.4179445
15.48399244	187.3197856
15.95826357	188.8795365
16.42810632	190.0179425
16.98406786	191.1964002
17.42025741	195.0942826
17.87366475	198.5485698
18.40086168	201.040337
18.59942708	198.9939007
18.27635001	159.1622234
17.86783863	143.0838413
17.36479945	125.7316158
16.85398201	111.7421685
16.35415709	101.2494448
15.87188162	91.8064891
15.34866864	82.27355984
14.89277049	74.48366946
14.37438416	65.79363399
13.86803543	58.42671477
13.30539598	49.36910287
13.46773783	66.96832323
13.27759535	54.62243425
12.88210852	48.30333694
12.37372431	40.97489387
11.88214497	34.27523448
11.35307062	26.78709312
10.85660816	21.00246527
10.39004709	15.6043262
9.840552141	10.12817074
9.343691793	5.434891288
8.869333563	1.257795275
8.399240194	-2.656181682
7.87238571	-6.713633451
7.402796191	-9.793386497
6.880562407	-12.93401993
6.382977795	-16.61459901
5.918138647	-20.10181682
5.398458634	-23.40431302
4.925453516	-26.54563186
4.440272218	-29.41074807
3.927236553	-33.35966006
3.938946802	-17.73421421
3.446067498	-37.10746986
2.92064123	-39.82508686
2.422159849	-44.81304012
2.402390643	-35.9018215
1.926342734	-48.86774161
1.430404647	-52.77106128
0.924345216	-59.31939012
0.450182246	-63.30564663
-0.014144014	-65.71123397
-0.513690121	-75.51972902
-1.483301635	-86.9906549
-1.982626245	-92.46034167
-2.48587695	-97.48138568
-3.003551835	-102.6560915
-3.464257611	-107.5347684
-3.945135175	-111.326008
-4.443439527	-115.4408909
-4.957023533	-119.2500861
-5.458707	-122.8530101
-5.950574487	-126.0999481
-6.451945968	-129.4883314
-6.964356671	-132.5233281
-7.454041378	-135.7386003
-7.926007777	-138.8814996
-8.406031823	-142.1578465
-8.439659638	-130.429504
-8.932292583	-132.4289584
-9.430755923	-135.2246905
-9.975640305	-149.7717519
-9.936479885	-138.1405122
-10.41268531	-140.4941099
-10.88596631	-143.494948
-11.35210178	-145.2324541
-11.89666323	-147.5651862
-12.39433023	-149.315522
-12.85772989	-151.7515756
-13.37312603	-150.9312616
-13.86890365	-152.1780856
-14.37204026	-150.8008052
-14.84208074	-151.1841077
-15.35324502	-150.4614917
-15.86954791	-150.1149315
-16.3302578	-148.5369889
-16.84216552	-148.3814296
-17.34431524	-147.6773794
-17.82317487	-147.2950485
-18.35601077	-147.7952919
-18.58251512	-153.64548
-17.77933043	-116.2357884
-17.26933799	-105.5395453
-16.78668487	-95.65058906
-16.62659821	-92.11290408
-16.25930281	-86.48733444
-15.83142838	-77.52429612
-15.67172012	-75.15955721
-15.26634701	-68.98919603
-14.80587311	-61.36262287
-14.28476512	-52.66824201
