Saatcioglu and Gira 1999 Column BG-1	
-10.01516	-138.0313678
-10.51475	-143.8953799
-11.01435	-144.6255927
-11.51394	-145.1491185
-12.01354	-145.8448632
-12.51313	-150.7441337
-13.01273	-154.506383
-13.51232	-157.7863222
-14.02915	-162.7594529
-14.51152	-162.9334347
-15.01111	-163.3535562
-14.49429	-163.2040729
-15.01111	-167.9360486
-15.51071	-168.1494225
-16.0103	-175.8395745
-16.5099	-176.1562918
-17.00949	-179.4706383
-16.49267	-133.6681459
-15.99307	-126.6671125
-15.49348	-120.3551976
-14.99388	-117.2131307
-14.47706	-115.0308207
-13.97747	-108.7877812
-13.4951	-103.4111246
-12.9955	-100.5102128
-12.49591	-94.23270517
-11.99631	-89.54018237
-11.49672	-83.53835866
-10.99712	-82.94595745
-10.49753	-76.49617021
-9.997931	-71.11452888
-9.498337	-67.49009119
-8.998741	-59.97221277
-8.499146	-53.76363526
-7.982324	-50.16866869
-7.499956	-44.55081459
-6.983134	-39.5087234
-6.483539	-35.8153617
-5.983943	-28.36639514
-5.484349	-26.56807295
-4.984753	-20.84186018
-4.485158	-16.80395137
-3.985563	-9.044887538
-3.485968	-3.077494225
-2.986373	-0.004329229
-2.486778	7.754735562
-1.987183	9.105142857
-1.487588	15.17590274
-0.9879924	20.79874772
-0.4883973	25.87031611
0.01119782	30.76960486
0.5107929	36.4268997
1.010388	36.67473556
1.509983	43.84806687
2.009578	49.50537386
2.509173	54.33575076
3.008769	58.23583587
3.508363	63.72085106
4.007959	67.96547112
4.507554	75.48340426
5.007149	78.79775076
5.506744	83.35246201
6.00634	88.76857143
6.505934	92.1862614
7.00553	97.53349544
7.505125	101.3302128
8.004721	104.7479027
8.504315	108.0967173
9.00391	114.0296657
9.503505	118.7566565
10.0031	120.5550152
10.5027	123.4903343
11.01952	128.4635258
11.50189	132.668693
12.00148	135.9830395
12.50108	140.9857143
13.00067	141.7848024
13.50027	146.718541
14.01709	150.2790274
14.51668	152.1462614
15.01628	157.8035866
15.51587	159.2917933
16.01547	164.1910638
16.51506	164.4044377
17.01466	164.5834043
17.51426	172.170152
18.01385	174.4508207
18.51344	178.1441945
19.01304	180.0458359
19.51263	181.7752584
20.01223	184.2626748
20.51183	187.3358055
21.01142	187.962614
21.51101	188.3827356
22.01061	191.1113678
22.5102	192.2205471
23.0098	193.9844377
23.5094	194.4044985
24.00899	194.5144681
24.50859	194.3833435
25.00818	194.1487538
25.50777	193.9142249
26.00737	194.6443769
26.50697	194.2031003
27.00656	193.3483283
27.50616	191.5632827
28.00575	192.5691185
28.50535	191.8177508
29.00494	191.8243769
29.52176	191.8704559
30.00413	191.9754407
30.50373	188.9155623
31.00332	186.4758663
31.50292	185.6210942
32.00251	184.7663222
32.50211	183.7393313
33.0017	181.6786018
32.46765	122.3303343
31.98529	121.2950152
31.48569	120.461459
30.98609	113.2882067
30.4865	111.6277204
29.9869	106.4183587
29.48731	104.5167173
28.98771	99.8931307
28.48812	94.683769
27.98852	92.88547112
27.48893	92.22419453
26.98933	86.73920973
26.48974	81.52984802
25.97292	80.86358663
25.49055	76.62395137
