"""Thompson and Wallace, 1994, A1""  "	
-2.82448	-21.43508735
-2.56794	-18.39428348
-2.00914	-13.04574255
-1.48336	-8.022811396
-0.8255	-4.466013884
-0.23876	-1.886935348
0.27432	0.393667559
0.84074	2.538599725
1.3843	6.285336273
2.02692	9.570347482
2.58572	12.50261476
3.13436	16.98241813
3.61696	20.15889275
3.68046	19.37155763
3.175	15.29921131
2.62128	11.14501772
2.03962	7.425415315
1.39446	3.678678767
0.86614	1.370941712
0.50038	-0.475070003
0.4826	0.176594374
0.45212	-0.149460226
0.4699	-0.447935855
-0.2032	-3.678678767
-1.08712	-7.615799174
-1.95834	-13.69740693
-2.86766	-20.34927661
-3.63982	-25.12755561
-4.51104	-29.49882238
-4.19354	-23.06402589
-3.38328	-16.84674739
-2.47396	-9.190469408
-1.63068	-4.493148032
-0.79248	-1.561325571
0.08382	2.348660688
1.0033	4.98200752
1.9431	9.570347482
2.83718	14.86462012
3.64236	19.77901468
4.43992	24.88334827
5.2959	27.59809755
5.40258	23.851361
4.62788	18.20434444
3.81254	11.49820646
2.93878	6.448141162
2.07772	2.375794836
1.21412	0.068057781
0.68072	-2.348660688
0.67564	-1.642728015
0.67564	-1.968337793
0.61722	-2.212545125
-0.09906	-4.602129447
-1.02108	-8.674475772
-1.93294	-13.56173618
-2.87528	-18.61135666
-3.7592	-23.58001952
-4.53898	-27.38102437
-4.20624	-22.8469527
-3.35026	-16.33075376
-2.50952	-10.11347527
-1.63576	-4.683531891
-0.76454	-1.832667052
0.10668	0.936795343
1.05156	4.683531891
1.94056	8.077079692
2.89814	12.23127328
3.67538	16.76534495
4.50342	22.16815418
5.3086	27.02783562
5.3721	24.36735464
4.5847	18.31288103
3.75666	11.76954794
2.97688	7.398281167
2.06756	2.294392392
1.17856	-0.36653341
0.67564	-1.615593867
0.65024	-1.39807586
0.5969	-2.076874385
0.65024	-1.832667052
0.6604	-1.642728015
0.54102	-2.430063132
0.54102	-2.647136317
0.57658	-1.696996312
0.60198	-1.452344157
0.58928	-2.402928984
0.5334	-2.484331429
0.5969	-1.968337793
0.5969	-2.131142681
0.59436	-2.239679274
0.53848	-2.022606089
0.55118	-2.620002169
0.59436	-2.239679274
0.57404	-2.375794836
0.59436	-2.32152654
0.60452	-1.669862163
0.59182	-2.267258244
0.53848	-1.289539268
0.6096	-2.212545125
0.60452	-1.26240512
0.58166	-2.158276829
0.60452	-1.235270972
0.60706	-2.104008533
0.59182	-1.642728015
0.58928	-2.32152654
0.61722	-2.484331429
0.62484	-1.886935348
0.61976	-1.886935348
0.62484	-2.104008533
0.62992	-1.72413046
0.58166	-2.484331429
0.62992	-1.072466083
0.62992	-2.131142681
0.50038	-1.669862163
0.54864	-1.425210008
0.53594	-1.39807586
-0.47498	-5.633671897
-1.67132	-10.60233475
-2.86766	-16.03227813
-4.08432	-23.851361
-5.12318	-30.0143712
-6.2738	-32.64816285
-5.97662	-27.00070147
-4.9022	-18.15007615
-3.79984	-9.678884074
-2.65176	-4.656397743
-1.44526	-0.82825875
-0.19558	3.135995805
1.04648	6.638080198
2.29362	11.14501772
3.42138	16.92814984
4.5212	22.4666298
5.6515	27.9512863
6.83006	32.26783996
6.9977	28.71148727
6.00456	20.78342298
4.87934	12.99147425
3.71348	6.312470421
2.57556	1.941203644
1.3843	-1.316673416
0.60452	-3.678678767
0.60452	-3.841928478
0.57404	-3.543008027
-0.381	-6.692348495
-1.65354	-10.57520061
-2.89052	-15.65195523
-4.08432	-21.5164898
-5.21208	-26.1862322
-6.41096	-32.18643751
-6.00456	-25.77921998
-4.94284	-16.49355865
-3.8608	-9.651749926
-2.63906	-4.357477292
-1.43002	-0.82825875
-0.25908	2.728538761
0.98552	6.502409458
2.25298	10.27628015
3.44678	14.077285
4.6228	19.42582593
5.76834	25.07328731
6.88848	30.04150535
7.06882	27.40815851
5.9563	19.53436252
4.88696	12.39407817
3.73634	6.421007014
2.50444	2.131142681
1.39192	-0.909661195
0.57658	-2.809941206
0.55372	-4.086135811
0.56896	-3.732947063
0.51054	-4.656397743
-0.72898	-7.588665026
-2.3114	-12.28554158
-3.91668	-18.55708837
-5.3467	-26.45801851
-6.84784	-32.26783996
-8.30326	-36.23209451
-7.8105	-27.6252317
-6.46684	-17.63408251
-5.05206	-9.217603556
-3.57378	-2.430063132
-2.032	2.076874385
-0.43434	5.796476785
1.10998	9.16333526
2.77114	13.39848647
4.28244	17.93255814
5.7658	23.47148293
7.239	30.31329165
8.68934	33.89722331
8.86206	28.76575556
7.56666	20.48494735
6.13664	11.52534061
4.6355	4.927739224
3.10896	0.556472447
1.58242	-3.543008027
0.6604	-5.742208489
0.56642	-6.312470421
0.5842	-6.231067977
0.56134	-5.877879229
0.57912	-5.769342637
-0.59944	-8.321731847
-2.23012	-13.58887033
-3.8354	-17.60694836
-5.4229	-23.36294634
-6.83514	-28.92856045
-8.30072	-33.29982723
-7.9756	-27.24535363
-6.59638	-16.92814984
0	0
-10.16254	-37.75249645
-9.69772	-29.25417023
-8.1153	-17.36274103
-6.4008	-7.126939686
-4.45008	-0.773990454
-2.55016	3.081727509
-0.5842	6.882732353
1.37922	10.73800549
3.28676	14.05015085
5.19938	18.69275911
7.01548	23.98703174
8.86206	30.31329165
10.77722	36.15069207
11.08964	30.55749898
9.46658	19.1816186
7.65556	10.03207282
5.80136	3.48873973
