"Ono et al. 1989, Specimen CA060C"	
1.1476	102.45
1.3256	110.19
1.4857	116.74
1.3967	104.17
1.3612	96.935
1.2989	90.908
1.2544	83.849
1.1654	73.694
1.0676	66.462
0.93414	58.198
0.80957	51.997
0.72951	47.006
0.64054	39.945
0.56937	33.919
0.4982	27.893
0.33807	12.225
0.22241	3.7879
0.12455	-4.6486
0.0088963	-15.496
-0.080068	-23.244
-0.16014	-30.475
-0.21351	-37.018
-0.32027	-45.628
-0.39144	-52.344
-0.48042	-58.714
-0.56937	-66.115
-0.88074	-81.959
-1.032	-92.634
-1.1654	-100.38
-1.3167	-108.82
-1.4323	-116.74
-1.5124	-122.93
-1.5836	-127.59
-1.4768	-112.09
-1.4145	-98.83
-1.3523	-90.908
-1.2989	-84.196
-1.2099	-76.79
-1.1298	-69.905
-1.0498	-64.225
-0.88964	-48.554
-0.78288	-40.118
-0.61387	-28.754
-0.4982	-20.317
-0.38255	-11.88
-0.30249	-4.1323
-0.11565	11.364
0.017793	26.171
0.16903	37.879
0.31138	47.349
0.4715	57.508
0.62276	68.01
0.77399	77.48
1.0053	92.287
1.201	103.48
1.3701	111.4
1.548	118.98
1.7259	124.83
1.8861	129.82
2.0551	132.23
2.2419	133.78
2.2508	124.83
2.1707	115.19
2.1263	108.47
2.0373	99.346
1.9127	91.255
1.7882	84.37
1.6547	75.585
1.4946	66.462
1.29	56.645
1.1565	47.865
0.95192	39.257
0.83627	32.369
0.7384	27.032
0.64054	21.867
0.40033	12.913
0.30249	8.437
0.19572	2.5827
-0.02669	-8.437
-0.11565	-16.873
-0.19572	-26.171
-0.25799	-33.575
-0.34696	-42.7
-0.39144	-49.244
-0.46261	-56.645
-0.516	-63.878
-0.58717	-70.078
-0.66723	-75.932
-0.81846	-85.228
-0.93414	-92.634
-1.0943	-100.72
-1.2277	-107.44
-1.3345	-111.92
-1.4234	-115.87
-1.5925	-122.93
-1.7259	-127.41
-1.9127	-131.89
-2.0729	-134.65
-2.2152	-136.54
-2.3398	-136.71
-2.2953	-131.89
-2.2864	-123.11
-2.2597	-114.5
-2.2063	-106.92
-2.1707	-99.346
-2.0818	-90.739
-2.0017	-84.712
-1.717	-69.562
-1.548	-59.23
-1.3523	-48.381
-1.1565	-36.674
-1.0053	-27.549
-0.80957	-17.562
-0.63165	-7.5758
-0.46261	0
-0.32027	9.4698
-0.0088963	25.483
0.19572	39.257
0.31138	46.833
0.53378	60.092
0.68504	69.905
0.83627	79.548
1.0587	93.15
1.2455	102.62
1.4056	109.68
1.5836	117.6
1.7526	123.8
1.9483	128.1
2.1085	128.96
2.2241	128.96
2.1351	111.74
2.064	103.48
1.9305	93.839
1.7259	83.333
1.5658	73.348
1.3612	61.293
1.2188	53.549
0.96972	42.356
0.80957	32.886
0.70282	27.204
0.57826	21.35
0.40924	15.324
0.18682	7.4037
0.062276	0.68873
-0.16014	-8.2644
-0.43591	-21.178
-0.63165	-33.058
-0.80068	-44.078
-0.92522	-53.029
-1.032	-62.846
-1.1298	-72.489
-1.3256	-87.639
-1.4946	-96.593
-1.6903	-105.37
-1.806	-110.19
-2.0017	-118.29
-2.1351	-123.45
-2.2241	-124.49
-2.2775	-123.8
-2.233	-113.81
-2.1351	-99.52
-2.0551	-90.392
-1.8682	-78.512
-1.7081	-66.115
-1.4857	-56.819
-1.2277	-41.667
-1.0053	-27.549
-0.71171	-13.258
-0.4715	0.34436
-0.27579	10.158
0.0088963	26.171
0.32027	43.906
0.52489	52.344
0.83627	63.704
1.032	71.453
1.2277	79.891
1.3434	87.296
1.4679	95.214
1.637	102.27
1.8238	108.99
1.975	114.33
2.144	119.15
2.233	122.08
2.144	108.82
2.0462	100.55
1.9661	94.355
1.8682	89.018
1.7259	81.959
1.6191	76.101
1.548	71.626
1.459	66.805
1.3789	61.467
1.2989	57.508
1.0943	47.006
0.9875	39.429
0.77399	26.171
0.36474	11.536
0.20462	2.9271
0.053378	-5.6819
-0.071171	-15.324
-0.17793	-24.105
-0.29357	-32.886
-0.40924	-41.495
-0.516	-49.07
-0.59606	-53.203
-0.80068	-60.608
-0.99639	-68.526
-1.1476	-75.585
-1.2811	-82.128
-1.4145	-89.187
-1.548	-95.045
-1.6636	-100.9
-1.7615	-107.27
-1.8594	-113.3
-1.9216	-116.05
-1.9928	-119.84
-2.1351	-123.97
-2.3487	-126.03
-2.2775	-117.43
-2.1974	-107.27
-2.1529	-100.9
-2.0907	-93.493
-2.0373	-88.155
-1.975	-82.301
-1.9038	-77.827
-1.8238	-74.21
-1.4857	-55.787
-1.3078	-43.217
-1.1387	-32.886
-0.93414	-21.178
-0.77399	-12.569
-0.62276	-4.1323
-0.48042	2.2383
-0.31138	9.9862
-0.13345	17.218
0.30249	41.151
0.46261	50.965
0.78288	61.64
0.94303	66.805
1.1031	73.005
1.2277	78.512
1.3789	87.465
1.4768	93.15
1.637	100.72
1.7615	106.06
1.9127	111.23
2.0818	116.74
2.2508	122.08
2.3842	125
2.5266	126.55
2.6335	125.18
2.7757	122.59
2.9002	122.59
2.9804	123.11
2.9804	116.39
2.8646	107.61
2.7313	96.935
2.5443	85.402
2.3576	76.448
2.2063	69.215
2.0551	61.124
1.8238	50.792
1.6191	40.806
1.3345	28.926
1.121	20.661
0.9875	15.324
0.82738	8.6091
0.70282	3.9601
0.54267	-1.5496
0.34696	-8.7812
0.16014	-18.079
-0.062276	-28.926
-0.17793	-35.297
-0.31138	-42.184
-0.50709	-51.308
-0.88074	-64.91
-1.0587	-73.521
-1.2633	-81.785
-1.4768	-91.082
-1.6903	-99.346
-1.9127	-107.09
-2.064	-112.43
-2.3042	-119.66
-2.491	-123.45
-2.8113	-125.52
-3.0249	-124.31
-3.1227	-121.04
-3.0249	-110.37
-2.9357	-99.862
-2.8113	-89.187
-2.6065	-73.863
-2.4287	-62.846
-2.1796	-50.449
-1.9394	-38.912
-1.6992	-28.237
-1.4679	-18.595
-1.2633	-9.9862
-1.0943	-3.6157
-0.85405	5.5097
-0.29357	23.761
0.062276	34.608
0.4715	49.07
0.65834	55.271
0.96972	65.599
1.5124	85.571
1.7081	92.803
1.8861	99.004
2.1618	107.78
2.322	112.61
2.5088	117.43
2.7579	122.08
2.9624	124.49
2.9982	117.08
2.9893	109.51
2.9982	100.72
2.9893	94.871
2.918	87.812
2.7313	76.448
2.571	68.526
2.4554	63.704
2.3042	57.851
2.144	50.965
2.0373	46.144
1.8682	38.74
1.5658	26.86
1.2722	18.251
0.99639	10.503
0.75621	3.6157
0.46261	-4.3045
0.31138	-10.158
0.088964	-17.907
-0.071171	-23.244
-0.2491	-28.065
-0.56048	-36.674
-0.75621	-43.217
-0.88964	-47.175
-1.1832	-56.645
-1.4857	-65.773
-1.6636	-72.489
-1.8416	-79.717
-1.9661	-85.402
-2.1085	-90.908
-2.2775	-96.246
-2.4643	-100.72
-2.6243	-104.51
-2.8202	-107.61
-3.0249	-108.65
-2.9624	-99.177
-2.7935	-87.465
-2.669	-78.859
-2.4821	-66.978
-2.1974	-52.513
-1.9661	-40.979
-1.6992	-29.271
-1.459	-19.112
-1.121	-3.6157
-0.86297	6.1983
-0.59606	14.98
-0.18682	27.204
0.24021	42.356
0.67612	56.645
1.032	69.905
1.4501	83.333
1.8149	94.182
2.1796	101.58
2.4821	107.61
2.7224	111.23
2.9624	114.33
3.0516	115.53
2.8913	110.19
2.7579	98.83
2.6601	91.771
2.5355	83.849
2.3487	75.416
2.1707	66.978
1.9661	58.198
1.717	46.66
1.5124	37.191
1.2811	25.999
1.0498	15.324
0.84516	7.9201
0.45372	-1.3774
0.11565	-12.569
-0.088964	-20.834
-0.40033	-30.648
-0.58717	-37.191
-0.72951	-43.733
-0.80957	-47.175
-0.9875	-50.623
-1.1476	-55.44
-1.4145	-64.567
-1.6636	-73.863
-1.9572	-81.612
-2.1974	-86.95
-2.5355	-94.182
-2.7846	-98.314
-2.9804	-100.04
-3.0516	-99.52
-3.1138	-90.05
-3.1049	-79.548
-3.0338	-71.453
-2.9002	-62.672
-2.6957	-50.792
-2.5177	-40.462
-2.2508	-28.237
-1.9394	-16.873
-1.6903	-8.2644
-1.3879	2.0661
-1.121	10.331
-0.82738	18.94
-0.56048	26.171
-0.2669	33.231
-0.062276	38.051
0.34696	47.865
0.79179	60.608
1.0943	68.357
1.3701	75.242
1.6103	81.785
1.9661	90.908
2.2419	97.451
2.4999	101.76
2.8024	105.55
3.0427	106.92
3.3363	107.27
3.5497	106.41
3.8966	106.92
4.1191	106.92
4.3769	105.03
4.5105	100.72
4.4394	90.05
4.2969	82.475
4.0747	70.247
3.9322	62.672
3.7455	53.376
3.5052	42.356
3.1849	30.992
2.7757	19.456
2.5266	12.052
2.2953	5.3376
2.0284	-0.68873
1.628	-8.0922
1.3078	-14.98
0.79179	-25.138
0.35585	-32.369
0.080068	-36.33
-0.32027	-41.495
-0.63165	-46.144
-0.94303	-51.655
-1.2277	-56.819
-1.4234	-61.467
-1.548	-65.257
-1.9839	-77.827
-2.4198	-86.607
-2.7846	-90.739
-3.1405	-91.771
-3.5852	-90.908
-3.8966	-91.771
-4.128	-94.008
-4.4216	-94.524
-4.6083	-94.182
-4.6083	-85.744
-4.5728	-73.348
-4.4928	-63.704
-4.3503	-54.234
-4.1636	-45.628
-4.0033	-38.912
-3.7988	-31.164
-3.5141	-21.178
-3.3183	-14.291
-3.1405	-7.5758
-3.0071	-2.4105
-2.7046	5.5097
-2.322	12.913
-1.8505	20.489
-1.3345	28.754
-0.87186	35.985
-0.46261	42.012
-0.088964	47.691
0.44483	54.755
1.0587	64.394
1.5391	71.11
1.9216	76.621
2.2864	81.612
2.5355	84.539
2.7846	86.607
3.3005	89.534
3.7722	90.05
3.9855	90.739
4.2525	91.598
4.5639	92.461
4.5194	82.301
4.4039	73.174
4.3236	65.43
4.1725	51.824
4.03	43.389
3.7899	34.091
3.4608	23.761
3.1582	15.496
2.8646	7.748
2.5443	0.51655
2.1618	-5.854
1.7526	-11.88
1.3789	-16.873
0.84516	-24.794
0.56048	-29.098
0.20462	-34.263
-0.23131	-39.773
-0.75621	-45.454
-1.2099	-51.308
-1.6636	-56.645
-2.2152	-62.156
-2.6601	-65.946
-3.096	-68.357
-3.7366	-70.937
-4.2436	-71.453
-4.5194	-71.11
-4.4839	-58.714
-4.368	-43.733
-4.1369	-32.886
-3.9411	-25.31
-3.5674	-13.774
-3.2471	-0.86091
-3.016	6.1983
-2.6065	16.701
-2.2241	24.449
-1.806	30.992
-1.3701	37.707
-0.93414	43.045
-0.4715	48.212
-0.062276	52.687
0.62276	60.092
1.0409	64.91
1.4679	68.357
2.0462	71.626
2.4643	73.863
2.8735	74.9
3.3271	75.069
3.7366	74.037
4.03	73.174
4.3503	73.005
4.5817	72.316
4.5639	61.64
4.5194	53.549
4.4661	45.112
4.2614	34.78
4.0033	23.761
3.7455	16.013
3.4963	8.437
2.9893	-3.2714
2.5799	-11.364
2.1885	-18.423
1.8861	-24.277
1.5035	-30.648
1.1298	-37.018
0.65834	-42.872
0.25799	-44.938
-0.17793	-46.833
-0.60495	-49.244
-1.3345	-51.997
-1.9394	-52.344
-2.3931	-51.997
-2.8646	-51.481
-3.3271	-48.212
-3.6119	-44.422
-4.0658	-41.151
-4.4127	-39.945
-4.475	-31.164
-4.4661	-21.867
-4.2347	-9.9862
-4.0033	-1.894
-3.7099	7.4037
-3.256	21.178
-2.9446	29.787
-2.6779	37.018
-2.3042	44.596
-1.8861	51.824
-1.3701	58.198
-1.0943	60.777
-0.57826	63.704
-0.25799	64.567
0.20462	63.878
0.36474	60.262
0.69393	59.919
1.1387	65.599
1.3701	67.494
1.806	65.599
2.2419	64.051
2.6957	62.672
3.1671	61.293
3.6474	60.608
4.0122	59.403
4.395	58.887
4.5905	58.714
4.555	50.792
4.5283	41.495
4.4216	31.681
4.1547	18.423
3.9055	9.8141
3.6833	3.2714
3.5674	0
