"Arakawa et al. 1982, Specimen 102"	
3.0775	90.615
2.8885	84.343
2.5376	77.546
2.2407	71.448
2.0247	64.652
1.6738	57.855
1.3228	49.488
1.1608	44.087
1.2958	42.868
1.1338	37.117
0.89088	31.192
0.6479	24.222
0.45893	16.729
0.21597	10.804
0.026995	4.8795
-0.24297	-3.6594
-0.29695	-8.7127
-0.45893	-15.858
-0.6479	-22.305
-1.5928	-45.654
-2.0247	-55.765
-2.4027	-63.953
-2.7536	-73.187
-3.1046	-82.074
-3.4826	-90.615
-3.9416	-100.37
-4.1575	-107.17
-4.5893	-115.53
-4.9944	-125.29
-5.2372	-130.7
-5.4262	-136.79
-5.6693	-143.59
-5.9121	-149.16
-6.1283	-153.7
-6.3442	-156.83
-6.4521	-159.1
-6.5601	-160.15
-6.6411	-160.15
-6.6411	-159.45
-6.6411	-158.4
-6.587	-155.44
-6.5062	-153.17
-6.4252	-150.91
-6.3711	-149.34
-6.2631	-146.9
-6.1283	-144.81
-5.9931	-142.02
-5.8311	-139.23
-5.8311	-136.79
-5.6962	-131.57
-5.4803	-126.69
-5.0752	-119.37
-4.6703	-112.74
-4.3464	-107
-4.1034	-100.2
-3.9954	-96.713
-3.8605	-91.486
-3.7795	-88.351
-3.5364	-83.645
-3.3475	-79.81
-3.1046	-74.233
-2.8616	-68.481
-2.6726	-64.999
-2.5376	-60.644
-2.0517	-50.013
-1.6738	-42.693
-1.6468	-36.943
-1.1338	-21.434
-0.51293	1.394
-0.13498	11.675
2.0517	74.931
2.5646	86.954
3.4826	102.81
3.7254	109.96
3.9685	116.93
4.3464	126.34
4.7513	133.31
5.2642	139.76
5.5613	147.25
5.8042	151.78
6.0472	155.27
6.2901	158.58
6.3711	158.92
6.398	158.05
6.3442	154.57
6.2901	151.08
6.1011	146.03
5.8852	140.63
5.6693	135.92
5.5342	130.87
5.3993	126.34
5.0752	120.41
4.5354	112.05
4.1844	105.25
3.8605	99.502
3.5636	92.532
3.2126	86.26
2.7536	78.939
2.5106	74.059
2.2137	68.481
1.8897	61.511
1.7008	56.285
1.4848	50.187
1.2418	44.262
1.1608	38.686
0.91788	32.412
0.6209	24.919
0.40495	17.774
0.18897	10.455
0.053993	3.1366
-0.18897	-5.2277
-0.51293	-14.812
-0.89088	-28.23
-2.2677	-66.217
-2.8616	-79.112
-3.0775	-87.127
-3.6444	-97.411
-4.2113	-107.17
-4.6164	-116.93
-4.9944	-125.29
-5.2103	-130.52
-5.3724	-132.61
-5.5072	-134.88
-5.8042	-138.88
-6.1011	-144.46
-6.3442	-150.73
-6.5331	-154.74
-6.5601	-156.83
-6.6949	-157.88
-6.8301	-158.92
-6.9111	-159.62
-6.9921	-160.15
-7.019	-160.15
-7.046	-160.15
-7.046	-159.79
-7.046	-159.27
-7.0729	-158.92
-7.0729	-157.88
-7.019	-156.13
-6.9921	-155.27
-6.8301	-151.61
-6.6949	-148.82
-6.6411	-146.2
-6.5331	-142.37
-6.3442	-138.01
-6.0472	-132.43
-5.7772	-126.69
-5.4262	-119.89
-5.2913	-115.01
-5.1293	-109.43
-4.9134	-105.08
-4.5354	-98.977
-4.1034	-89.916
-3.8334	-83.992
-3.4826	-75.976
-2.9967	-63.606
-2.6187	-56.112
-2.3487	-48.968
-1.9437	-40.951
-1.4848	-25.79
-0.7019	-3.8337
-0.16198	10.63
0.56693	32.412
1.0799	40.951
2.5106	76.15
3.4554	97.585
3.9685	111.7
4.4813	120.76
4.8054	127.91
5.2642	135.92
5.7503	143.94
6.2631	150.91
6.5331	155.09
6.668	156.49
6.8031	157.53
6.8839	157.88
6.8839	157.01
6.7221	151.61
6.5062	145.68
6.2901	139.06
5.9931	132.96
5.7772	127.56
5.4262	120.41
5.2642	115.01
4.8593	107.34
4.5354	101.59
4.2654	96.366
3.9144	90.615
3.6175	85.037
3.3746	79.637
2.8885	72.316
2.5916	68.134
2.1597	60.466
1.7548	54.194
1.4308	48.096
1.2418	40.602
1.0259	33.806
0.80988	28.927
0.6209	23.699
0.45893	17.6
0.29695	11.327
0.026995	1.7426
-0.24297	-4.5307
-1.7008	-46.179
-2.1327	-56.632
-2.5376	-64.999
-2.8616	-71.795
-3.1316	-80.509
-3.2936	-85.562
-3.6444	-92.705
-4.1034	-100.72
-4.4544	-107
-4.7513	-112.57
-5.1024	-119.71
-5.5613	-128.78
-5.7231	-133.48
-6.209	-140.8
-6.587	-146.38
-6.8839	-151.78
-6.9921	-153.35
-7.0729	-154.74
-7.2349	-156.49
-7.397	-158.4
-7.5049	-159.97
-7.6129	-160.49
-7.6398	-160.49
-7.7208	-159.79
-7.6939	-158.23
-7.5049	-155.09
-7.3701	-151.61
-7.289	-147.77
-7.208	-143.59
-7.019	-139.4
-6.8301	-135.75
-6.587	-131.74
-6.3172	-127.21
-6.1011	-123.2
-5.9121	-118.67
-5.6962	-114.84
-5.5613	-111.35
-5.3183	-105.6
-5.0483	-100.89
-4.8862	-96.886
-4.7513	-93.924
-4.5623	-91.135
-4.3464	-87.479
-4.1575	-83.298
-4.0495	-78.592
-3.7795	-73.886
-3.5364	-69.353
-3.2664	-64.825
-2.9157	-59.074
-2.6457	-54.719
-2.5646	-52.802
-2.2137	-46.006
-2.0247	-42.345
-1.8357	-36.594
-1.5928	-29.624
-1.4038	-23.002
-1.2688	-16.555
-1.1069	-9.5841
-0.89088	-3.8337
-0.7019	1.2198
-0.32395	9.7585
0	16.032
0.26995	22.479
0.53993	29.45
0.99885	37.988
1.3498	43.913
1.6198	58.202
2.7267	79.984
2.9695	85.909
3.6444	100.89
4.1844	111.35
4.6703	121.46
5.3452	133.31
5.9121	141.5
6.4252	148.12
6.857	153.7
7.1811	157.18
7.4239	158.05
7.4508	155.96
7.208	150.91
7.019	144.64
6.776	137.84
6.587	133.31
6.1011	126.16
5.8311	120.94
5.6152	116.4
5.4803	113.44
5.1024	105.25
4.8862	99.849
4.4813	93.404
4.2385	88.524
4.0223	82.946
3.7254	76.501
3.1857	66.569
2.7267	59.946
2.3757	53.323
2.0517	45.481
1.6198	37.291
1.2688	28.056
0.91788	19.866
0.45893	6.9705
0.29695	0.69705
0.053993	-5.7504
-0.053993	-9.0615
-0.89088	-31.366
-2.8616	-68.134
-3.5636	-84.516
-4.0495	-92.879
-4.4813	-100.55
-4.8054	-108.39
-5.1562	-115.19
-5.4531	-121.81
-5.9662	-129.82
-6.3711	-136.79
-6.8031	-142.89
-7.2349	-149.69
-7.559	-154.74
-7.8019	-157.01
-7.9639	-158.75
-8.1798	-159.79
-8.2067	-159.79
-8.2067	-157.7
-8.126	-155.27
-8.0178	-150.91
-7.8829	-146.55
-7.6939	-142.55
-7.289	-135.58
-6.9649	-128.78
-6.8031	-125.29
-6.6411	-121.81
-6.4521	-118.32
-6.3172	-114.14
-6.0201	-108.91
-5.8583	-105.6
-5.7503	-102.29
-5.4531	-96.015
-5.1562	-91.135
-4.7782	-85.037
-4.4275	-79.464
-4.0764	-74.584
-3.8334	-69.006
-3.4554	-62.908
-3.0505	-57.504
-2.7536	-50.534
-2.5106	-46.7
-2.2137	-39.383
-1.5118	-22.131
-1.0799	-9.0615
-0.80988	1.394
-0.35095	11.327
0.10799	20.04
0.6209	33.458
1.3498	44.96
3.1316	85.388
4.1575	107
4.7513	116.75
5.2103	124.42
5.4803	129.47
5.8852	134.88
6.3442	140.28
7.0729	149.16
7.4239	153
7.7749	156.66
8.0178	157.53
8.0449	156.83
7.856	152.82
7.6129	147.42
7.397	139.93
6.9921	131.04
6.398	119.71
5.8583	109.61
5.3452	99.849
5.0213	92.879
4.6703	86.607
4.3734	80.509
3.8605	71.448
3.4285	65.172
2.9426	58.029
2.3217	44.782
1.2958	23.176
0.6749	8.0157
0	-9.2358
-0.78288	-27.184
-1.1878	-38.163
-1.6198	-48.096
-2.8616	-67.961
-3.4016	-77.893
-3.8875	-86.954
-4.3464	-94.969
-4.8862	-105.77
-5.5072	-115.88
-6.1011	-125.64
-6.6949	-135.22
-7.1001	-143.24
-7.667	-150.21
-8.2608	-156.31
-8.5308	-159.1
-8.7467	-159.62
-8.7737	-157.88
-8.4498	-151.95
-8.0719	-144.81
-7.856	-141.32
-7.6939	-136.44
-7.5319	-132.61
-7.397	-128.08
-7.1811	-124.07
-6.9921	-120.59
-6.9111	-117.1
-6.668	-112.57
-6.5062	-109.78
-6.2631	-105.77
-6.0472	-101.77
-5.8311	-98.11
-5.5883	-93.577
-5.3993	-89.569
-5.0213	-83.818
-4.7782	-79.984
-4.4275	-74.758
-4.1844	-70.052
-3.8875	-64.999
-3.6716	-61.164
-3.4554	-56.983
-2.9967	-46.877
-2.5646	-37.466
-1.9167	-24.919
-1.6738	-16.38
-1.2958	-7.8418
-0.86388	-1.0455
-0.6209	4.7051
-0.26995	11.675
0.080988	19.169
0.7559	34.503
1.4848	45.307
3.5364	90.962
4.2113	100.89
4.6434	109.43
5.1562	118.15
5.5613	126.16
6.0472	132.26
6.479	135.92
7.127	142.02
7.4508	148.12
7.856	151.61
8.2878	155.27
8.6388	157.18
8.4229	153.7
8.3419	151.08
8.2608	148.64
8.2339	146.03
8.2067	143.42
7.9908	140.63
7.3701	127.91
6.8031	118.49
6.398	109.78
5.8042	99.328
5.2642	89.743
4.7244	79.464
3.9144	68.481
3.4285	60.293
3.0236	52.104
2.5376	42.171
2.0517	33.632
1.0529	13.592
0.21597	-4.7051
-1.2688	-37.814
-2.8346	-64.3
-3.1316	-71.448
-3.5636	-79.81
-4.1303	-90.268
-4.7244	-101.42
-5.3183	-111.52
-5.9662	-123.37
-6.938	-134.88
-7.6398	-143.24
-8.1798	-149.52
-8.5039	-153.87
-8.7467	-155.79
-8.9357	-157.36
-9.0708	-158.23
-9.2326	-158.58
-9.2867	-158.58
-9.3137	-157.53
-9.3137	-155.61
-9.1247	-151.43
-8.9088	-147.07
-8.6929	-141.32
-8.3419	-135.05
-7.856	-127.03
-7.5049	-119.89
-7.2619	-112.22
-6.8839	-104.03
-5.9662	-91.313
-5.1024	-76.848
-4.6164	-67.436
-4.2654	-62.383
-3.4016	-49.488
-2.4567	-30.669
-1.8357	-14.464
-1.1878	-1.0455
-0.7289	7.3187
-0.053993	20.388
0.32395	27.881
1.5658	46.353
2.6457	71.795
3.6716	93.577
4.3464	104.21
5.1293	115.71
5.8042	123.03
6.2901	129.47
6.8839	137.31
7.667	144.81
8.1798	149.69
8.7467	154.57
8.9357	155.61
9.0437	155.96
9.2326	155.96
9.2598	155.44
9.0708	153.87
8.9626	152.3
8.8819	149.52
8.7198	145.16
8.2878	136.62
7.748	126.16
7.0729	113.97
6.2631	100.02
5.4531	84.863
4.5623	73.361
4.0495	63.255
3.1046	47.224
2.2677	32.76
1.1608	11.849
0.26995	-5.7504
-0.026995	-11.501
-0.26995	-15.335
-0.6209	-24.57
-2.9157	-61.511
-3.4826	-74.233
-4.0223	-83.298
-4.2654	-88.871
-4.9672	-100.37
-5.6693	-110.65
-6.4521	-121.63
-7.1811	-132.09
-7.7749	-140.45
-8.4767	-147.77
-9.2867	-155.09
-9.4485	-156.31
-9.6647	-157.53
-9.7185	-157.7
-9.7996	-158.05
-9.7996	-156.49
-9.5837	-153.52
-9.4216	-150.04
-9.2326	-145.51
-9.0167	-140.63
-8.7467	-135.92
-8.3957	-128.95
-8.0178	-122.68
-7.6939	-114.49
-7.2349	-105.08
-6.8031	-96.713
-6.0472	-85.037
-5.3452	-76.501
-5.0483	-70.923
-4.1575	-57.157
-3.3746	-43.565
-2.8885	-32.935
-2.2407	-19.691
-1.7818	-10.804
-1.3228	-2.9624
-0.91788	3.1366
-0.78288	6.6217
-0.10799	20.04
0.45893	30.495
3.0505	76.323
4.9672	104.9
5.5072	114.14
6.2631	123.9
6.8839	132.09
7.7208	140.28
8.4767	147.6
8.9626	151.95
9.1247	153.35
9.3137	154.57
9.5296	155.27
9.5026	154.57
9.4485	151.08
9.2598	146.9
9.0437	140.97
8.6388	132.96
8.3149	126.51
7.8829	119.37
7.2349	107
6.6411	97.758
5.9393	87.999
5.3993	78.765
4.7513	69.006
4.2113	61.689
3.6716	53.67
3.2395	46.179
2.6995	36.42
2.1867	27.881
1.8897	21.957
1.4848	14.986
0.78288	2.4396
0.56693	-4.008
0.40495	-7.8418
0	-14.464
-1.9977	-46.179
-3.1046	-64.474
-3.5905	-74.584
-4.1034	-84.165
-4.6434	-91.833
-5.2913	-99.502
-5.9121	-109.43
-6.776	-121.81
-7.5319	-131.91
-8.5578	-141.85
-9.3406	-151.08
-9.7185	-154.39
-10.043	-156.13
-10.285	-157.36
-10.259	-156.31
-10.124	-152.65
-10.015	-147.42
-9.5837	-139.23
-9.3137	-132.43
-8.6388	-121.98
-8.0719	-112.74
-7.586	-103.51
-7.0729	-93.23
-6.2901	-82.248
-5.5883	-72.84
-4.7244	-60.644
-4.1844	-49.142
-3.4285	-37.814
-2.6995	-27.707
-2.3487	-20.214
-1.9707	-11.675
-1.1608	2.2654
-0.78288	8.1901
-0.43193	14.812
0.16198	23.351
1.1608	41.996
3.2664	77.893
4.4003	92.358
5.1024	104.21
5.8042	115.36
6.587	125.64
7.559	135.22
8.3957	143.07
9.3406	150.91
9.3947	151.43
9.8265	153.35
9.9075	153.35
9.9886	151.78
9.8265	149.16
9.7185	145.51
9.6647	143.07
9.6106	140.45
9.5296	138.71
8.8819	126.34
8.0988	112.22
7.1539	98.283
6.3711	85.909
5.6962	75.976
3.8334	48.795
2.2947	25.442
1.4038	11.675
0.48593	-4.5307
0.080988	-13.418
-0.26995	-18.994
-1.0529	-29.624
-1.3768	-37.466
-2.8616	-58.727
-3.8064	-75.803
-4.6164	-88.173
-5.4262	-99.155
-6.3442	-111.7
-7.1539	-121.98
-7.1539	-121.98
-8.126	-132.96
-9.0708	-142.89
-9.6647	-149.34
-10.529	-155.61
-10.771	-156.83
-10.88	-157.01
-10.907	-155.96
-10.799	-153.87
-10.691	-151.43
-10.502	-147.42
-10.204	-141.5
-9.6916	-131.39
-9.2057	-122.68
-8.6388	-112.4
-7.8829	-100.72
-7.208	-89.743
-6.209	-76.323
-5.3993	-63.255
-4.7513	-53.323
-4.1034	-42.693
-3.3205	-32.935
-2.9157	-26.662
-2.3217	-15.509
-1.8627	-7.4931
-1.4848	-1.0455
-1.1608	2.9624
-0.83688	7.8418
-0.43193	13.767
0.026995	20.388
0.53993	30.844
4.8862	97.238
5.5613	106.65
6.6142	120.59
7.559	131.39
8.7737	140.97
9.5568	147.94
10.043	150.73
10.367	152.48
10.502	153.52
10.582	153
10.448	148.82
10.124	141.32
9.5026	128.78
8.9626	118.49
8.2339	107.52
7.586	97.758
6.9921	88.351
5.9662	74.059
4.7244	58.727
3.9144	46.877
3.1316	34.503
1.8897	16.729
1.0529	0.17426
0.6209	-6.4474
-0.026995	-15.683
-3.6444	-73.187
-4.7244	-89.569
-7.3429	-120.94
-8.126	-129.82
-8.8819	-137.67
-9.5568	-144.46
-10.151	-149.52
-10.933	-154.39
-11.284	-155.61
-11.284	-155.44
-11.258	-153.87
-11.149	-151.78
-10.825	-146.2
-10.555	-140.1
-10.043	-129.47
-9.5026	-120.59
-8.9898	-111.7
-8.4767	-101.59
-8.0178	-94.969
-7.3429	-86.082
-6.5601	-75.278
-5.9393	-65.519
-5.4262	-57.33
-4.9672	-49.315
-4.6703	-44.96
-4.3734	-40.777
-3.8875	-34.677
-3.3746	-28.753
-3.0775	-22.654
-2.7267	-16.729
-2.4837	-11.327
-1.9977	-5.5765
-1.6468	-0.69705
-1.2688	2.9624
-0.94485	8.1901
-0.51293	14.986
-0.026995	21.782
0.32395	29.45
1.0529	39.557
4.6434	92.705
6.4252	112.74
7.6129	127.56
8.6388	134.53
9.6916	144.11
10.285	147.94
10.663	150.21
11.014	151.95
11.095	152.13
11.095	151.08
10.933	145.51
10.691	140.63
10.34	135.75
