"Saatcioglu and Ozcebe 1989, Spec. U7"	
-8.2	-7.571
-7.28	7.119
-6.08	22.51
-6.08	22.51
-4.96	38.36
-3.64	52.77
-2.18	67.68
-0.692	81.7
0.812	97.06
2.1	111.4
3.26	126
4.56	140.5
5.6	156.1
5.7	152.8
5.92	147.1
5.92	147.1
6.28	156.1
6.84	170.1
8.02	184.7
9.22	199.2
10.6	214.7
12.4	228.4
14.7	242.6
16.7	256.8
18.5	272.1
20.1	286.8
21.6	301.6
23.5	315.6
23.5	315.6
26.1	323.6
28.7	329.7
31.3	332.2
33.7	333.6
36.6	332.7
39.2	332.1
41.8	333
42.4	332.7
43	333.6
43.8	333.8
44	322.9
44.2	306.1
43.6	288
42.8	270.9
42.4	255.5
41.8	239.5
41.2	223.9
40.6	209.3
39.8	195.2
39	180.3
38.3	166
37.4	150.9
37.1	147.5
37.2	148.7
37.2	148.7
36.4	134
35.6	120.6
34.7	104.9
33.5	92.22
33	77.62
31.6	63.21
30.7	49.29
29.8	36.57
28.2	22.31
26.9	8.107
25.6	-5.944
24.2	-20.05
22.6	-33.59
22.1	-33.36
22.1	-30.88
21.1	-44.53
19.4	-59
17	-73.48
14.8	-86.74
12.2	-99.67
9.52	-113.2
6.88	-127.2
4.1	-140.7
2	-153.7
2	-153.7
-0.462	-167.9
-2.65	-182.5
-4.92	-196.6
-5.56	-197.5
-5.8	-186.8
-6.22	-196.6
-7.18	-209.1
-9.78	-222
-12.3	-235.8
-14.7	-247.4
-16.8	-261.2
-18.9	-275.7
-21.1	-289.3
-23.8	-301.8
-26.5	-312.9
-29.2	-319.7
-31.8	-324.1
-34.6	-327.5
-37.2	-326
-39.8	-326.1
-42.6	-326.8
-44	-322.4
-44	-313.9
-42.6	-264.4
-42.6	-264.4
-42	-248.1
-41.8	-241.3
-41	-227.8
-40.4	-212.2
-39.6	-196.7
-38.9	-181.2
-38.1	-165.6
-38.1	-170.6
-34.7	-108.8
-33.6	-93.62
-32.6	-79.57
-31.4	-64.13
-30.1	-50.29
-28.8	-34.96
-27.5	-20.43
-26.4	-10.81
-24.2	12.47
-21.9	26.66
-19.8	40.83
-18.1	54.4
-15.6	67.79
-13.3	80.02
-10.7	92.71
-8.14	104.3
-8.14	104.3
-6.1	114.2
-3.44	126.3
-0.682	139.1
1.99	152.1
4.7	166.1
7.36	179.3
9.88	191.7
12.6	205.8
15.2	217.7
17.5	226.8
19.7	234.5
22.4	243.9
25.3	253.1
27.3	260.5
30	270.1
32.8	280.5
35.5	290.8
38.2	300.9
41	309.8
43.6	316.8
44.2	309.8
42.2	237.1
41.4	221.8
40.4	204.3
40.4	204.3
21.8	-26.95
21.8	-26.83
20.8	-40.89
18.7	-54.74
16.8	-69.37
14.3	-83.9
11.7	-97.21
9.04	-111.3
6.58	-124.2
3.82	-137.3
1.05	-150.6
-1.63	-162.9
-4.44	-176.5
-7.36	-189.9
-10.2	-202.3
-13	-212.9
-15.8	-222
-18.7	-231.9
-21.5	-242.1
-24.4	-252.1
-27.2	-263.1
-30	-274.2
-32.8	-285.1
-35.7	-295.9
-35.7	-295.9
-39.1	-307.5
-41.6	-315.7
-44.2	-318.1
-44.2	-296.8
-43.8	-279.3
-42.6	-255.8
-41.4	-230.6
-40.2	-208
-39.2	-186.8
-38.1	-166.4
-36.9	-146.7
-36	-129.5
-34.7	-111.3
-33.5	-94.96
-32.5	-80.42
-31.2	-64.87
-29.7	-49
-28.3	-33.92
-26.7	-17.16
-26.3	-14.06
-26.4	-19.31
-25.3	-3.334
-23.7	12.45
-21.9	27.2
-21.9	27.2
-18.3	43.16
-16.9	58.17
-14.4	72.1
-11.6	85.75
-8.78	99.47
-5.94	112.7
-3.12	126.6
-0.3	139.2
-7.96	39.06
-10.2	-1.304
-11.2	-12.22
-11.7	-7.623
0.62	126.4
0.634	126.2
0.54	120.7
1.59	138.5
3.41	152.5
6	166.9
8.64	180.9
11.5	195.7
13.9	206.6
16.8	221
19.7	232.9
22.6	243.1
22.6	243.1
25.8	252.6
28.7	261.9
31.7	272.4
34.6	283.1
37.4	293.3
39.9	303.4
43	312
44	306.6
42.8	255.5
42.2	239.5
41.4	222.1
40.2	197.8
39	176
37.8	154.3
36.6	134
35.2	114.4
34.1	96.08
32.9	79.13
31.7	63.47
30.3	47.99
28.6	32.42
27.1	16.8
25.5	1.281
23.9	-14.28
23.9	-14.28
21.3	-33.44
16	-68.93
13.5	-83.07
10.8	-97.24
8.08	-111.6
5.34	-125.5
2.46	-138.9
-0.522	-153.1
-3.43	-167
-6.24	-180.4
-9.06	-193.2
-11.9	-205.8
-14.8	-216.5
-17.4	-224.6
-20.1	-232.5
-22.8	-241
-25.5	-250.4
-28.3	-259.2
-31.3	-271.1
-34.2	-282.1
-37.1	-292.3
-39.8	-301.4
-42.6	-309.9
-44	-309.3
-44	-309.3
-44.2	-292
-44.4	-291.8
-43.6	-274.4
-42.6	-250.6
-41.6	-226.3
-40.4	-204.4
-39.2	-184.1
-38.2	-164.1
-37.1	-145.3
-35.9	-127.7
-34.9	-110.2
-33.7	-93.98
-32.4	-77.75
-31.1	-61.22
-29.5	-46.08
-27.9	-30.05
-26.4	-13.99
-24.8	1.627
-22.9	17.29
-20.9	31.63
-18.4	46.99
-15.9	61.07
-13.1	74.67
-10.6	88.3
-10.6	88.3
-7.6	102.5
-4.78	116.2
-1.98	129.9
0.212	139
0.292	129.8
1.59	146
4.4	160.9
7.14	174
9.64	184
12.1	195.8
14.6	206
17.3	216.9
19.9	226.7
21.8	230.7
20.1	168.9
19	154.1
18.3	138.6
17.5	123
16.6	108.1
15.7	92.83
14.6	77.82
13.5	62.89
12.4	48.25
11	33.56
11	33.56
9.44	19.41
7.84	5.184
6.18	-9.821
4.4	-24.29
4.2	-25.36
4.14	-21.5
2.8	-36.06
0.848	-50.44
-1.01	-63.82
-2.93	-78.11
-4.66	-92.39
-6.5	-106.7
-8.18	-120.5
-9.9	-134.6
-11.8	-148.4
-13.4	-161.5
-15.3	-175.3
-17.5	-189.6
-19.5	-201.8
-21.8	-215.1
-22.4	-216.8
-22.5	-207
-21.8	-192.1
-20.7	-167.7
-20.7	-167.7
-18.3	-122.9
-17.4	-107
-16	-91.92
-15.3	-76.02
-14.2	-60.83
-13	-45.45
-11.4	-30.14
-10.2	-18.44
-8.28	1.643
-6.66	17.2
-4.8	31.68
-2.86	46.34
-0.88	60.95
1.07	75.65
2.86	90.28
4.7	105.2
6.3	120
8.16	135.2
10	150.9
11.9	165.4
13.8	180.4
15.9	195.7
18	210.3
18.7	209.9
18.7	209.9
23	238.6
25.8	249.5
28.6	258
31.3	266.5
34.1	276.1
36.9	286
39.7	295.3
42.4	304.5
44.2	310.3
46.8	317.1
49.4	323.2
52.2	328.2
54.4	331.2
57.2	334.3
60	337.4
62.8	339.8
65.6	341.8
65.8	337
65.8	328.7
66.2	316.8
66	305.1
65.4	289.9
65.2	273.9
64.2	258.2
64.2	258.2
63.4	241.4
62.6	225.4
61.8	210.2
61.4	204.3
61	189.5
59.8	174
58.8	158.4
58.2	147.1
58.2	151.1
58.4	151
58.2	151.1
58.4	151.4
58.4	151.4
57.6	136.7
57	121.4
55.8	104.3
54.8	88.4
53.6	72.51
52.4	56.88
51	41.24
49.4	26.6
47.6	11.18
46	-3.682
44	-18.25
44	-18.25
42	-33.57
39.8	-44.54
39.5	-39.55
38	-53.42
35.4	-65.49
32.6	-77.11
30.4	-87.87
27.6	-96.39
24.7	-106.8
22	-117.4
19.2	-128
16.3	-138.9
13.8	-147.5
11.1	-156.7
8.3	-165.5
5.5	-173.7
2.68	-182
-0.024	-189.5
-2.73	-197.1
-4.62	-198.1
-4.78	-188.3
-5.88	-204.1
-8.62	-212.8
-11.2	-219.4
-11.2	-219.4
-13.9	-226.1
-16.7	-231.1
-19.5	-238.1
-22.3	-245.5
-25	-252
-27.7	-258.5
-30.5	-266
-33.3	-273.8
-36.1	-281.8
-38.8	-289.1
-41.4	-296.2
-44.2	-302.8
-47	-308.2
-49.6	-312.9
-52.4	-316.6
-55.8	-319.7
-58	-321.8
-60.8	-323
-63.6	-323.6
-65.8	-317.9
-66.2	-300.3
-65.4	-279.8
-64.6	-264.8
-64	-249.2
-64	-249.2
-63.2	-235.3
-62.4	-219.7
-61.4	-205.2
-60.6	-190.8
-59.6	-174.9
-59	-167.3
-59	-168.4
-59	-168.1
-58.2	-154
-57.4	-138.8
-56.2	-122.6
-55.4	-107.5
-54	-91.38
-52.8	-75.51
-51.4	-60.21
-50	-45.3
-48.6	-30.55
-46.6	-16.03
-45	-1.749
-44.8	-3.046
-44.8	-6.191
-43.4	8.86
-41.4	24.17
-38.8	37.92
-38.8	37.92
-35.7	52.15
-32.8	62.74
-29.8	73.75
-27.1	84.26
-24.1	93.04
-21.3	103.4
-18.4	113.7
-15.7	123.7
-12.8	133.6
-9.82	143.5
-6.94	152.7
-4.04	162.1
-1.26	170.4
1.63	178.8
4.48	186.9
7.32	194.8
10.2	202.7
13.2	210.5
15.9	217.3
18.8	224.3
21.7	231.4
24.5	238.4
27.4	244.4
30.3	249.4
30.3	249.4
33.9	256.2
36.1	262.3
39	266.7
41.8	273
44.8	279.5
47.8	285.2
51	292.1
53.8	299.5
56.6	307.8
59.6	314
62.4	320.3
65.2	325.7
66	321.9
65.6	290.7
64.8	262.6
63.6	235.5
62.4	211.4
61.2	192.2
60	171.3
58.8	151.2
57.8	132.1
56.8	113.9
55.6	96.78
54.4	79.77
54.4	79.77
51.2	41.99
49.6	27.27
47.6	12.61
45.8	-2.661
43.8	-18.74
41.4	-33.35
39.2	-43.96
37.8	-49.89
34.8	-62.38
31.8	-74.45
29.2	-85.25
26.3	-96.09
23.5	-106.5
20.5	-117.6
17.6	-128.6
14.7	-139.1
11.8	-149.5
8.92	-158.2
6.16	-167
3.36	-175.5
0.434	-183.2
-2.54	-190.6
-5.62	-197.5
-8.46	-204.7
-8.46	-204.7
-11.9	-211.8
-14.9	-218.1
-17.7	-223.3
-20.4	-228
-23.4	-233.3
-26.3	-238.5
-29.2	-244.2
-32	-249.4
-34.9	-254.9
-37.8	-259.9
-40.6	-265.6
-43.4	-270.9
-46.2	-277.1
-49	-282.4
-51.8	-288.9
-55	-294.7
-57.6	-299.8
-60.6	-305.3
-63.4	-309.5
-65.8	-308.8
-64.8	-266.8
-63.6	-242.6
-62.4	-221.5
-61.4	-202
-61.4	-202
-58.2	-154
-57.2	-137.8
-56	-120.7
-54.8	-104.5
-53.6	-89.15
-52.2	-72.81
-51	-57.43
-49.2	-41.86
-47.4	-26.45
-45.4	-11.22
-44.4	-3.473
-42.8	8.578
-40.8	23.12
-38.4	37.22
-35.5	49.79
-32.5	60.43
-30	70.88
-27.4	78.62
-24.6	88.39
-21.6	98.88
-18.8	108.6
-16	119
-13.2	129.7
-10.3	139
-10.3	139
-7.06	149.7
-4.18	159.2
-1.16	169.2
1.8	177.1
4.74	185.1
7.46	192.2
9.98	199
12.9	206.6
15.5	213.4
18.5	219.7
21.1	226.6
23.7	231.8
26.7	238
29.4	241.3
32.2	249
35.2	254.5
38.2	259.8
41	265.2
43.8	271.3
46.6	276.2
49.4	281.9
52.4	288.4
55.4	295.5
58.4	302.8
58.4	302.8
61.6	310.3
64.6	316.3
66.2	313.5
66.2	294.4
65.6	277
64.4	249.6
63.8	223.6
62	201
61	182.5
60	162.6
59.4	142.9
57.6	124.7
56.4	107
55.2	90.41
54	74.39
52.6	58.13
51.2	42.24
49.6	27.2
47.4	12.28
45.4	-3.711
43.4	-18.45
41	-33.81
38.8	-43.27
37.6	-47.1
37.6	-47.1
34.2	-61.3
31.2	-72.62
28.3	-83.75
25.6	-93.89
22.8	-104
19.9	-114.4
16.7	-125.3
13.9	-136.9
10.9	-147.2
7.96	-157.2
4.9	-166.8
1.78	-174.7
-1.06	-183.1
-3.96	-190
-6.88	-196.8
-9.82	-203.4
-12.5	-209.9
-15.4	-214.7
-18.3	-220
-21	-225
-23.8	-229.3
-26.6	-234
-29.5	-239.2
-32.3	-244.2
-32.3	-244.2
-35.7	-250
-38.4	-254.5
-41.2	-259.4
-44	-264.4
-46.6	-269.1
-49.6	-274.7
-52.6	-280.6
-55.6	-286.6
-58.4	-292.2
-61.2	-296.8
-64	-300.6
-65.6	-300.5
-65.8	-278.4
-64.8	-260.9
-63.6	-237.2
-62.2	-216.3
-61.2	-197.4
-60.2	-179
-59	-161.5
-58	-146.4
-56.8	-129.9
-55.6	-113.2
-54.2	-95.65
-53	-79.03
-53	-79.03
-50	-46.73
-48	-31.93
-46	-16.68
-44.4	-4.398
-44.4	-9.969
-43	5.346
-40.8	21.06
-38.4	35.73
-35.6	48.53
-32.7	58.5
-29.9	68.43
-27.2	77.17
-24.3	87.06
-21.4	96.5
-18.5	106.2
-15.5	118.1
-12.7	128.5
-9.86	138.2
-7.38	146.6
-4.54	156
-1.6	165.2
-0.908	160.8
-12.3	47.71
-16.3	1.806
-16.3	1.806
-18.1	-9.41
-17.5	-0.9796
-0.86	138.4
-0.872	138.4
-0.854	138.9
0.152	154.9
1.71	169.7
4.64	181.5
7.56	190
10.5	198.4
13.4	206
16.2	213.9
19.1	220.9
22	227.9
25.1	234.3
27.8	241.1
30.7	246.6
33.6	251.7
36.6	257.1
39.6	262.2
42.6	267.6
44	261.7
44	250.3
43.4	232.3
43.4	232.3
40	170.2
39	150.8
37.7	132.5
36.5	115.6
35.2	99.15
33.9	82.01
32.5	66.01
30.9	49.54
29.3	33.58
27.3	18.64
25.1	2.829
23.2	-12.17
20.7	-26.52
18.9	-32.8
18.9	-29.43
16.5	-43.86
13.6	-57.35
11	-70.19
7.92	-84.02
4.96	-97.58
1.94	-111.7
-0.93	-125.5
-3.88	-138.9
-6.72	-151.2
-6.72	-151.2
-10.1	-164.5
-12.9	-175.4
-15.7	-185.5
-18.5	-195.2
-21.4	-203.7
-24.3	-211.7
-27.1	-218.6
-30	-224.9
-32.9	-230.3
-35.7	-235.3
-38.6	-240.8
-41.2	-246.4
-43.8	-251.1
-44	-247.5
-44.2	-236.4
-43.4	-219.3
-42.4	-199.4
-41	-179.3
-40	-161.1
-39	-143.9
-37.5	-128
-36.6	-112.9
-35	-96.29
-34	-80.39
-34	-80.39
-30.8	-46.39
-29	-31.49
-26.8	-16.84
-26.5	-15.42
-26.5	-18.05
-24.5	-2.767
-23.2	12.32
-20.9	26.68
-18	38.55
-15.3	50.94
-12.3	64.82
-9.5	77.79
-6.6	91.37
-3.92	104.9
-1.08	119.4
-0.71	113.6
-0.79	109.8
0.44	125.6
3.01	139.6
5.82	152.2
8.7	165.1
9.8	163.1
9.78	162.5
9.78	161.9
9.78	161.9
9.78	159.6
9.78	157.9
11	173.4
13.4	186.2
16.4	194.6
19.2	204.7
22.2	214.4
25.1	223.5
28.1	231.2
30.3	237.2
33.2	243.8
36.1	251
39.1	257
41.8	262.9
44.6	268.7
47.4	274.5
50.4	281.3
53.2	287.4
55.6	291.5
58.6	298.3
61.6	304.4
64.6	309.7
67.6	315.1
70.4	319.2
70.4	319.2
73.8	323.1
76.4	325.8
79.4	328.9
82.4	331.3
85.2	333.4
87.6	328.4
88	304.7
87.4	284.8
86.4	258.2
85.2	232.1
84	208.5
82.8	186.5
81.6	166.2
80.4	146.6
79.6	138.8
80	142.9
79	126.1
78.2	109.2
76.8	92.92
75.6	76.66
74.4	60.14
72.8	43.66
71.2	27.64
69.2	12.73
69.2	12.73
65.8	-11.2
63.4	-26.71
61.4	-41.95
58.6	-54.09
58	-52.49
58	-47.84
56.4	-62.68
53.6	-73.65
50.8	-82.12
48.4	-88.76
45.4	-97.07
42.6	-105
39.6	-112.4
36.8	-120.1
33.9	-128.4
31.1	-136.3
28.1	-144.2
25.1	-153.2
22	-161
19.8	-167.1
16.9	-174.3
14	-181.2
11.2	-187.4
8.36	-192.7
8.36	-192.7
5.12	-199
4.4	-196
4.26	-187
2.88	-202
-0.022	-207.9
-2.85	-212.6
-5.76	-217.1
-8.68	-221.6
-11.6	-225.3
-14.4	-229.4
-17.2	-232.8
-20.4	-236.5
-23.1	-240.4
-26.1	-244.8
-28.9	-247.3
-31.8	-252
-34.7	-255.9
-37.3	-259.4
-40	-262.5
-42.8	-266.3
-45.6	-270.1
-48.4	-274.1
-51.4	-278.5
-54.4	-282.7
-54.4	-282.7
-57.4	-286.5
-60.2	-290.1
-63	-293.2
-66	-296.2
-69	-298.7
-71.8	-300.5
-74.6	-301.9
-77.4	-302.7
-80.2	-303.7
-83	-304.1
-85.8	-304.6
-87.6	-297.8
-87.6	-278.7
-86.8	-257.7
-86	-235.1
-85.2	-217.9
-84	-199.4
-83	-182.1
-82	-165.6
-81	-149.7
-80.8	-146.2
-80.6	-149.9
-79.8	-133
-78.6	-116.7
-78.6	-116.7
-76	-82.54
-74.6	-66.59
-73.4	-51.36
-72.2	-36.39
-69.8	-21.64
-67	-6.664
-64.4	7.985
-64.6	7.765
-64.2	3.97
-63.2	18.94
-60.6	33.66
-57.8	47.68
-55	58.91
-52.2	68.35
-49.2	76.26
-46	83.25
-43.2	90.82
-40.8	96.41
-37.8	103.4
-35.1	109.8
-32.1	116.9
-29.2	124.6
-26.2	132.6
-23.5	139.5
-23.5	139.5
-20.4	148.2
-17.7	155.5
-14.9	162.6
-12.2	169.7
-9.34	176.3
-6.38	182.5
-3.52	188.8
-0.71	193.9
2.11	199.4
5	204.8
7.98	210
10.8	214.6
13.7	219.3
16.2	223.8
19.3	228.2
22	232.3
24.4	236.5
27.4	240
30.2	243.9
33.3	248.1
36.2	251.9
39.1	255.6
42.2	259.2
45	262.7
45	262.7
48.2	266.2
51	269.7
54.2	273
57	277.1
60	280.5
63	284.7
65.8	288.5
68.8	292.4
71.6	296
74.4	299
77	301.4
80	305
83	308.3
85.8	310.7
87.6	303.9
87.8	280.7
86.6	263.4
86	237.3
84.8	212.8
83.6	190.6
82.2	169.9
81.2	150.7
80	132
79	114.2
79	114.2
75.8	74.54
74.8	59.02
73	42.88
71.2	26.86
69.4	11.22
67	-3.83
64.4	-19.38
61.8	-34.79
59.2	-49.29
58	-52.95
57.8	-47.86
56.2	-62.03
53.2	-70.3
50.2	-78.45
47.4	-86.56
44.6	-93.58
41.6	-101.1
38.8	-108.5
35.8	-116
32.8	-123.1
29.8	-131
27.2	-138.7
24.7	-145.8
21.8	-153.1
21.8	-153.1
18.8	-162.1
16.1	-168.7
13.1	-175.1
10.2	-181.8
7.3	-187.5
4.36	-192.9
1.58	-197.6
-1.28	-202.3
-4.12	-206
-7.1	-210.8
-10.1	-214.2
-13.1	-218.5
-16	-222.2
-18.8	-225.5
-21.7	-228.5
-24.6	-231.5
-27.7	-234.2
-30.6	-236.5
-33.6	-239.1
-36.5	-241.8
-39.4	-244.6
-41.8	-247
-44.8	-249.4
-47.6	-252.5
-47.6	-252.5
-51	-255.2
-53.2	-256.6
-56	-259.6
-58.8	-261.4
-61.8	-265
-64.8	-267.7
-67.6	-270
-70.4	-272.7
-73.2	-272.9
-76.2	-277.4
-79	-279.4
