"Ono et al. 1989, Specimen CA025C"	
-1.7913	-61.111
-2.4599	-76.386
-3.0528	-89.965
-3.6332	-105.24
-3.936	-112.28
-4.2512	-118.34
-4.5037	-122.7
-4.491	-118.58
-4.3523	-105.97
-4.0747	-91.18
-3.6332	-76.386
-3.2294	-64.745
-2.8384	-53.834
-2.2581	-38.315
-1.6652	-21.825
-0.83259	-2.1825
-0.27752	11.64
0.22707	25.462
0.9209	39.285
1.7661	57.957
2.4347	73.961
3.1412	88.511
3.936	106.46
4.5037	118.1
4.3774	107.67
4.1882	96.757
3.9233	85.117
3.6205	72.992
3.2042	60.626
2.6871	47.772
2.2329	36.375
1.703	22.552
1.3246	13.58
0.89568	3.1525
0.46675	-8.0024
0.15138	-16.005
-0.34061	-28.372
-0.90828	-43.407
-1.5264	-55.289
-2.0941	-65.959
-2.5735	-75.416
-3.0528	-87.301
-3.5575	-98.941
-3.8727	-105.97
-4.0747	-110.34
-4.2639	-114.22
-4.4404	-117.61
-4.3774	-107.67
-4.1504	-94.573
-3.9106	-84.872
-3.5954	-73.961
-3.2294	-63.291
-2.8636	-52.38
-2.5481	-44.135
-2.2203	-35.162
-1.8544	-25.705
-1.3372	-13.823
-0.88306	-3.395
-0.52984	5.0925
-0.088306	15.52
0.51722	29.585
1.3246	46.562
1.867	58.682
2.3969	70.568
2.9644	82.208
3.507	94.089
4.0117	106.7
4.3269	113.49
5.0208	121.25
5.5001	123.43
6.0175	124.65
6.0427	113.25
5.8534	101.12
5.6137	87.301
5.3487	76.145
5.0838	65.719
4.7432	56.988
4.428	49.955
4.1882	43.65
3.7592	35.647
3.4564	29.585
2.9393	22.067
2.4095	14.55
1.9049	7.0323
1.5264	0.72751
0.76952	-8.9725
0.34061	-16.247
-0.164	-24.007
-0.58029	-31.525
-1.0723	-42.437
-1.4886	-51.41
-1.8923	-59.897
-2.2581	-69.113
-2.8006	-83.178
-3.3177	-94.089
-3.7341	-103.3
-4.062	-109.85
-4.7686	-118.34
-5.3614	-123.43
-5.7777	-125.13
-6.0554	-124.4
-6.0175	-113.01
-5.7272	-97.482
-5.5255	-88.755
-5.3363	-81.963
-5.0714	-73.236
-4.6929	-63.05
-3.8603	-42.922
-3.4564	-34.677
-3.0401	-27.402
-2.0689	-12.367
-1.4507	-2.6675
-0.73167	7.0323
-0.13877	16.49
0.73167	32.737
1.211	42.195
1.867	53.834
2.5987	66.444
3.2294	76.145
3.7468	84.147
4.428	96.273
5.0208	104.76
5.5507	110.82
5.967	115.91
6.0048	116.16
6.0048	111.55
5.8661	98.941
5.702	88.026
5.3866	75.176
5.046	62.806
4.6297	53.834
4.2388	45.588
3.9738	39.285
3.6584	33.465
3.2548	29.1
2.6871	19.4
2.2203	10.912
1.6526	1.94
1.0092	-6.305
0.46675	-15.035
-0.088306	-23.038
-0.51722	-30.07
-0.90828	-37.345
-1.3246	-44.618
-1.703	-51.41
-2.3338	-61.596
-2.7249	-69.113
-3.0655	-74.691
-3.4564	-81.478
-3.9233	-88.996
-4.2766	-94.818
-4.6424	-101.12
-5.0335	-106.46
-5.5001	-111.55
-5.8407	-114.7
-6.0805	-116.16
-6.0678	-113.49
-5.7904	-100.64
-5.5507	-88.755
-5.273	-78.325
-5.046	-71.052
-4.7053	-61.596
-4.3774	-52.864
-3.9863	-44.377
-3.5575	-35.405
-3.2294	-29.585
-2.4221	-18.672
-2.0184	-12.367
-1.5012	-3.88
-0.88306	5.0925
-0.37846	12.125
0.12615	20.127
0.75689	30.07
1.211	37.83
1.6904	45.347
2.1824	54.079
2.6492	61.836
3.2294	71.293
3.7214	78.814
4.2009	85.362
4.7181	93.848
5.1849	101.12
5.765	108.15
6.0427	111.79
