"Wehbe et al. 1998,Specimen B2"	
-27.2415	-299.10837
-28.4988	-307.92729
-29.6164	-315.27639
-31.4325	-327.03495
-32.9692	-335.85387
-34.0868	-343.69291
-35.0647	-348.10237
-35.7632	-352.51183
-36.8808	-358.39111
-37.8587	-363.78045
-38.2778	-365.25027
-38.9763	-369.16979
-39.6748	-372.84434
-40.513	-377.00883
-40.9321	-378.72362
-41.21149746	-378.96859
-41.3512	-367.455
-41.3512	-367.455
-41.3512	-367.455
-41.3512	-367.455
-40.79239746	-359.37099
-40.2336	-352.02189
-39.2557	-341.97812
-38.1381	-328.01483
-37.2999	-317.48112
-36.6014	-309.39711
-35.9029	-303.27286
-34.6456	-287.83975
-33.6677	-277.30604
-33.10889746	-271.42676
-32.4104	-263.83269
-31.85159746	-258.44335
-31.0134	-250.11437
-30.1752	-241.78539
-29.1973	-231.00671
-28.0797	-220.22803
-26.6827	-206.26474
-25.4254	-194.26121
-23.88870051	-179.07307
-22.352	-164.37487
-21.23439924	-154.08613
-19.55799949	-138.16308
-18.71979975	-130.32404
-17.8816	-122.24003
-16.76399924	-111.70632
-15.2273	-98.47794
-13.13180051	-79.12531
-11.8745	-67.61172
-10.89659975	-60.01765
-9.6393	-47.76915
-6.565900254	-21.55736
-5.588	-14.6982
-4.3307	-4.40946
-2.6543	10.28874
-0.2794	28.90646
1.1176	40.17508
2.374900076	51.19873
3.7719	62.22238
4.8895	72.51112
6.7056	87.69926
8.5217	102.39746
9.778999746	112.44123
11.59509975	126.89446
12.573	133.75362
13.4112	139.87787
14.10969924	144.28733
14.8082	149.92164
16.06549975	158.49559
17.32279949	167.06954
18.71979975	176.3784
19.6977	182.25768
21.23439924	193.03636
22.49170025	200.38546
23.46960051	206.99965
24.58719975	213.85881
26.1239	223.16767
27.5209	231.00671
28.3591	235.90611
29.05760254	239.58066
30.0355	244.97
31.0134	250.84928
31.7119	254.27886
32.68979746	260.15814
33.8074	266.28239
34.7853	270.93682
35.3441	273.87646
36.4617	279.51077
37.16019746	283.18532
37.99840254	287.59478
39.2557	294.20897
40.0939	298.37346
40.9321	300.57819
41.4909	304.74268
42.6085	309.39711
43.4467	313.5616
44.0055	316.50124
45.68189746	323.85034
46.9392	329.23968
48.0568	333.89411
49.1744	337.56866
49.8729	340.26333
50.57139746	343.44794
51.40959746	346.38758
52.24779746	349.81716
52.94630254	351.53195
53.50509746	354.22662
54.34329746	357.41123
55.04180254	359.61596
56.01969746	362.80057
56.7182	364.51536
57.4167	367.94494
58.11520254	368.92482
58.8137	372.10943
59.51219746	373.57925
59.93129746	373.82422
60.4901	376.76386
61.04890254	377.2538
61.3283	378.23368
61.7474	380.19344
62.30620254	381.17332
62.72530254	382.1532
63.0047	382.1532
63.4238	384.6029
63.56350254	383.62302
63.70319746	383.13308
63.98260254	384.11296
64.12229746	384.6029
64.4017	385.33781
64.54139746	386.31769
64.6811	386.07272
64.8208	386.07272
64.96049746	385.33781
64.96049746	384.6029
64.96049746	384.11296
64.96049746	383.62302
64.96049746	383.86799
64.96049746	383.62302
64.96049746	383.37805
64.96049746	383.13308
64.96049746	382.88811
65.1002	382.64314
65.1002	382.1532
65.1002	382.1532
65.2399	383.62302
65.2399	383.62302
65.2399	384.11296
65.37959746	384.6029
65.5193	371.86446
65.659	371.86446
65.659	371.86446
65.1002	364.27039
64.6811	360.1059
63.28409746	342.958
61.60769746	321.40064
59.93129746	305.23262
58.25489746	289.55454
56.5785	274.3664
56.1594	269.467
54.9021	258.19838
53.6448	246.68479
52.8066	239.33569
51.9684	231.49665
51.40959746	226.84222
50.292	216.30851
49.0347	206.01977
47.6377	193.03636
45.8216	178.09319
44.4246	165.84469
43.5864	160.45535
41.7703	144.04236
40.3733	132.77374
38.9763	122.485
38.4175	118.81045
36.6014	104.60219
34.6456	89.90399
33.52799746	82.30992
31.9913	70.79633
31.0134	63.6922
29.6164	54.62831
28.0797	45.07448
26.8224	36.25556
25.28569924	27.68161
24.02839949	20.08754
21.9329	8.32898
20.53589975	1.71479
19.41830051	-4.8994
17.74189949	-14.20826
16.20520025	-22.53724
14.66849975	-29.88634
12.9921	-38.70526
10.19809975	-53.15849
8.5217	-60.01765
7.124699746	-68.5916
5.588	-77.65549
4.190999746	-86.71938
2.374900076	-99.45782
1.816100076	-101.90752
1.5367	-104.11225
-0.5588	-121.26015
-2.095499898	-133.01871
-2.9337	-138.65302
-4.3307	-150.41158
-6.007099746	-161.6802
-7.962899746	-174.90858
-9.778999746	-188.38193
-12.71270051	-207.73456
-14.10969924	-216.55348
-15.50669949	-226.10731
-17.18310051	-237.13096
-19.13889949	-250.11437
-21.09470025	-261.87293
-24.02839949	-280.98059
-25.7048	-291.02436
-27.2415	-300.82316
-28.9179	-310.86693
-30.8737	-321.40064
-31.9913	-327.52489
-33.10889746	-334.87399
-34.3662	-341.73315
-35.9029	-350.79704
-36.74109746	-355.45147
-37.99840254	-361.08578
-38.9763	-366.23015
-39.6748	-369.9047
-40.3733	-372.84434
-41.0718	-376.51889
-41.4909	-377.98871
-42.6085	-384.11296
-43.4467	-386.80763
-44.4246	-390.48218
-44.84369746	-391.21709
-45.4025	-393.17685
-45.9613	-394.15673
-46.52009746	-396.11649
-47.0789	-397.58631
-47.498	-397.83128
-47.7774	-397.58631
-48.1965	-398.56619
-48.7553	-400.03601
-49.0347	-399.3011
-49.1744	-397.58631
-49.1744	-396.8514
-49.31409746	-396.36146
-49.4538	-379.45853
-49.4538	-379.45853
-49.4538	-379.45853
-49.4538	-379.45853
-49.4538	-379.94847
-49.8729	-384.84787
-50.15229746	-389.01236
-50.57139746	-391.70703
-50.99049746	-393.42182
-51.26990254	-395.38158
-51.82869746	-398.56619
-52.52720254	-401.01589
-52.94630254	-400.52595
-53.36540254	-401.50583
-53.92419746	-403.95553
-54.483	-404.69044
-55.04180254	-405.67032
-55.60059746	-406.6502
-56.43879746	-408.36499
-57.27699746	-410.07978
-57.9755	-410.07978
-58.25489746	-409.83481
-58.67399746	-410.32475
-59.2328	-411.30463
-59.6519	-411.79457
-59.93129746	-411.05966
-60.35039746	-411.30463
-60.76949746	-412.03954
-61.18859746	-413.26439
-61.60769746	-413.75433
-62.02679746	-413.50936
-62.1665	-412.77445
-62.44589746	-412.28451
-14.94790051	-4.65443
-14.66849975	-11.51359
-14.66849975	-11.75856
-14.66849975	-11.51359
-14.66849975	-10.28874
-13.83029975	1.22485
-12.9921	8.81892
-12.15390025	13.47335
-11.31569975	17.88281
-10.19809975	23.76209
-9.359899746	29.15143
-7.4041	38.46029
-5.867400254	46.5443
-4.4704	52.91352
-3.3528	58.05789
-2.514599975	62.95729
-0.4191	72.51112
0.4191	78.88034
1.5367	85.24956
2.6543	91.12884
3.7719	98.96788
5.308599746	109.01165
7.124699746	119.79033
8.5217	128.85422
9.359899746	134.7335
10.61719949	142.57254
12.01419975	150.65655
12.85239949	156.29086
14.24939975	164.61984
15.2273	169.51924
16.06549975	174.41864
17.18310051	181.2778
18.16099924	186.66714
19.41830051	193.03636
20.25650025	197.44582
21.09470025	201.36534
21.65350051	205.28486
22.352	208.46947
23.46960051	214.83869
24.30780051	219.00318
25.28569924	223.65761
25.8445	225.86234
26.9621	232.23156
27.6606	235.66114
28.63849746	240.80551
30.0355	247.90964
31.2928	253.29898
32.27069746	257.2185
33.2486	262.1179
34.0868	266.28239
34.925	269.95694
35.6235	272.65161
36.6014	276.8161
37.99840254	283.92023
39.5351	291.26933
40.0939	291.75927
41.21149746	296.90364
41.7703	299.84328
42.46879746	301.80304
43.307	305.96753
44.1452	309.15214
45.5422	315.52136
46.2407	317.23615
48.0568	325.8101
49.31409746	330.21956
50.0126	331.68938
50.7111	334.13908
52.10810254	340.26333
52.66689746	340.99824
53.92419746	347.36746
54.9021	349.81716
55.46090254	351.77692
56.1594	353.49171
56.5785	355.45147
57.4167	358.88105
58.25489746	360.84081
59.2328	365.0053
60.35039746	368.67985
61.04890254	370.39464
62.02679746	373.33428
62.30620254	373.33428
62.5856	373.82422
63.0047	375.29404
63.4238	375.78398
63.70319746	376.27392
63.8429	376.27392
64.12229746	376.76386
64.12229746	376.27392
64.262	376.76386
64.4017	378.23368
64.6811	378.23368
64.6811	377.74374
64.8208	377.00883
64.8208	377.2538
64.8208	377.49877
64.96049746	378.47865
65.37959746	380.43841
65.37959746	379.7035
65.37959746	378.72362
65.659	369.16979
65.659	369.16979
65.659	369.16979
65.659	369.16979
64.6811	356.67632
62.86499746	333.64914
61.60769746	319.19591
59.93129746	302.29298
58.95340254	293.964
58.8137	292.49418
57.4167	279.75574
56.2991	268.48712
54.34329746	251.33922
53.08599746	240.31557
51.9684	230.76174
50.4317	216.55348
49.4538	208.46947
47.6377	192.54642
45.8216	177.60325
44.5643	167.55948
42.8879	153.35122
41.4909	142.81751
40.3733	133.99859
38.8366	121.50512
37.719	112.93117
37.0205	109.01165
36.1823	101.66255
34.925	92.84363
33.6677	83.2898
32.27069746	73.73597
30.5943	61.2425
29.05760254	51.68867
27.2415	40.42005
25.8445	32.33604
24.44749949	24.497
22.77109975	14.94317
21.79319949	10.04377
20.39619924	1.22485
18.44040025	-8.81892
17.18310051	-14.20826
15.36700051	-24.497
13.83029975	-31.8461
12.01419975	-40.90999
10.33780025	-47.76915
9.359899746	-52.66855
8.661399746	-56.09813
7.962899746	-59.03777
6.985000254	-65.16202
5.4483	-73.491
4.4704	-78.3904
2.794	-88.43417
1.5367	-97.00812
-0.8382	-112.93117
-2.6543	-124.44476
-4.190999746	-133.99859
-5.588	-142.57254
-6.565900254	-148.45182
-7.962899746	-158.00565
-9.080499746	-164.37487
-10.47749975	-172.21391
-11.59509975	-178.09319
-13.13180051	-187.40205
-15.78610051	-202.34522
-17.32279949	-210.91917
-19.13889949	-220.473
-20.25650025	-226.10731
