"""Mo and Wang, 2000 Test C2-1"""	
7.396	-68.6
-15.712	-76.17
-39.719	-88.62
-63.047	-105.96
-86.605	-123.54
-110.952	-140.14
-93.78	-47.85
-71.191	12.94
-49.764	33.45
-25.907	42.72
-5.338	49.8
18.749	55.66
41.966	64.7
65.813	75.2
88.732	87.89
112.44	99.12
96.036	23.68
78.628	-23.19
55.041	-34.91
31.193	-48.1
7.596	-54.69
-15.762	-62.26
-39.56	-72.02
-63.147	-84.72
-87.045	-94.24
-111.291	-82.03
-93.96	-23.93
-70.382	6.1
-46.645	22.46
-23.017	30.76
0	34.18
