"Umehara and Jirsa, 1982, Spec. CUW"	
4.4364	7.3539
3.3599	3.6769
2.1964	-2.1011
0.11636	-13.132
-1.1782	-22.062
-2.3709	-23.638
-4.1308	-43.073
-4.9599	-54.63
-6.0945	-70.914
-7.4181	-92.972
-8.829	-110.84
-10.066	-126.59
-9.4544	-101.9
-8.3345	-58.304
-7.491	-24.163
-5.9926	-11.556
-4.9891	-3.1517
-3.8981	4.7273
-3.4762	10.506
-2.2254	9.4551
-0.69817	8.4045
0.56726	9.4551
1.76	6.8286
3.2291	9.4551
4.2619	30.466
5.571	47.273
6.9091	66.186
7.9126	80.891
8.9454	95.601
9.5273	102.95
10.066	110.84
9.3236	81.941
8.6982	58.829
8.1455	37.82
7.7092	21.011
6.1963	9.9804
5.1636	4.2022
4.3345	1.5758
3.8255	-5.2526
2.8654	-9.4551
1.6727	-13.132
0.56726	-15.758
-0.42182	-18.384
-1.6873	-22.587
-2.5601	-29.941
-4.3782	-44.649
-5.1636	-53.576
-6.1671	-57.255
-7.1417	-60.933
-7.4473	-63.033
-8.7709	-81.416
-9.6291	-91.398
-9.9055	-96.126
-9.1928	-70.385
-8.4071	-43.598
-7.7963	-22.587
-6.9817	-13.132
-6.3853	-8.4045
-5.4836	-4.7273
-4.8872	-1.5758
-3.9708	2.6264
-3.1709	8.4045
-0.98908	9.9804
0.31999	7.8792
1.4254	7.3539
2.8946	6.8286
3.4473	7.8792
4.5237	21.011
5.4836	33.618
6.9235	51.477
8.5672	70.385
9.7744	87.194
10.226	91.922
9.2946	59.883
8.5964	37.295
8.0582	19.435
7.5491	2.6264
5.8908	0
4.8727	0.52526
3.7236	0.52526
2.2691	0
0.8	0
-0.29091	0
-2.4727	0
-2.7201	0.52526
-3.9273	-16.284
-4.8872	-25.738
-5.9345	-35.719
-6.7927	-44.123
-7.7673	-56.205
-8.6545	-65.137
-9.7599	-78.267
-10.022	-80.366
-8.8872	-42.547
-8.1308	-15.758
-7.4328	9.9804
-5.92	9.9804
-3.9563	8.9298
-1.5709	7.3539
0.58181	7.3539
2.2982	7.3539
4.3637	8.4045
5.4691	19.435
7.4618	42.547
9.018	57.255
10.138	68.286
11.578	86.144
12.276	95.601
11.418	74.064
10.502	50.952
9.8473	33.618
9.2072	17.86
8.2037	-9.9804
7.8692	-17.86
6.1382	-17.86
4.4364	-16.284
2.8946	-16.284
1.1345	-16.284
-0.85819	-13.132
-3.1128	-12.607
-4.8146	-18.91
-5.9637	-25.213
-6.9964	-32.042
-7.8692	-39.396
-8.9454	-50.427
-10.094	-61.983
-11.2	-74.064
-12.058	-84.045
-10.88	-56.205
-10.094	-35.193
-9.0764	-9.9804
-7.9418	17.334
-6.24	13.132
-4.6109	11.556
-2.7346	9.9804
-0.42182	8.4045
1.0764	7.3539
2.6619	6.8286
4.3782	9.4551
5.7455	18.91
7.9855	34.143
9.8618	49.377
11.302	63.033
12.044	69.335
10.865	46.748
9.9926	27.314
9.3236	11.031
8.4945	-7.3539
8	-18.384
6.429	-18.91
4.1308	-17.334
2.8364	-17.86
1.4545	-14.182
0	-15.233
-1.92	-13.657
-3.2291	-12.607
-4.4072	-7.8792
-5.2217	-9.4551
-6.1671	-14.182
-7.1709	-19.435
-7.7818	-21.011
-8.7417	-28.89
-9.6144	-38.345
-10.458	-48.328
-11.2	-56.73
-11.913	-65.661
-10.691	-41.497
-9.7163	-21.536
-8.9309	-5.2526
-8.2326	7.8792
-7.8692	15.233
-6.0074	10.506
-4.189	7.3539
-2.6035	7.8792
-0.9018	6.3033
0.75636	4.7273
2.7054	2.6264
4.2908	1.5758
5.6581	1.5758
7.2728	15.758
8.669	25.213
9.7892	34.668
10.764	42.022
12.218	57.78
10.865	32.567
9.4254	4.7273
8.0582	-19.96
6.4582	-17.334
4.5672	-16.809
2.9817	-15.758
1.5418	-15.233
0.43637	-14.708
-0.78544	-13.657
-1.9927	-12.081
-3.4328	-9.9804
-5.3673	-9.4551
-6.7635	-13.132
-7.5054	-15.758
-8.3345	-18.91
-9.8326	-29.416
-10.603	-37.295
-11.302	-45.174
-11.927	-52.002
-10.633	-28.89
-9.6436	-12.607
-8.1018	11.556
-5.1491	9.9804
-2.8072	8.9298
-0.71272	6.3033
1.1927	3.6769
2.9527	2.1011
4.5672	1.0506
5.9345	0.52526
7.2291	11.556
8.1745	16.284
9.0035	19.435
9.5855	22.587
10.254	25.213
10.836	28.89
11.782	36.244
13.018	48.328
13.658	54.105
14.298	61.458
13.338	43.073
12.291	23.638
11.534	7.3539
10.822	-7.8792
10.356	-18.384
10.109	-23.112
8.6109	-22.587
6.5164	-21.536
4.8435	-23.112
3.4473	-21.011
1.7891	-19.435
0.65453	-18.384
-0.65453	-17.86
-2.1673	-16.809
-3.68	-14.708
-5.1054	-12.081
-6.0074	-12.081
-6.9964	-13.657
-8.6109	-17.334
-9.6873	-21.011
-11.084	-28.365
-12.611	-41.497
-13.571	-48.328
-14.182	-51.477
-12.334	-19.96
-11.127	0
-10.356	13.657
-9.9781	19.96
-8.8727	19.435
-7.7236	14.182
-5.9926	10.506
-4.3782	10.506
-2.7783	11.556
-0.72728	5.778
0.11636	5.2526
