"Watson and Park 89, Specimen 6"	
10.941	202.54
10.523	190.81
9.9652	180.07
9.5471	169.33
9.129	159.55
8.5715	147.51
7.1778	117.88
6.5504	105.18
5.9931	90.85
5.3658	77.173
4.7386	63.17
4.1115	49.493
3.554	36.796
3.0663	25.073
2.23	4.5588
1.8815	-2.9306
1.5331	-14.327
1.0453	-29.632
0.83624	-42.331
0.48781	-50.796
0.13937	-72.289
-0.90592	-83.36
-1.3241	-92.478
-1.8118	-105.5
-2.1603	-116.25
-2.6482	-131.55
-3.6934	-152.07
-4.3901	-164.44
-4.9477	-173.56
-5.2266	-180.4
-6.1323	-195.05
-6.8293	-203.84
-7.3868	-211.98
-9.9652	-240.31
-11.428	-256.27
-11.707	-256.59
-12.056	-249.43
-11.847	-234.77
-10.662	-189.19
-10.383	-174.86
-9.8257	-161.84
-8.9896	-147.83
-8.1534	-132.86
-7.7351	-124.06
-6.1323	-87.27
-5.5052	-75.22
-4.7386	-51.125
-3.6934	-29.632
-2.9964	-16.607
-2.5784	-2.605
-2.0209	9.4431
-1.4634	22.468
-0.27874	47.216
0.13937	70.012
0.69687	85.313
1.1847	98.341
1.8815	110.71
2.9268	124.71
3.8329	137.41
6.8989	183.65
7.526	198.31
8.2926	212.63
9.0592	226.63
9.8257	237.38
10.592	247.15
11.359	257.9
12.195	265.71
13.519	278.73
14.913	287.53
15.958	293.06
17.004	295.02
17.7	294.36
18.328	284.6
18.606	265.06
18.397	251.38
18.118	238.68
17.422	221.1
16.167	197.98
14.077	161.84
11.289	119.18
10.453	106.16
9.4077	87.594
8.5715	71.31
7.7351	55.031
6.8989	39.401
6.2022	24.422
5.2962	8.1407
4.2509	-10.745
2.439	-42.657
1.6725	-58.611
0.83624	-72.614
-1.7422	-119.83
-3.8329	-155.65
-4.8781	-173.89
-5.9931	-190.17
-6.9687	-205.47
-8.014	-218.49
-9.9652	-241.62
-11.359	-255.94
-12.334	-267.01
-13.241	-272.88
-14.495	-280.04
-15.261	-284.92
-16.446	-286.87
-17.422	-284.27
-17.909	-279.39
-18.258	-270.59
-18.467	-261.48
-18.537	-253.01
-18.606	-246.82
-18.606	-240.31
-18.188	-214.58
-18.049	-200.59
-17.422	-188.21
-16.516	-168.67
-15.61	-151.74
-14.146	-129.93
-11.219	-84.339
-9.8953	-66.751
-8.0836	-38.098
-6.6899	-18.886
-4.8781	6.5123
-3.4844	25.725
-2.23	43.634
-1.0453	60.893
0.62718	86.941
1.7422	108.43
2.6482	123.74
4.2509	143.6
5.9931	164.11
7.8049	184.96
9.1986	201.24
10.453	216.22
11.568	229.89
12.474	239.99
13.659	249.76
14.843	257.25
16.307	267.01
17.422	273.53
18.467	276.46
18.606	256.27
18.467	244.55
17.491	214.26
16.794	200.91
15.958	185.61
15.331	172.91
14.286	157.28
12.544	130.58
11.568	117.55
10.244	101.92
9.3381	86.291
8.2926	66.751
6.8989	40.378
5.7142	16.933
3.6236	-8.7919
2.0209	-33.214
0.90592	-48.843
-1.7422	-102.57
-3.0663	-120.81
-3.0663	-120.81
-5.4356	-144.9
-8.6411	-182.67
-10.523	-198.31
-11.428	-207.75
-14.425	-234.45
-15.749	-244.87
-17.491	-254.31
-18.606	-258.22
-18.606	-243.24
-18.537	-228.59
-18.397	-216.54
-18.049	-201.89
-17.631	-190.17
-16.934	-175.51
-15.888	-158.58
-14.982	-143.93
-13.728	-128.3
-11.01	-84.009
-8.5016	-45.912
-7.317	-29.306
-6.0627	-12.374
-5.1567	0
-4.2509	13.676
-2.9268	34.842
-2.1603	47.54
-1.2544	60.568
-0.41811	73.592
2.8572	120.81
5.8537	158.26
7.526	178.44
9.129	195.37
10.523	210.03
12.265	226.31
13.589	237.06
15.47	249.76
17.213	260.17
18.676	268.32
21.045	275.48
22.927	275.48
24.111	273.53
24.739	271.25
25.227	259.85
25.087	252.03
25.017	228.26
24.53	211.33
23.345	183.65
22.16	162.16
20.767	142.63
17.7	107.13
16.028	88.569
14.077	66.426
12.056	42.006
10.105	20.514
8.5715	2.9306
6.8293	-14.979
5.1567	-34.516
1.7422	-80.104
0.13937	-107.45
-1.9512	-129.27
-6.6899	-176.81
-8.9896	-196.35
-10.244	-207.42
-13.937	-236.08
-15.261	-245.52
-17.004	-254.96
-18.955	-261.15
-22.16	-264.73
-23.624	-262.45
-24.808	-256.27
-25.227	-245.2
-25.227	-225.66
-23.833	-186.58
-22.857	-166.07
-21.673	-146.86
-20.279	-122.44
-17.7	-92.154
-15.54	-65.452
-13.031	-38.424
-10.523	-11.723
-7.317	21.491
-5.2266	45.588
-2.5087	76.194
-0.41811	95.41
1.5331	116.25
3.763	136.44
5.9931	154.35
8.2926	172.26
10.174	186.91
12.474	202.86
15.192	222.4
17.352	235.43
19.164	243.57
21.185	250.73
23.345	253.99
24.251	250.4
24.669	243.89
25.087	232.82
25.087	220.77
25.017	200.91
24.53	186.91
24.111	176.49
23.624	161.51
22.369	140.34
21.394	128.3
19.861	109.74
18.606	94.756
17.7	84.339
16.098	66.426
13.798	42.982
10.732	14.327
7.5959	-15.63
6.1323	-32.237
4.5296	-47.865
2.7178	-65.777
0	-93.128
-1.6725	-111.04
-3.6934	-129.6
-6.3414	-150.44
-9.7561	-172.91
-12.822	-192.44
-15.122	-206.45
-17.352	-218.17
-20	-228.92
-22.369	-235.1
-23.972	-238.36
-24.53	-235.75
-25.087	-226.31
-25.366	-211.98
-25.504	-190.49
-24.669	-168.02
-23.484	-147.83
-22.091	-127.64
-20.627	-106.16
-18.467	-81.083
-16.725	-62.521
-13.45	-30.283
-11.359	-6.5123
-8.8501	16.281
-6.1323	44.285
-3.9025	68.708
-1.8118	86.616
0.27874	105.83
6.5504	157.93
11.498	190.49
13.38	203.51
15.749	216.54
17.7	222.73
20.418	226.63
22.996	225.66
24.948	219.14
26.83	202.21
27.945	184.3
29.268	163.14
30.383	136.11
30.94	106.81
31.427	82.057
31.915	52.424
32.055	36.47
32.194	10.745
32.194	-0.32562
