Galeota 1996 Specimen CB1	
2891	
26.06	148.547
26.82	149.3631
27.62	150.4305
28.03	150.556
28.79	151.6234
29.65	152.5651
30.39	152.9418
30.76	153.1302
31.57	154.0092
32.41	154.6998
33.18	155.0137
33.59	155.516
34.01	155.7671
34.81	156.1438
35.67	156.081
36.48	156.5205
37.3	156.3949
38.1	156.7717
38.98	156.3949
39.81	156.8972
40.61	156.96
41.47	156.2694
42.03	156.3322
42.58	157.1483
43.14	156.7717
44.01	156.1438
44.59	155.5788
44.19	151.7489
43.89	148.4214
43.56	145.6589
43.22	142.4569
42.91	139.6944
42.56	136.8691
42.24	133.981
41.88	131.4069
41.6	128.77
41.27	125.8191
40.89	122.6799
40.58	119.8547
40.25	117.1549
39.89	114.518
39.57	111.6927
39.25	108.7419
38.9	106.0422
38.56	103.0285
38.27	100.5172
37.9	97.6919
37.59	95.05498
37.23	92.54362
36.92	89.78112
36.56	86.83027
36.21	84.3817
35.88	81.6192
35.55	79.04506
35.21	76.5337
34.91	73.70842
34.58	71.51098
34.26	68.93683
33.88	66.36269
33.54	63.78854
33.2	61.27718
32.85	58.82861
32.53	56.5056
32.19	54.24538
31.85	51.73402
31.52	49.47379
31.18	47.02522
30.87	44.63942
30.52	42.25363
30.18	40.05619
29.88	37.85875
29.55	35.84966
29.25	33.71501
28.92	31.70592
28.61	29.75962
28.39	27.93888
28.14	26.62042
27.62	23.79514
27.34	22.03718
27.05	20.27923
26.73	18.4585
26.41	16.51219
26.17	15.00538
25.91	13.62413
25.6	11.92896
25.41	11.04998
24.91	8.78976
24.65	7.408512
24.34	6.341184
24.02	4.897152
23.76	3.641472
23.37	2.19744
23.25	1.757952
22.63	-1.192896
22.37	-2.699712
22.08	-3.955392
21.73	-5.587776
21.39	-6.90624
21.08	-8.099136
20.76	-9.668736
20.43	-10.86163
20.14	-12.68237
19.81	-14.25197
19.5	-15.696
19.16	-16.82611
18.49	-19.46304
18.08	-21.15821
17.63	-22.91616
17.23	-25.17638
16.86	-26.3065
16.53	-27.75053
15.84	-30.51302
15.5	-32.01984
15.14	-33.08717
14.8	-34.59398
14.1	-37.04256
13.75	-38.17267
13.39	-39.55392
13.02	-40.4329
12.27	-42.63034
11.92	-43.82323
11.18	-45.95789
10.8	-46.77408
10.09	-48.97152
9.689999	-50.10163
8.97	-52.04794
8.58	-52.73856
7.92	-55.12435
7.5	-55.87776
6.74	-57.51014
6.39	-59.01696
5.99	-59.58202
5.22	-61.2144
4.82	-62.15616
4.44	-63.03514
3.66	-64.7303
3.25	-65.35815
2.47	-67.30445
2.1	-67.99507
1.37	-69.37632
0.94	-70.12973
0.58	-71.32262
-0.21	-72.76665
-0.55	-74.08512
-1.35	-75.52915
-1.73	-76.21977
-2.5	-77.85216
-2.89	-78.66835
-3.27	-79.61012
-4	-81.36806
-4.39	-82.05869
-5.1	-84.3817
-5.48	-85.32346
-6.21	-87.39532
-6.59	-87.96038
-7.31	-90.09504
-7.67	-91.09959
-8.38	-92.92032
-8.74	-94.05043
-9.47	-95.93395
-9.82	-97.06406
-10.52	-99.19872
-10.88	-99.70099
-11.61	-101.7729
-11.98	-102.8402
-12.73	-104.6609
-13.11	-105.3516
-13.8	-107.549
-14.16	-108.3024
-14.92	-110.1859
-15.25	-111.1905
-15.98	-112.5717
-16.35	-113.8902
-16.69	-114.8947
-17.44	-116.4643
-17.83	-117.0922
-18.55	-119.2268
-18.96	-119.478
-19.72	-120.8592
-20.07	-121.8637
-20.6	-122.4916
-21.57	-124.4379
-21.94	-125.568
-22.76	-126.7609
-23.14	-127.2004
-23.54	-127.9538
-24.27	-129.0211
-24.71	-129.7745
-25.11	-130.214
-25.89	-131.1558
-26.68	-132.2859
-27.11	-132.9765
-27.9	-133.5416
-28.74	-134.3578
-29.09	-135.0484
-29.49	-135.739
-30.3	-136.3669
-31.12	-137.0575
-31.97	-137.497
-32.38	-138.2504
-32.82	-138.1248
-33.55	-138.8782
-34.52	-139.3177
-35.34	-139.6316
-36.13	-140.8245
-36.56	-140.6362
-37.35	-140.5106
-37.87	-141.0129
-38.73	-141.4523
-39.54	-141.0129
-40.26	-142.0174
-40.88	-141.6407
-41.79	-141.6407
-42.66	-142.2685
-43.4	-142.2058
-44.36	-141.8918
-45.18	-141.5151
-46.05	-142.3941
-46.99	-141.8918
-47.84	-141.264
-48.82	-140.8873
-49.64	-141.4523
-50.14	-140.6989
-50.87	-140.3222
-51.47	-140.3222
-52.3	-139.82
-52.8	-140.0083
-53.35	-139.1293
-54.16	-139.506
-54.7	-138.8154
-55.52	-138.1248
-56.14	-137.9364
-57.07	-137.1203
-57.93	-136.4924
-58.5	-136.3669
-59	-135.9274
-59.61	-135.1112
-59.75	-134.3578
-59.64	-130.9674
-59.09	-127.5771
-58.76	-125.568
-58.48	-123.4333
-58.21	-121.6754
-57.86	-120.1058
-57.45	-118.2223
-57.24	-116.1504
-56.62	-111.9439
-56.14	-109.3697
-55.63	-107.1095
-55.48	-105.3516
-55.13	-103.782
-54.82	-101.6473
-54.48	-99.82656
-54.15	-98.19418
-53.77	-96.12231
-53.54	-94.48992
-53	-90.78567
-52.69	-88.96493
-52.36	-87.01862
-52.15	-85.38624
-51.88	-83.75385
-51.4	-81.9959
-51.16	-80.17517
-50.83	-78.29165
-50.6	-76.5337
-50.33	-74.83853
-49.96	-73.08057
-49.64	-71.13427
-49.42	-69.69024
-49.07	-67.80672
-48.81	-66.17434
-48.48	-64.54195
-48.22	-62.59565
-47.76	-61.02605
-47.57	-59.20531
-47.24	-57.51014
-46.92	-56.19168
-46.52	-54.49651
-46.28	-52.73856
-45.62	-49.85049
-45.31	-48.15533
-44.99	-46.7113
-44.7	-45.20448
-44.3	-43.76045
-43.97	-42.25363
-43.44	-40.74681
-43.26	-39.55392
-42.97	-38.17267
-42.67	-36.60307
-42.36	-35.09626
-42.07	-33.65223
-41.68	-32.33376
-41.3	-30.76416
-41.11	-29.32013
-40.64	-27.56218
-40.31	-26.3065
-40.12	-24.61133
-39.72	-23.1673
-39.36	-21.40934
-39.2	-19.96531
-38.75	-18.27014
-38.5	-16.8889
-38.09	-15.44486
-37.86	-13.87526
-37.54	-12.49402
-37.2	-10.92442
-36.86	-9.543168
-36.58	-7.973568
-36.25	-6.529536
-35.95	-5.085504
-35.63	-3.515904
-35.32	-2.009088
-35.04	-0.62784
-34.65	0.62784
-34.48	1.632384
-33.97	4.206528
-33.64	5.587776
-33.32	7.094592
-33.01	8.287488
-32.37	10.35936
-32.1	11.67782
-31.79	13.05907
-31.51	13.62413
-31.04	15.88435
-30.93	16.19827
-30.53	18.58406
-30.29	19.40026
-29.85	21.47213
