"Wight and Soze, 1973, Spec. WS147E"	
-29.667	-4.6335
-28.4	-1.1583
-26.533	2.4325
-24.467	5.0965
-21.067	7.7609
-18.467	9.3826
-14.867	12.163
-13.4	13.205
-11.667	15.406
-9.4666	18.997
-7.9334	21.313
-5.5334	24.557
-2.6667	28.147
-0.066667	32.202
2.3333	36.14
4.4	39.383
6.8666	43.322
9.0668	46.797
11.6	50.734
14.267	55.137
16.867	59.652
19.933	64.403
23	69.037
25.4	73.436
27.468	77.03
30.201	81.545
32.733	84.908
35.268	88.729
37.6	92.781
39.601	96.028
44.933	104.02
46.467	106.33
47.734	107.96
48.999	109.58
50.267	111.2
50.333	105.64
49.466	97.994
49.134	92.896
48.4	86.527
47.201	79.464
45.4	71.586
44	65.448
42.601	58.611
41.399	51.895
40.066	45.752
38.6	39.152
36.934	32.665
35.466	26.642
33.599	19.807
32.134	14.132
30.665	8.6874
28.6	3.0117
26.8	-1.5058
25	-5.0965
22.667	-8.9191
20.733	-10.657
18.867	-12.163
16.933	-14.479
15.533	-16.333
12.333	-20.503
10.933	-22.24
9.1333	-24.325
7.1333	-27.221
5.2667	-30.001
2.9334	-33.592
-0.66667	-39.267
-2.3333	-42.163
-4.2667	-45.058
-6.4	-48.301
-13.733	-59.305
-15.467	-61.854
-17.133	-64.865
-18.467	-67.298
-20.067	-69.847
-23.733	-75.291
-25.799	-78.765
-28.4	-82.475
-30.734	-85.602
-33	-88.844
-35.733	-92.087
-38.4	-94.867
-40.8	-97.184
-43.066	-99.386
-45.466	-101.35
-47.468	-103.09
-48.732	-104.02
-49.799	-104.48
-50.135	-102.28
-50	-99.386
-49.667	-93.826
-48.666	-86.411
-48.133	-80.736
-47.666	-76.684
-47.066	-72.511
-46.2	-66.72
-44.867	-59.536
-43.533	-53.514
-41.999	-46.45
-40.734	-39.963
-38.732	-33.939
-37.267	-28.379
-35.799	-22.819
-34.267	-18.07
-32.733	-12.857
-31.534	-8.34
-30.201	-4.17
-29.334	-1.8533
-28.001	0.81083
-26.134	3.2433
-23.2	5.4444
-21	6.8344
-18.6	8.34
-16	10.541
-13.4	13.437
-11.267	14.943
-7.5334	19.46
-5.3332	21.777
-3.2667	24.441
-1	28.032
2.3333	32.781
5	36.256
6.9334	39.847
9.4666	43.322
11.8	46.45
15.667	52.357
19.533	57.917
22.733	63.593
25.2	68.344
27.468	71.817
29.868	75.638
32.2	79.464
35.268	85.024
37.399	88.613
39.266	91.509
40.734	93.942
44.6	100.66
46.266	103.32
48.001	105.52
49.2	106.8
50.066	107.49
50.333	106.8
49.068	93.826
48.466	88.035
47.666	80.504
46.2	72.28
44.666	64.981
43	57.339
40.932	47.838
39.134	40.194
37.132	31.391
33.866	18.302
32.2	12.973
30.599	7.4135
28.666	1.6217
26.8	-3.1275
24.933	-6.95
22.933	-9.3826
21.667	-10.657
17.333	-14.247
14.933	-17.027
11.333	-21.197
8.5334	-24.673
6.1333	-28.611
3.5999	-33.013
0.26667	-38.457
-1.8667	-42.163
-4.8001	-46.219
-6.9334	-49.23
-9.8001	-54.328
-11.933	-58.264
-15.733	-64.056
-18.6	-67.414
-20.667	-69.847
-23.4	-72.858
-26.599	-77.377
-29.266	-80.736
-33.332	-86.18
-35.601	-89.654
-36.866	-91.74
-38.268	-93.132
-43.332	-98.808
-44.267	-99.502
-46.266	-101.24
-47.866	-102.28
-49.601	-102.86
-50.135	-103.32
-50.267	-102.4
-50.267	-99.617
-49.868	-93.595
-49.2	-86.296
-48.466	-80.736
-47.468	-73.672
-46.467	-68.108
-45.334	-62.548
-43.599	-54.092
-42.067	-47.954
-40.533	-42.395
-38.666	-35.097
-35.535	-23.63
-34.267	-19.344
-33.2	-15.637
-31.933	-11.699
-30.734	-8.34
-29.868	-5.9074
-28.666	-2.5483
-27.8	0
