"Aboutaha, Engelhardt, Jirsa and Kreger, Test SC9"	
-4.13320992	-215.8485408
-3.41656416	-146.8609504
-2.39962944	-77.7016672
-1.82782464	-44.26320448
-1.02998016	-3.83168512
-0.88111584	2.230133792
0.230526336	33.64061987
1.09569504	68.8746112
1.625327712	97.73003264
2.28575616	140.4210026
2.894649024	182.6889677
3.302837184	216.273903
3.70319808	257.5710032
4.17576	301.9955366
4.587105888	342.974071
4.958559552	381.7357667
5.289999072	420.0307782
5.500311072	442.4857946
5.643993792	456.6814976
5.643530496	447.297552
5.624693856	433.0022582
5.614879296	420.9800704
5.57674272	412.7659043
5.031357984	328.9483261
4.904402688	312.3639136
4.23806112	235.0544266
3.778812864	190.9044682
3.405883968	155.6721715
2.956974528	118.4316918
2.489460096	82.96391808
1.942965888	48.78615328
1.091757024	6.978671808
-0.73066656	-48.5085536
-1.4374368	-84.376336
-1.8117312	-106.4922368
-2.21455488	-131.8000224
-2.82647136	-171.0473952
-3.3875472	-211.6465152
-4.10577792	-276.367584
-4.54005696	-321.172288
-4.89642912	-361.1584736
-5.31656544	-407.5649024
-5.70012576	-450.368896
-5.7296304	-446.072128
-5.65416192	-417.7935232
-5.49298368	-386.8243232
-5.35119072	-363.2494784
-4.92178848	-307.5249344
-4.468368	-251.0838176
-3.79561344	-184.7979424
-3.19759584	-133.3416992
-2.20406976	-68.2594528
-1.2277344	-15.02810176
-1.04070912	-5.905832
-1.0357104	-7.92437888
-0.77467968	3.881960864
0.083771232	27.14884394
1.290450048	73.14117728
1.852037952	106.3901997
2.435742144	142.7861821
3.053986272	187.1455523
3.528535488	225.442343
3.971629344	266.5281187
4.421757984	311.0346733
4.89746544	360.0446944
5.522927232	429.7053117
5.824740192	461.05744
6.09094032	485.4934176
6.212628672	494.8773632
6.110484096	420.922024
5.568744768	351.487543
4.707770112	246.9259162
4.126370208	193.9888448
3.53939856	143.3563712
2.604832992	76.41583936
1.923824448	36.06980611
0.594555072	-9.9083648
-0.68750688	-54.169968
-1.60617408	-99.5226656
-2.28453696	-141.4744224
-2.93595552	-184.0809248
-3.44814144	-221.5953568
-4.01872704	-269.3971232
-4.49470272	-316.6513408
-4.90764576	-360.7145632
-5.28876768	-402.815328
-5.7479184	-451.547616
-6.1837824	-492.144512
-6.29082816	-475.944896
-6.14708448	-430.27728
-5.80180704	-379.77024
-5.59088544	-353.1729792
-5.4059328	-329.0061056
-5.18269728	-299.9402048
-4.82656896	-261.3293408
-4.27975776	-206.5775744
-3.6502848	-151.6118592
-2.66102592	-84.2286624
-1.93633344	-43.03778048
-1.33648704	-13.86623968
-0.9400032	3.85390288
-0.51816	15.5992383
1.0006584	62.91771616
1.675192992	94.30729664
2.196827712	124.0279875
2.661989088	152.7148298
3.19802256	189.0681558
3.709391616	228.801873
4.065861312	258.8575872
4.551261408	303.3676557
4.978981152	344.5804662
5.500493952	397.662231
5.966191776	446.4582144
6.289999104	482.9629504
6.483486144	498.3565888
6.483132576	485.9404416
6.02242128	397.9560659
5.888041056	382.1590384
5.114409888	283.300815
4.661391744	235.308185
3.923032032	170.2675274
3.605918112	144.2224858
2.175101568	47.09618016
1.552809696	17.35752381
-0.14313408	-29.70894816
-0.81759552	-57.2537664
-1.4349984	-87.5028352
-2.12945472	-124.9340896
-2.98289472	-177.7647648
-3.6496752	-225.9245952
-4.19612064	-269.735616
-4.72720416	-318.3851712
-5.19793728	-368.0248512
-5.72633856	-425.3137568
-6.21694464	-475.75808
-6.40287264	-496.459072
-6.4166496	-492.420288
-6.4032384	-487.371808
-6.35117856	-460.839488
-6.10368096	-418.0448352
-5.8497216	-379.7061888
-5.6930544	-360.9903392
-5.43482784	-326.5819456
-4.56480672	-231.6091392
-3.87376416	-170.0119008
-3.26611488	-122.8008288
-2.38634016	-68.1535904
-1.60763712	-26.92080832
-0.96085152	0.363552832
-0.94646496	-0.92932064
-0.87331296	3.752893248
-0.18385536	21.87468131
0.9512808	57.2566576
1.783579872	96.46279744
2.386498656	131.2734682
2.967435264	167.311609
3.583436064	211.0368723
4.164348288	257.3604794
4.778764128	312.0708794
5.573243616	392.1070794
6.20719104	457.2116992
6.567915744	497.617776
7.565587104	578.0371712
7.576145376	550.9777632
7.566586848	512.2579232
7.4511408	497.7076256
7.032430944	439.3609411
6.355116576	350.6647075
5.544360768	261.7134701
5.04120912	216.7382298
4.606893504	178.7811328
4.102169088	140.1025702
3.576620736	103.1159379
3.164226336	76.77474848
2.653149888	48.30043168
1.695151296	5.009942528
0.450530976	-25.58987776
-0.4255008	-57.9512128
-1.39891008	-101.3178784
-2.18248992	-141.9392384
-2.93863776	-186.4659424
-4.1306496	-271.6353568
-4.85924352	-339.5096128
-5.73670176	-427.8010784
-6.3502032	-487.56752
-6.84190656	-528.947264
-6.94017408	-535.49472
-6.74351712	-500.061952
-6.62952192	-455.372896
-6.4611504	-427.08584
-6.2764416	-399.4143872
-5.90056224	-352.1606144
-5.49164256	-301.6762592
-4.9846992	-249.245904
-4.16271456	-178.3776992
-3.50971104	-130.3628736
-2.5737312	-69.2104352
-1.9025616	-33.638
-1.33100064	-9.13405696
