"Aboutaha, Engelhardt, Jirsa and Kreger, Test SC9"	
3.525353376	-12.197528
-2.00960736	-29.34995008
-7.4267568	-58.2474496
-13.41753984	-116.4206176
-18.86053632	-151.9316704
-22.62627936	-160.0003424
-22.69504224	-153.5569696
-21.9004896	-106.0087392
-20.99572128	-79.8776288
-20.1771504	-64.0138368
-17.96418048	-40.69355104
-14.73512928	-22.14676992
-10.87489824	-6.16621792
-6.86750976	4.669835104
-2.03521056	15.74410522
5.151497952	33.13379251
15.21125126	70.73400864
22.31861424	109.1369286
26.31203069	128.5480896
25.46964883	91.41391712
22.50890698	54.55334112
19.33969411	36.0700641
14.87448384	20.2470647
11.15253446	10.32063213
4.696687584	-3.96210048
-3.1321248	-21.38633984
-8.9318592	-40.12305056
-15.62916864	-72.9076128
-19.17423648	-96.12128
-23.80683072	-117.140304
-21.588984	-55.0577888
-16.56856224	-23.393144
-12.49155744	-7.99612512
-8.63108256	1.92905312
-3.24965568	13.52950829
3.908499168	28.29302966
