Galeota 1996 Specimen AB4	
-18.63	-189.4262
-18.84	-190.5519
-19.06	-191.7438
-19.29	-192.8695
-19.69	-194.238
-19.97	-195.5182
-20.49	-196.4673
-20.73	-197.6813
-21.06	-198.9173
-21.39	-200.1093
-21.89	-197.7917
-22.62	-196.9308
-22.69	-195.761
-22.62	-194.1718
-22.5	-192.8033
-22.38	-191.4127
-22.25	-190.1546
-22.15	-188.8082
-22.03	-187.4617
-21.92	-186.2257
-21.8	-184.9675
-21.68	-183.6211
-21.56	-182.4733
-21.43	-181.1711
-21.31	-179.9571
-21.2	-178.6989
-21.07	-177.3526
-20.94	-175.9841
-20.8	-174.5714
-20.67	-173.2029
-20.54	-171.8123
-20.38	-170.4218
-20.27	-169.0533
-20.12	-167.7068
-19.99	-166.3383
-19.86	-164.9919
-19.72	-163.6676
-19.58	-162.3432
-19.44	-160.9747
-19.31	-159.6284
-19.14	-157.9729
-18.97	-156.3174
-18.8	-154.7061
-18.69	-153.5804
-18.51	-151.9471
-18.4	-150.8434
-18.29	-149.7177
-18.17	-148.6142
-18	-146.9587
-17.83	-145.3695
-17.72	-144.2438
-17.54	-142.5883
-17.43	-141.4626
-17.26	-139.8293
-17.07	-138.2842
-16.9	-136.5847
-16.74	-134.9733
-16.62	-133.8697
-16.45	-132.2584
-16.28	-130.7133
-16.17	-129.5876
-15.99	-128.0205
-15.81	-126.4092
-15.64	-124.8642
-15.47	-123.2529
-15.35	-122.1492
-15.22	-121.0014
-15.1	-119.7875
-14.97	-118.6397
-14.84	-117.4698
-14.72	-116.3221
-14.6	-115.1743
-14.46	-113.9603
-14.28	-112.1724
-14.16	-110.9806
-13.97	-109.2589
-13.77	-107.5593
-13.64	-106.4336
-13.52	-105.2417
-13.33	-103.5863
-13.2	-102.3502
-13.07	-101.2245
-12.95	-100.0988
-12.76	-98.44335
-12.63	-97.2956
-12.49	-96.03745
-12.34	-94.691
-12.2	-93.45495
-12.05	-92.1306
-11.9	-90.80625
-11.74	-89.37155
-11.58	-88.02515
-11.42	-86.6787
-11.26	-85.26605
-11.11	-83.8976
-10.94	-82.46285
-10.79	-81.2268
-10.64	-79.83625
-10.48	-78.60015
-10.32	-77.31995
-10.16	-76.12805
-9.99	-74.93615
-9.83	-73.63385
-9.68	-72.26535
-9.52	-70.8527
-9.37	-69.418
-9.2	-67.895
-9.04	-66.26165
-8.85	-64.56205
-8.67	-62.8404
-8.48	-60.9863
-8.28	-59.2426
