"Sugano 1996, No.UC20H"	
944	
-5.537439474	-407
-5.780477908	-407.75
-6.086711154	-407.75
-5.967214722	-378
-5.965189366	-377
-5.692983691	-352.25
-5.244987493	-314.5
-4.839936613	-281.5
-4.275308627	-235.25
-3.834227783	-194.25
-3.314174919	-149.5
-2.749579217	-102.25
-2.317430486	-67.75
-1.849645416	-31.25
-1.460435127	-3.5
-1.242138155	10.5
-1.037206837	26.75
-0.515160225	65.25
-0.05184	97.25
0.375840087	126.5
0.803115853	154.75
1.325163831	185.25
1.739078658	212.5
2.135176023	233.5
2.564892775	257.75
2.84637796	273.5
3.224260174	294.25
3.739451071	313.5
3.971533112	321.75
4.423552476	341.75
5.231620682	365
5.841238038	372.75
6.007721892	374
5.845693789	346.5
5.479110736	314.25
5.067169149	281.25
4.549519997	240.25
3.964647576	193.25
3.305264437	141.75
2.686396912	95.25
2.137606078	54.5
1.642687297	19.75
1.311798716	-1.5
0.870751087	-32.75
0.267705032	-75.5
0	-93.5
-0.443070143	-123.5
-0.796635832	-146.25
-1.215002952	-173.5
-1.669417659	-199.75
-2.02258362	-221.5
-2.432453691	-246
-2.812356615	-267.5
-3.22223507	-288.75
-3.627258555	-305
-4.043223797	-324
-4.468511864	-342.5
-4.855733446	-357.5
-5.301290224	-371
-5.665844369	-374.75
-6.037292187	-379.5
-5.890656434	-352.25
-5.479110736	-316.25
-5.091877297	-283.75
-4.48876387	-234.75
-3.824912108	-180.75
-3.18375812	-130.25
-2.571777999	-84.5
-1.835875185	-31.75
-1.392799448	-2.5
-0.95418143	25
-0.436590137	60.5
-0.02268	87
0.796635832	137.25
1.637827232	184.5
2.349021336	224.75
3.190643466	269.25
3.964647576	299.25
4.493219314	322.25
4.905149258	336.5
5.312631801	346.25
5.647616489	354.25
5.933593844	360
6.426571856	369.5
6.919160196	376.75
7.315349303	378
7.684406808	374.25
8.136931647	374
8.037674598	349.5
7.679950509	321.5
7.270382496	293
6.707701726	254
5.920226526	201.25
5.202051709	150.5
4.421527281	99.25
3.636169135	51.75
3.109639496	21
2.673031438	-2.75
1.932671883	-46.5
1.230798069	-86
0.492885197	-125.75
-0.027135	-152.75
