"""Mo and Wang, 2000 Test C1-2"""	
-48.7485	-259.03
-42.937	-177
-31.7675	-85.45
-24.792	-7.32
-15.9415	35.16
-5.081	70.07
5.42	105.47
16.345	150.63
27.0765	194.09
38.1015	229.74
49.0975	254.64
42.503	175.78
31.7925	88.38
24.7865	10.99
15.9415	-25.63
5.081	-62.74
-5.42	-94.97
-16.345	-131.59
-27.0765	-177.25
-38.1015	-219.24
-49.0975	-252.93
-42.503	-173.1
-31.7925	-83.74
-24.7865	-6.84
-7.499	35.64
-16.7545	35.64
-4.667	67.87
6.6825	109.13
19.0795	158.94
31.272	204.1
42.831	239.26
55.4885	259.28
48.165	171.63
36.252	77.64
24.3795	-0.73
16.7545	-38.33
4.667	-73.97
-6.6825	-104.98
-19.0795	-144.53
-31.272	-190.67
-42.831	-232.42
-55.4885	-258.3
-48.165	-169.19
-36.252	-72.51
-24.3795	3.42
-17.2935	46.87
-5.3255	80.57
6.717	113.28
18.536	155.52
30.848	198
43.44	230.71
55.633	252.69
48.5345	167.24
36.0425	74.71
24.215	-0.98
17.2935	-37.35
5.3255	-74.22
-6.717	-104.98
-18.536	-139.89
-30.848	-183.11
-43.44	-222.17
-55.633	-251.71
-48.5345	-165.28
-36.0425	-69.82
-24.215	4.64
-8.342	46.87
-18.5655	46.87
-4.9815	77.15
7.8545	116.7
20.7305	162.84
35.068	205.57
48.683	237.3
62.0445	256.1
54.7465	162.84
42.438	64.45
33.5625	-13.18
18.5655	-41.99
4.9815	-83.5
-7.8545	-113.53
-20.7305	-150.15
-35.068	-193.6
-48.683	-231.93
-62.0445	-255.37
-54.7465	-160.64
-42.438	-59.33
-33.5625	17.82
-19.2745	53.71
-5.8945	89.36
8.0935	118.65
21.4435	159.67
35.213	199.22
48.254	230.71
62.5185	250.49
54.6515	158.94
42.037	62.26
33.4075	-13.67
19.2745	-44.92
5.8945	-83.74
-8.0935	-112.79
-21.4435	-146.48
-35.213	-186.77
-48.254	-222.9
-62.5185	-249.02
-54.6515	-156.01
-42.037	-57.13
-33.4075	18.31
-9.515	54.44
-20.502	54.44
-4.642	84.96
9.102	122.8
23.894	165.53
38.835	206.3
53.5475	235.6
68.569	252.69
60.0135	154.05
44.948	51.51
33.6815	-24.41
20.502	-55.66
4.642	-91.31
-9.102	-120.36
-23.894	-154.79
-38.835	-195.56
-53.5475	-230.47
-68.569	-252.69
-60.0135	-152.34
-44.948	-47.12
-33.6815	29.54
-20.761	60.79
-5.8945	97.17
8.753	125.49
24.128	163.57
39.005	200.68
53.9215	229.25
68.9235	247.07
59.6845	150.63
44.8435	50.05
33.422	-24.17
20.761	-54.2
5.8945	-91.06
-8.753	-119.63
-24.128	-152.1
-39.005	-189.94
-53.9215	-222.66
-68.9235	-246.58
-59.6845	-147.95
-44.8435	-44.68
-33.422	30.27
-10.378	59.57
-25.89	59.57
-8.918	91.55
2.252	113.77
18.6555	148.19
34.7695	189.94
51.5815	221.92
68.205	242.68
74.0535	207.76
56.897	83.25
46.9175	-3.42
25.89	-43.7
8.918	-83.5
-2.252	-113.28
-18.6555	-142.58
-34.7695	-179.44
-51.5815	-214.84
-68.205	-240.97
-74.0535	-207.76
-56.897	-80.08
-46.9175	8.54
-30.619	53.22
-14.236	89.84
2.1325	118.16
18.5555	147.71
34.984	185.3
51.7165	216.31
68.33	236.57
73.719	202.64
57.1415	80.57
46.7435	-4.39
30.619	-37.35
14.236	-82.76
-2.1325	-112.79
-18.5555	-140.62
-34.984	-175.29
-51.7165	-208.74
-68.33	-234.62
-73.719	-203.12
-57.1415	-77.88
-46.7435	9.28
-14.7035	52.25
-27.342	52.25
-5.386	97.66
11.022	132.57
29.062	169.92
46.4485	205.08
64.0845	229.74
82.8235	243.9
71.669	135.5
57.869	28.08
42.0185	-26.37
27.342	-70.31
5.386	-104.25
-11.022	-130.86
-29.062	-162.6
-46.4485	-197.51
-64.0845	-226.07
-82.8235	-244.87
-71.669	-133.54
-57.869	-23.19
-42.0185	36.62
-24.4935	78.12
-6.9675	109.37
10.823	134.28
29.207	167.24
46.718	199.95
64.468	223.88
82.7385	237.3
71.4645	130.86
58.3785	25.63
42.2485	-35.89
24.4935	-70.31
6.9675	-103.76
-10.823	-129.39
-29.207	-158.94
-46.718	-191.89
-64.468	-218.75
-82.7385	-235.35
-71.4645	-126.46
-58.3785	-18.55
-42.2485	39.06
-11.76	78.61
-25.1965	78.61
-5.735	101.07
12.24	135.5
31.6915	169.68
50.724	201.9
69.8265	224.61
89.448	236.33
77.3655	124.51
58.1545	16.11
44.982	-32.96
25.1965	-74.95
5.735	-105.71
-12.24	-128.17
-31.6915	-158.94
-50.724	-191.41
-69.8265	-216.31
-89.448	-228.76
-77.3655	-114.75
-58.1545	-6.59
-44.982	41.75
-25.7005	83.74
-6.917	108.89
12.1905	130.37
31.7765	158.94
51.0085	188.48
69.9415	211.43
89.229	224.61
77.166	115.72
58.304	12.21
44.812	-28.32
25.7005	-70.07
6.917	-95.46
-12.1905	-116.46
-31.7765	-145.02
-51.0085	-176.51
-69.9415	-201.66
-89.229	-215.58
-77.166	-105.47
-58.304	-3.42
-44.812	48.1
-12.458	80.08
-26.608	80.08
-5.5255	94.97
13.248	123.78
34.281	151.37
54.915	178.47
75.659	198.73
96.573	209.96
84.067	99.12
67.993	0
48.6195	-42.48
26.608	-71.04
5.5255	-90.58
-13.248	-106.69
-34.281	-132.81
-54.915	-162.6
-75.659	-185.79
-96.573	-194.09
-84.067	-82.03
-67.993	10.74
-48.6195	52.49
-27.526	75.44
-6.6875	90.09
13.5875	108.64
34.426	131.35
56.068	153.08
76.468	166.99
97.5665	171.39
84.2015	71.53
67.089	-7.81
47.595	-38.82
27.526	-58.35
6.6875	-68.85
-13.5875	-80.81
-34.426	-100.83
-56.068	-124.51
-76.468	-135.99
-97.5665	-146
-84.2015	-53.47
-67.089	14.65
-47.595	41.75
-13.1515	53.71
-25.0995	53.71
-2.3055	59.08
15.065	81.3
37.7295	100.34
60.1745	108.89
82.066	101.81
105.0455	93.75
89.3555	37.6
67.953	-1.46
44.8195	-22.46
25.0995	-31.49
2.3055	-42.24
-15.065	-53.96
-37.7295	-71.53
-60.1745	-90.58
-82.066	-106.2
-105.0455	-117.92
-89.3555	-31.25
-67.953	20.26
-44.8195	34.91
-23.267	39.06
-2.288	43.46
18.1595	54.69
37.984	65.67
60.4345	72.51
82.316	76.66
105.0505	76.42
90.019	26.86
67.2445	-2.93
45.363	-14.89
23.267	-19.04
2.288	-26.12
-18.1595	-38.33
-37.984	-51.51
-60.4345	-63.23
-82.316	-80.32
-105.0505	-92.29
-90.019	-17.33
-67.2445	17.58
-45.363	28.32
-11.685	32.71
