Galeota 1996 Specimen BA1	
-1.18	-33.66056
-1.28	-35.42636
-1.4	-37.0818
-1.5	-38.86967
-1.62	-40.70169
-1.73	-42.40127
-1.81	-44.05671
-1.9	-45.49142
-2.02	-46.88199
-2.11	-48.29463
-2.19	-49.66312
-2.29	-51.09785
-2.36	-52.46635
-2.47	-53.90105
-2.54	-55.1592
-2.64	-56.6822
-2.73	-58.24935
-2.86	-59.4633
-2.94	-60.63315
-3.02	-61.8913
-3.11	-63.12735
-3.2	-64.2972
-3.31	-65.53325
-3.4	-66.74725
-3.48	-67.96125
-3.57	-69.15315
-3.63	-70.34505
-3.76	-71.53695
-3.87	-72.68475
-3.97	-73.8325
-4.05	-74.9803
-4.21	-76.6357
-4.36	-78.1146
-4.52	-79.5493
-4.69	-81.0502
-4.84	-82.5291
-5.01	-83.8534
-5.18	-85.13365
-5.31	-86.48005
-5.51	-87.7382
-5.65	-88.9963
-5.83	-90.2986
-6	-91.5126
-6.15	-92.7045
-6.36	-93.9185
-6.51	-95.08835
-6.67	-96.3906
-6.84	-97.62665
-7.06	-98.7965
-7.28	-100.3195
-7.48	-101.688
-7.68	-102.8137
-7.88	-103.9394
-8.11	-105.2859
-8.32	-106.6543
-8.55	-108.0007
-8.8	-109.2368
-9.06	-110.5832
-9.26	-111.7751
-9.49	-113.0112
-9.77	-114.2693
-9.98	-115.4833
-10.23	-116.6752
-10.51	-117.8451
-10.74	-119.037
-11.06	-120.4938
-11.37	-121.8402
-11.59	-122.988
-11.91	-124.2682
-12.17	-125.3718
-12.45	-126.6741
-12.79	-127.7998
-13.1	-128.9917
-13.41	-130.1174
-13.77	-131.4196
-14.16	-132.722
-14.71	-132.7881
-15.03	-133.8918
-15.5	-135.0175
-16.03	-135.3486
-16.55	-135.8562
-17.06	-136.386
-17.61	-136.8716
-19.4	-115.4392
-19.6	-112.7243
-19.73	-111.2454
-19.82	-109.9652
-19.9	-108.8395
-19.89	-107.6476
-19.74	-106.4336
-19.64	-105.1755
-19.48	-103.9174
-19.34	-102.6813
-19.19	-101.5115
-19.03	-100.2974
-18.85	-99.1276
-18.61	-97.4501
-18.48	-96.3023
-18.35	-95.1987
-18.19	-94.02885
-18.03	-92.859
-17.88	-91.68915
-17.71	-90.56345
-17.57	-89.37155
-17.43	-88.24585
-17.23	-87.12015
-17.09	-85.9724
-16.94	-84.86875
-16.78	-83.721
-16.6	-82.5953
-16.48	-81.44755
-16.27	-79.9466
-16.14	-78.8209
-15.92	-77.3862
-15.75	-76.2384
-15.54	-74.8037
-15.36	-73.2807
-15.19	-72.1771
-14.99	-70.8748
-14.76	-69.3518
-14.57	-67.8067
-14.35	-66.26165
-14.15	-64.71655
-13.92	-63.2377
-13.71	-61.69265
-13.52	-60.2138
-13.29	-58.7349
-13.07	-57.16775
-12.85	-55.73305
-12.63	-54.2763
-12.43	-52.70915
-12.18	-51.09785
-12.02	-49.97214
-11.8	-48.40499
-11.63	-47.2793
-11.36	-45.75629
-11.23	-44.6306
-11.01	-43.08552
-10.75	-41.60667
-10.53	-40.10573
-10.27	-38.51651
-10.04	-36.92729
-9.81	-35.47051
-9.55	-34.03579
-9.37	-32.93217
-9.15	-31.49746
-8.9	-30.10689
-8.63	-28.69425
-8.38	-27.34783
-8.11	-26.02348
-7.88	-24.54462
-7.65	-22.88918
-7.44	-21.36618
-7.2	-19.79903
-6.96	-18.36432
-6.75	-16.7751
-6.52	-15.34039
-6.32	-13.79531
-6.1	-12.38267
-5.9	-10.94796
-5.68	-9.380815
-5.49	-7.9461
-5.27	-6.401025
-5.08	-4.811805
-4.9	-3.421237
-4.74	-1.94238
-4.58	-0.44145
-4.42	0.927045
-4.25	2.03067
-4.13	3.156368
-4	4.67937
-3.86	5.981645
-3.76	7.41636
-3.61	8.829
-3.47	10.26371
-3.32	11.67636
-3.21	13.0007
-3.02	14.63407
-2.82	15.75976
-2.73	17.12826
-2.62	18.58504
-2.52	19.68867
-2.44	21.05717
-2.31	22.35944
-2.2	23.77209
-2.06	25.14058
-1.96	26.42078
-1.81	27.67892
-1.74	28.78254
-1.56	30.59249
-1.47	32.07134
-1.3	33.57227
-1.21	35.05113
-1.06	36.61828
-0.92	38.33993
-0.72	40.10573
-0.58	41.9819
-0.39	43.88013
-0.25	45.80044
-0.07	47.69867
0.09	49.59691
0.29	51.64965
0.47	53.6803
0.67	55.711
0.85	57.8079
1.04	59.8606
1.24	61.9796
1.45	64.07645
1.66	66.1292
1.88	68.18195
2.08	70.27885
2.29	72.3095
2.5	74.27395
2.7	76.30465
2.94	78.1808
3.13	80.1011
3.36	81.9552
3.57	83.76515
3.8	85.53095
4.03	87.38505
4.27	89.30535
4.53	91.1815
4.78	92.90315
5.02	94.73515
5.27	96.4789
5.51	98.20055
5.79	99.9222
6.03	101.5115
6.28	103.1006
6.54	104.6457
6.78	106.257
7.05	107.7358
7.33	109.281
7.57	110.7157
7.83	112.1945
8.1	113.6734
8.36	115.0418
8.64	116.4766
8.88	117.823
9.17	119.2135
9.43	120.56
9.67	121.9064
9.95	123.2529
10.21	124.5331
10.48	125.8132
10.76	127.0935
11.03	128.3737
11.28	129.5435
11.57	130.7354
11.83	131.9274
12.1	133.0751
12.52	134.6643
12.93	136.0328
13.34	137.3571
13.82	138.7919
14.31	140.1163
14.78	141.2419
15.36	141.2198
16.01	129.7642
16.19	128.175
16.44	127.0493
16.97	126.0781
17.47	125.438
18	124.2461
18.34	123.0984
18.69	121.9726
19.2	120.4717
19.75	118.9487
20.25	117.7347
20.73	116.609
21.26	115.3288
21.79	113.9162
22.28	112.4594
22.79	111.113
23.31	109.6783
23.8	108.376
24.29	107.2503
24.78	106.0583
25.12	104.8664
25.34	103.7187
25.75	102.4826
26.21	101.379
26.71	100.2533
27.23	99.0393
27.75	97.89155
28.29	96.6996
28.83	95.61805
29.38	94.33785
29.93	93.14595
30.46	91.8878
30.99	90.82835
31.53	89.813
32.06	88.7535
32.37	87.1643
32.66	86.0386
33.11	84.22865
33.43	82.70565
33.85	81.35925
34.38	79.9466
34.95	78.79885
35.47	77.67315
36.03	76.54745
36.56	75.46585
37.08	74.36225
37.61	73.3469
37.98	72.0888
38.02	70.89685
38.03	69.61665
37.85	68.1599
37.66	66.7031
37.46	65.20215
37.24	63.635
37.03	62.0458
36.8	60.39035
36.56	58.6025
36.31	56.8146
36.06	55.09295
35.81	53.3713
35.56	51.76
35.31	49.99421
35.01	47.94147
34.84	46.74955
34.66	45.53557
34.47	44.36573
34.29	43.10759
34.11	41.8936
33.91	40.63547
33.72	39.33319
33.54	38.14128
33.34	36.86108
33.16	35.62502
32.85	33.66056
32.55	31.82854
32.26	29.90824
31.92	27.72306
31.72	26.57529
31.38	24.4784
31.08	22.82297
30.81	21.3441
30.42	19.31344
30.18	18.12152
29.79	16.39987
29.46	15.03137
29.1	13.44215
28.76	12.29438
28.48	10.94796
28.13	9.822265
27.79	8.47584
27.38	6.996985
26.94	5.429835
26.56	4.282065
26.23	3.17844
25.75	1.743727
25.28	0.08829
24.71	-1.611292
24.11	-3.156368
23.61	-4.304138
23.03	-5.58434
22.47	-6.79833
21.83	-7.990245
21.2	-9.115945
20.53	-10.17542
19.83	-11.19076
19.12	-12.20609
18.37	-13.15521
17.63	-13.97189
16.86	-14.74443
16.13	-15.45075
15.32	-16.06878
14.54	-16.73096
13.78	-17.43727
12.98	-18.16566
12.21	-18.93821
11.47	-19.77696
10.69	-20.65986
9.95	-21.71934
9.16	-22.88918
8.44	-24.14731
7.72	-25.51581
7.01	-27.08296
6.32	-28.7384
5.63	-30.6587
4.98	-32.62315
4.32	-34.74212
3.99	-35.86781
3.65	-37.05973
3.34	-38.27372
3.01	-39.46563
2.71	-40.74583
2.39	-41.9819
2.08	-43.30624
1.77	-44.6306
1.46	-45.95494
1.15	-47.34551
0.85	-48.69194
0.54	-50.1046
0.23	-51.5393
-0.11	-52.86365
-0.4	-54.29835
-0.71	-55.6889
-1.02	-57.1457
-1.32	-58.6025
-1.62	-59.99305
-1.93	-61.42775
-2.24	-62.79625
-2.57	-64.18685
-2.85	-65.5774
-3.15	-66.96795
-3.45	-68.3144
-3.76	-69.6608
-4.08	-71.0293
-4.4	-72.26535
-4.74	-73.5897
-5.03	-74.8258
-5.37	-75.9956
-5.69	-77.23165
-6.01	-78.3574
-6.33	-79.5493
-7	-81.73445
-7.67	-83.721
-8.34	-85.50885
-9	-86.9436
-9.65	-88.31205
-10.31	-89.52605
-10.97	-90.51935
-11.67	-91.336
-12.38	-91.71125
-13.08	-91.9982
-13.86	-91.84365
-14.62	-91.4905
-15.44	-90.56345
-16.27	-89.15085
-17.1	-88.1134
-17.92	-87.20845
-18.75	-86.2152
-19.58	-85.0012
-20.42	-83.7872
-21.25	-82.6615
-22.11	-81.44755
-22.94	-80.29975
-23.78	-79.24025
-24.61	-78.0263
-25.47	-76.79025
-26.34	-75.51005
-27.17	-74.36225
-28.05	-73.05995
-28.85	-71.9343
-29.6	-70.74235
-30.31	-69.77115
-30.99	-68.8662
-31.7	-67.96125
-32.42	-67.0121
-33.09	-65.95265
-33.81	-64.89315
-34.52	-63.94405
-35.26	-62.79625
-35.95	-61.67055
-36.63	-60.54485
-37.38	-59.5737
-38.02	-58.64665
-38.28	-57.36645
-38.31	-54.96055
-38.13	-53.74655
-37.95	-52.4884
-37.77	-51.2744
-37.56	-50.1708
-37.38	-48.93473
-37.23	-47.78696
-36.9	-45.49142
-36.66	-44.3878
-36.3	-42.1364
-36.15	-40.98863
-35.77	-38.78138
-35.44	-36.66242
-35.21	-35.5588
-34.82	-33.41777
-34.43	-31.34295
-34.09	-29.26814
-33.68	-27.14918
-33.26	-25.16265
-32.92	-23.30856
-32.53	-21.49862
-32.11	-19.84318
-31.69	-18.32018
-31.26	-16.7751
-30.9	-14.78858
-30.5	-12.89034
-30.1	-10.94796
-29.72	-9.115945
-29.39	-7.305995
-29.02	-5.65056
-28.65	-4.14963
-28.26	-2.803207
-27.89	-1.523003
-27.49	-0.2427975
-27.13	0.927045
-26.74	2.052742
-26.43	3.244658
-25.96	4.59108
-25.56	6.11408
-24.91	7.76952
-24.25	9.336665
-23.54	10.81553
-22.83	12.13988
-22.15	13.28765
-21.44	14.32505
-20.75	15.16381
-20.2	15.69355
-19.7	15.91427
-19.19	16.39987
-18.56	17.06204
-18.05	17.37106
-17.32	17.56971
-16.58	17.61386
-15.81	17.72422
-15.13	17.79044
-14.47	17.94494
-13.87	17.94494
-13.3	18.32018
-12.8	18.51883
-12.28	18.73956
-11.55	19.15893
-11.05	19.53416
-10.33	20.0639
-9.6	20.77022
-8.9	21.5869
-8.19	22.49187
-7.5	23.48514
-6.84	24.4784
-6.2	25.53788
-5.68	26.59736
-5.09	27.78928
-4.56	28.91497
-4.01	30.12896
-3.48	31.38709
-2.89	32.88802
-2.25	34.47725
-1.62	36.08854
-1.15	37.19216
-0.49	38.89175
-0.06	40.01744
0.4	41.14314
0.88	42.24677
1.32	43.41661
2.01	45.07204
2.73	46.63919
3.43	48.16219
4.13	49.66312
4.87	51.00955
5.39	51.8704
6.13	52.99605
6.89	54.12175
7.64	55.09295
8.14	55.73305
8.64	56.37315
9.16	56.925
9.68	57.43265
10.21	57.91825
10.74	58.40385
11.31	56.9029
11.52	59.04395
12.04	59.41915
12.57	59.83855
13.1	60.16965
13.63	60.47865
14.16	60.7656
14.7	61.0746
15.25	61.27325
15.77	61.44985
16.32	61.60435
16.87	61.7368
17.4	61.803
17.94	61.84715
18.51	61.8913
19.04	61.8913
19.6	61.8913
20.14	61.75885
20.7	61.67055
21.28	61.51605
21.85	61.3174
22.42	61.1408
22.96	60.89805
23.52	60.6111
24.06	60.32415
24.64	59.9489
25.21	59.5737
25.78	59.17635
26.34	58.8232
26.89	58.3597
27.48	57.91825
28.05	57.43265
28.63	57.01325
29.19	56.52765
29.77	56.02
30.34	55.6227
30.91	55.0488
31.49	54.5632
32.06	54.05555
32.66	53.5258
33.22	53.0402
33.79	52.46635
34.35	51.9145
34.94	51.4289
35.57	50.8109
36.13	50.3253
36.71	49.83971
37.25	49.35411
37.81	48.73608
38	47.63245
38.01	45.5135
37.83	44.25536
37.67	43.08552
37.49	41.95982
37.32	40.81205
37.15	39.70842
36.82	37.61154
36.66	36.50792
36.37	34.74212
36.11	33.10875
35.86	31.47539
35.57	29.66544
35.25	27.70098
34.92	25.64824
34.59	23.75001
34.32	22.11665
34.08	20.704
33.87	19.46795
33.61	18.03323
33.33	16.35572
33.06	14.92101
32.76	13.28765
32.51	12.16195
32.24	10.77138
31.97	9.579465
31.65	8.166825
31.23	6.687965
30.78	5.03253
30.38	3.686107
30.07	2.361758
29.74	1.037408
29.41	-0.220725
29.08	-1.368495
28.73	-2.494193
28.24	-4.06134
27.81	-5.2974
27.33	-6.577605
26.87	-7.76952
26.35	-8.89522
25.8	-10.04299
25.28	-11.01418
24.7	-11.91915
24.12	-12.82412
23.51	-13.66288
22.89	-14.3692
22.27	-15.07552
21.64	-15.71562
21	-16.24536
20.35	-16.84132
19.7	-17.37106
19.03	-17.76836
18.38	-18.20981
17.71	-18.65126
17	-18.7837
16.32	-18.84991
15.63	-18.84991
14.94	-19.00443
14.25	-19.15893
13.56	-19.31344
12.86	-19.55623
12.19	-19.86525
11.52	-20.17426
10.85	-20.5495
10.16	-20.99095
9.52	-21.49862
8.88	-22.09457
8.22	-22.64639
7.61	-23.30856
6.97	-24.01488
6.32	-24.85364
5.7	-25.73653
5.07	-26.59736
4.45	-27.54648
3.86	-28.53975
3.22	-29.57715
2.62	-30.59249
2.03	-31.65196
1.41	-32.75559
0.82	-33.88129
0.18	-34.94077
-0.42	-36.00025
-1.02	-37.14802
-1.65	-38.2075
-2.28	-39.26698
-2.86	-40.30439
-3.47	-41.29765
-4.11	-42.26883
-4.73	-43.17381
-5.36	-44.07878
-5.99	-44.89547
-6.62	-45.60178
-7.25	-46.35225
-7.91	-46.94821
-8.56	-47.54417
-9.22	-48.00769
-9.9	-48.51535
-10.58	-48.97888
-11.24	-49.28789
-11.93	-49.57484
-12.59	-49.83971
-13.28	-50.06045
-13.93	-50.2591
-14.43	-50.34735
-15.14	-50.5019
-15.82	-50.52395
-16.53	-50.67845
-17.23	-50.7447
-17.92	-50.67845
-18.62	-50.67845
-19.12	-50.6564
-19.79	-50.5681
-20.31	-50.43565
-21	-50.21495
-21.52	-50.1046
-22.22	-49.79556
-22.92	-49.53069
-23.69	-49.22168
-24.41	-48.78022
-25.13	-48.40499
-25.63	-48.22842
-26.14	-47.87525
-26.65	-47.56624
-27.4	-47.12479
-28.15	-46.63919
-28.65	-46.35225
-29.38	-45.80044
-29.91	-45.46935
-30.65	-45.00583
-31.4	-44.52023
-31.9	-44.145
-32.63	-43.68148
-33.15	-43.30624
-33.9	-42.7765
-34.42	-42.35713
-35.14	-41.87153
-35.64	-41.54044
-36.15	-41.12106
-36.9	-40.63547
-37.5	-40.14988
-38.06	-39.15662
-38.14	-37.87641
-37.94	-36.02232
-37.67	-34.32274
-37.37	-32.68938
-37.09	-31.12222
-36.86	-29.59922
-36.61	-28.03208
-36.34	-26.57529
-36.08	-25.05229
-35.8	-23.61757
-35.51	-22.20494
-35.27	-20.83644
-34.99	-19.4238
-34.72	-18.14359
-34.44	-16.81924
-34.16	-15.49489
-33.87	-14.3692
-33.4	-12.75791
-32.99	-11.19076
-32.7	-10.02092
-32.42	-8.674495
-32.12	-7.39429
-31.89	-6.1803
-31.63	-4.900095
-31.37	-3.575745
-31.14	-2.427975
-30.85	-1.302277
-30.65	-0.17658
-30.29	1.346423
-29.94	2.781135
-29.66	3.906832
-29.63	2.008598
-29.61	3.97305
-29.36	5.20911
-28.96	6.467245
-28.48	7.615015
-28.05	8.74071
-27.53	9.822265
-26.86	11.16868
-26.21	12.42682
-25.7	13.22143
-25.2	13.94982
-24.69	14.65614
-24.12	15.34039
-23.62	15.87013
-23.09	16.35572
-22.57	17.06204
-22.04	17.59178
-21.52	18.03323
-20.97	18.56297
-20.45	19.00443
-19.92	19.33551
-19.39	19.71074
-18.81	20.01976
-18.22	20.3067
-17.64	20.65986
-16.99	20.83644
-16.31	20.83644
-15.63	20.88058
-14.98	21.0351
-14.3	21.21167
-13.65	21.65312
-13.04	22.33737
-12.44	22.77882
-11.82	23.08784
-11.2	23.46307
-10.56	23.90452
-10	24.36804
-9.42	24.83156
-8.82	25.33923
-8.3	25.82483
-7.73	26.46493
-7.19	27.03881
-6.65	27.6127
-6.07	28.23073
-5.56	28.84875
-5	29.51093
-4.44	30.10689
-3.91	30.79114
-3.37	31.38709
-2.77	32.13756
-2.22	32.82181
-1.59	33.48398
-1.01	34.1903
-0.4	34.80833
0.19	35.47051
0.8	36.17683
1.41	36.81693
2.01	37.43496
2.64	38.05299
3.28	38.64895
3.89	39.17869
4.52	39.70842
5.16	40.21609
5.78	40.74583
6.42	41.23143
7.05	41.60667
7.69	42.04811
8.36	42.40127
9.01	42.73236
9.65	43.08552
10.3	43.48283
10.95	43.70355
11.61	43.94635
12.27	44.16707
12.93	44.3878
13.6	44.5423
14.27	44.60852
14.93	44.80717
15.58	44.85132
16.25	44.96168
16.92	44.96168
17.63	44.98375
18.3	44.98375
18.98	44.96168
19.66	44.85132
20.32	44.76303
21.01	44.67474
21.72	44.45401
22.39	44.23329
23.1	43.99049
23.8	43.68148
24.51	43.39454
25.22	43.08552
25.89	42.64407
26.58	42.29091
27.29	41.8936
28.01	41.43008
28.7	41.03278
29.4	40.59133
30.15	40.08366
30.82	39.62014
31.54	39.11247
32.26	38.56066
32.97	38.11921
33.67	37.56739
34.38	36.99351
35.1	36.50792
35.82	35.97818
36.51	35.40429
37.07	34.91869
37.59	33.74885
38.05	32.60108
37.97	31.47539
37.78	30.12896
37.54	28.62803
37.29	27.03881
37.04	25.58203
36.83	24.14731
36.59	22.80089
36.42	21.56483
36.13	20.01976
35.93	18.80577
35.68	17.43727
35.43	15.91427
35.2	14.65614
34.98	13.4863
34.76	12.09573
34.51	10.81553
34.28	9.55739
33.95	7.76952
33.7	6.467245
33.41	5.076675
33.1	3.79647
32.74	2.626627
32.18	0.6842475
31.82	-0.662175
31.51	-1.94238
31.13	-3.399165
30.67	-5.187035
30.32	-6.55553
29.96	-7.725375
29.59	-8.961435
29.21	-10.1975
28.77	-11.3232
28.09	-12.62547
27.36	-13.83946
26.63	-14.96515
25.87	-15.98049
25.35	-16.59852
24.83	-17.12826
24.32	-17.74629
23.78	-18.18774
23.25	-18.73956
22.71	-19.181
22.17	-19.68867
21.64	-20.0639
21.09	-20.48328
20.52	-20.90265
19.99	-21.27789
19.45	-21.65312
18.91	-21.96214
18.33	-22.35944
17.8	-22.66846
17.25	-22.99954
16.69	-23.33064
16.12	-23.55136
15.55	-23.41892
14.95	-23.55136
14.4	-23.61757
13.82	-23.72794
13.27	-23.99281
12.71	-24.08109
12.14	-24.32389
11.59	-24.58876
11.01	-24.78742
10.47	-25.14058
9.91	-25.42752
9.35	-25.73653
8.82	-26.04555
8.27	-26.42078
7.71	-26.7298
7.16	-27.17125
6.64	-27.54648
6.08	-27.94378
5.51	-28.38523
4.98	-28.78254
4.45	-29.20192
3.92	-29.66544
3.37	-30.04067
2.84	-30.48212
2.28	-30.9015
1.74	-31.32088
1.22	-31.7844
0.63	-32.18171
0.11	-32.60108
-0.45	-32.99839
-0.99	-33.41777
-1.55	-33.77092
-2.08	-34.1903
-2.63	-34.52139
-3.17	-34.87455
-3.74	-35.22771
-4.28	-35.49258
-4.83	-35.80159
-5.42	-36.06646
-5.96	-36.33133
-6.51	-36.55206
-7.08	-36.77279
-7.64	-36.99351
-8.21	-37.0818
-8.78	-37.23631
-9.37	-37.39082
-9.88	-37.50118
-10.45	-37.52325
-11.07	-37.58947
-11.67	-37.58947
-12.22	-37.56739
-12.77	-37.56739
-13.39	-37.56739
-13.94	-37.50118
-14.52	-37.36874
-15.12	-37.34667
-15.69	-37.23631
-16.28	-37.0818
-16.87	-36.97144
-17.52	-36.81693
-18.12	-36.66242
-18.7	-36.48584
-19.29	-36.30926
-19.89	-36.08854
-20.49	-35.80159
-21.08	-35.58087
-21.7	-35.316
-22.3	-35.02906
-22.9	-34.6759
-23.54	-34.36688
-24.15	-34.03579
-24.72	-33.66056
-25.36	-33.24118
-25.95	-32.88802
-26.57	-32.46864
-27.2	-31.93891
-27.87	-31.49746
-28.49	-31.03394
-29.06	-30.57041
-29.69	-30.10689
-30.36	-29.64337
-30.97	-29.15777
-31.59	-28.67218
-32.21	-28.20865
-32.84	-27.72306
-33.44	-27.19332
-34.08	-26.70773
-34.74	-26.22213
-35.36	-25.75861
-35.97	-25.22886
-36.62	-24.74327
-37.25	-24.23561
-37.88	-23.94866
-38.28	-22.77882
-38.2	-20.81437
-37.92	-19.15893
-37.57	-17.50349
-37.18	-15.49489
-36.83	-13.57459
-36.42	-11.63221
-35.99	-9.80019
-35.61	-8.166825
-35.16	-6.73211
-34.76	-5.231185
-34.4	-3.465383
-34.02	-1.743727
-33.68	-0.132435
-33.32	1.41264
-33.04	2.56041
-32.79	3.862688
-32.47	5.2974
-32.14	6.77626
-31.72	8.36548
-31.36	9.91055
-30.98	11.45562
-30.59	12.89034
-30.21	14.1264
-29.67	15.31831
-29.14	16.28951
-28.61	17.34899
-28.08	18.25396
-27.57	19.26929
-26.89	20.21841
-26.24	21.12338
-25.6	22.02835
-24.88	22.9554
-24.16	23.79416
-23.44	24.54462
-22.75	25.29509
-22.03	26.02348
-21.45	27.30368
-21	28.42938
-20.38	29.20192
-19.69	29.79787
-18.98	30.39384
-18.27	30.94564
-17.55	31.38709
-16.79	31.85062
-16.01	32.00512
-15.51	32.07134
-14.98	32.15963
-14.42	32.24792
-13.87	32.38036
-13.11	32.53487
-12.57	32.62315
-12.05	32.75559
-11.52	32.88802
-11	33.06461
-10.47	33.21911
-9.94	33.35154
-9.42	33.50605
-8.9	33.66056
-8.36	33.83715
-7.8	34.01372
-7.3	34.1903
-6.77	34.32274
-6.26	34.49931
-5.72	34.69797
-5.2	34.85248
-4.67	35.02906
-4.14	35.18356
-3.62	35.40429
-3.07	35.60294
-2.54	35.77952
-2.03	35.97818
-1.51	36.13269
-0.98	36.30926
-0.44	36.50792
0.12	36.61828
0.62	36.81693
1.16	36.92729
1.69	37.0818
2.21	37.25838
2.75	37.36874
3.27	37.45703
3.8	37.61154
4.34	37.7219
4.87	37.78812
5.43	37.89848
5.97	37.89848
6.48	37.9647
7.02	37.89848
7.57	37.94262
8.12	37.89848
8.66	37.94262
9.2	37.87641
9.75	37.83226
10.3	37.7219
10.86	37.61154
11.41	37.50118
11.96	37.41289
12.5	37.34667
13.07	37.19216
13.62	37.0818
14.18	36.92729
14.71	36.81693
15.25	36.66242
15.82	36.52998
16.37	36.35341
16.92	36.22097
17.48	35.97818
18.05	35.84574
18.6	35.5588
19.18	35.38221
19.73	35.11735
20.29	34.87455
20.86	34.63175
21.43	34.34481
22.01	34.05787
22.6	33.793
23.2	33.43984
23.79	33.10875
24.41	32.6673
25	32.24792
25.62	31.87269
26.23	31.47539
26.85	31.03394
27.47	30.63663
28.05	30.23932
28.61	29.79787
29.17	29.3785
29.76	29.11363
30.35	28.69425
30.92	28.29695
31.48	27.89964
32.04	27.54648
32.6	27.17125
33.19	26.79601
33.76	26.42078
34.31	25.97933
34.88	25.64824
35.43	24.89778
36.05	24.4784
36.66	24.14731
37.26	23.77209
37.8	23.24234
37.96	22.13872
37.88	20.99095
37.6	19.26929
37.38	17.90079
37.06	16.20122
36.86	15.03137
36.65	13.8836
36.39	12.3606
36.05	10.66101
35.67	8.74071
35.32	6.88662
35.01	5.27533
34.69	3.70818
34.42	2.582483
34.04	0.97119
33.67	-0.44145
