"Wight and Sozen, 1973, Spec. WS048E"	
9.7338	82.248
10.31	85.753
11.577	90.161
12.268	92.767
13.881	96.072
15.148	98.376
16.3	99.88
17.912	102.08
18.373	102.48
19.007	103.09
19.352	103.18
19.468	100.78
18.949	97.576
18.834	94.471
18.258	89.56
17.97	85.353
17.394	81.447
17.048	76.839
16.76	72.832
16.3	68.824
15.724	64.816
15.033	60.008
14.399	55.4
13.881	50.391
13.305	47.184
12.614	42.376
11.692	36.666
10.943	32.759
10.079	28.952
9.4458	25.646
8.697	22.039
7.8331	18.032
6.9116	14.025
5.9324	10.719
4.6078	6.712
3.2253	2.9052
1.9007	-0.50089
0.69116	-2.9052
-0.57597	-5.3096
-2.2462	-10.118
-3.1679	-13.123
-4.3198	-16.43
-5.4717	-19.535
-6.2205	-22.24
-7.142	-25.646
-8.0635	-30.254
-8.4666	-33.26
-8.697	-36.165
-8.8699	-39.07
-9.1577	-41.875
-9.4458	-45.681
-9.8489	-49.288
-10.195	-52.495
-10.367	-56.2
-10.598	-60.008
-10.713	-63.215
-11.001	-66.818
-11.346	-69.825
-11.75	-72.631
-12.326	-75.838
-13.132	-79.744
-13.996	-82.448
-15.321	-86.055
-16.3	-88.057
-17.682	-90.263
-18.661	-91.362
-19.352	-91.967
-19.756	-92.167
-20.043	-92.167
-20.101	-91.464
-20.101	-89.56
-20.216	-86.856
-20.159	-84.152
-19.928	-81.145
-19.583	-77.538
-19.237	-73.33
-18.776	-68.824
-18.316	-63.913
-17.797	-59.808
-17.106	-54.399
-16.472	-50.089
-15.781	-45.481
-15.263	-40.172
-14.629	-35.464
-13.823	-30.555
-13.189	-26.147
-12.383	-21.539
-11.519	-17.031
-10.137	-12.022
-8.985	-7.1128
-8.3515	-4.7087
-7.1996	-1.2022
-6.4508	1.2022
-5.2413	4.3078
-3.3406	10.419
-2.3614	13.725
-1.2671	18.533
-0.46078	22.039
0.86396	28.852
2.5342	36.265
3.571	39.371
4.6652	42.777
5.9324	47.687
6.9693	52.095
8.0635	56.903
9.1003	61.409
10.079	65.617
11.404	71.026
12.498	75.434
13.477	78.743
14.745	83.151
15.724	87.256
16.588	90.463
18.316	94.871
19.813	97.473
20.619	98.977
21.541	100.48
22.405	101.78
23.269	103.09
23.73	103.69
24.363	104.59
24.651	104.39
24.766	101.88
24.651	97.976
24.536	95.57
24.363	91.967
24.248	88.257
24.018	84.952
23.442	80.242
22.923	76.639
22.347	72.729
22.002	69.424
21.656	66.217
21.195	62.913
20.735	59.808
20.043	56.601
19.41	53.394
17.97	46.081
17.279	42.777
16.588	40.272
15.378	35.965
14.054	31.757
12.786	27.55
10.771	21.038
9.6761	17.832
8.6396	14.927
7.142	10.619
5.9324	7.5136
4.3774	3.907
2.8799	0.60106
1.1519	-3.1056
-0.46078	-6.4113
-2.3039	-10.719
-3.686	-14.827
-4.6078	-17.632
-5.7597	-21.138
-7.3147	-26.047
-7.8908	-29.453
-8.6396	-33.159
-9.1577	-35.864
-9.7914	-39.17
-10.367	-42.276
-11.116	-47.585
-11.98	-51.895
-12.786	-56.103
-13.996	-61.609
-14.745	-65.319
-15.551	-68.824
-16.127	-71.328
-16.876	-74.535
-17.625	-77.738
-18.373	-80.847
-19.237	-83.649
-20.389	-87.159
-21.195	-89.058
-22.347	-90.664
-23.384	-91.767
-24.19	-92.265
-24.651	-92.567
-25.112	-92.065
-25.227	-88.56
-25.227	-85.255
-25.054	-82.248
-24.939	-79.241
-24.594	-74.633
-24.363	-70.625
-24.19	-67.521
-24.018	-64.314
-23.614	-60.608
-23.269	-57.401
-22.693	-53.394
-22.174	-49.689
-21.311	-45.281
-20.562	-40.673
-19.871	-36.666
-18.949	-31.657
-18.143	-27.95
-17.221	-24.644
-16.185	-20.537
-15.09	-16.129
-13.938	-11.922
-12.614	-7.9143
-11.462	-4.1074
-10.655	-1.6029
-9.9642	0.60106
-9.0427	3.3059
-8.0635	5.9105
-7.1996	8.4152
-6.3932	10.519
-4.7805	14.827
-3.9741	16.73
-2.9375	19.335
-2.1311	21.639
-1.2095	24.344
-0.57597	26.147
0.11519	28.351
1.3823	31.356
2.7645	34.863
3.571	36.866
4.4348	38.87
5.3564	41.174
6.2779	43.979
7.0843	46.886
7.9482	50.089
8.6396	53.896
9.273	56.2
10.195	60.008
10.943	62.312
12.153	65.719
12.959	69.024
13.996	72.231
14.86	75.634
15.551	78.24
16.3	80.544
17.106	82.751
18.085	85.655
18.892	87.959
19.64	89.961
20.735	91.967
21.887	93.768
23.557	96.775
24.594	98.679
24.651	98.679
24.478	96.575
24.133	89.863
23.902	86.754
23.73	84.352
23.442	81.145
22.981	77.938
22.578	74.935
22.174	71.328
21.771	68.121
21.253	64.514
20.908	61.511
20.447	58.607
19.986	55.698
19.468	52.896
18.776	49.689
18.028	46.584
17.279	43.678
16.415	40.773
15.436	37.667
14.629	34.863
13.593	31.056
12.786	28.251
11.865	25.145
10.886	21.939
10.022	18.934
9.2154	16.63
8.4666	14.626
7.5451	12.422
6.6812	10.419
5.702	7.9143
4.6078	5.2095
3.5133	2.7049
2.419	0.30054
1.3823	-1.7031
-0.80635	-6.2112
-1.5551	-7.9143
-2.2462	-9.5169
-2.9375	-11.22
-3.7437	-13.725
-5.8748	-21.739
-6.3355	-24.043
-6.9693	-26.047
-8.2362	-29.954
-8.985	-33.46
-9.6761	-36.366
-10.655	-40.172
-11.289	-42.977
-12.095	-46.584
-12.786	-49.591
-13.823	-53.194
-15.666	-59.505
-16.703	-62.913
-17.97	-67.32
-18.776	-69.927
-19.64	-72.832
-20.792	-77.039
-21.944	-80.344
-22.693	-82.346
-22.981	-83.151
-23.73	-84.752
-24.075	-85.655
-24.363	-86.055
-24.882	-86.656
-24.939	-86.456
-24.882	-83.351
-24.651	-79.744
-24.19	-73.53
-24.075	-67.32
-23.499	-61.209
-22.693	-55.8
-22.002	-51.09
-21.08	-45.881
-19.813	-38.67
-18.892	-33.46
-17.452	-26.948
-16.185	-22.44
-15.263	-18.834
-14.169	-14.426
-12.786	-9.8176
-11.577	-6.0106
-10.022	-1.3023
-8.9273	2.3042
-7.6604	6.0106
-6.5085	9.1162
-5.1836	13.023
-3.8014	16.53
-2.4766	19.835
-1.0367	23.542
1.1519	31.056
2.6495	34.462
3.9741	37.768
5.2989	40.573
7.43	46.081
8.5242	49.889
9.3881	52.896
10.425	56.601
11.231	60.31
12.095	63.615
13.535	68.223
14.687	71.43
16.012	75.233
16.991	77.938
18.2	81.145
19.295	84.152
20.043	86.055
20.792	87.959
21.829	90.463
22.866	92.665
23.73	94.271
25.458	96.975
26.495	98.376
27.244	99.377
27.762	100.18
27.645	98.279
27.417	94.969
27.3	91.064
27.186	87.056
26.954	83.049
26.551	78.543
26.091	73.632
25.687	70.025
25.17	65.417
24.421	59.906
23.614	54.799
22.405	49.591
21.195	43.678
19.871	39.771
17.97	34.762
16.76	31.356
15.263	27.55
14.169	24.344
12.959	20.938
11.634	17.632
10.195	14.025
8.2939	9.9177
6.9693	7.5136
5.6444	4.9088
4.4348	2.4043
2.9949	-0.40072
0.057597	-5.8104
-0.63355	-7.5136
-1.5551	-9.6175
-2.3614	-11.521
-3.1102	-13.725
-3.8014	-15.828
-4.5502	-17.932
-6.0475	-21.238
-7.8908	-26.347
-9.6185	-32.458
-10.137	-34.662
-10.828	-37.567
-11.634	-40.974
-12.498	-44.88
-13.42	-47.887
-14.226	-50.689
-14.86	-53.496
-15.781	-56.903
-16.76	-60.106
-17.682	-63.415
-18.603	-66.618
-19.352	-69.327
-20.159	-71.43
-22.002	-76.136
-22.693	-77.938
-23.557	-80.344
-25.054	-83.849
-25.804	-85.353
-26.551	-86.754
-27.876	-89.058
-28.453	-89.961
-28.626	-90.161
-28.799	-88.96
-28.626	-86.456
-28.222	-82.248
-27.876	-77.337
-27.358	-70.928
-26.84	-66.017
-25.804	-58.304
-24.997	-52.896
-24.248	-47.487
-23.211	-42.075
-22.174	-36.466
-21.368	-32.959
-20.389	-29.052
-19.295	-24.744
-17.682	-19.034
-16.53	-15.127
-15.436	-11.421
-14.457	-8.3151
-13.074	-4.6081
-11.923	-1.4025
-10.771	1.5027
-9.3307	4.7087
-8.2939	7.2129
-6.8539	10.018
-5.6444	12.723
-4.1468	16.129
-3.1102	18.634
-2.0159	21.639
-0.63355	25.546
0.28799	28.251
2.0159	31.557
3.283	34.262
3.6286	34.762
5.8748	41.074
7.43	46.184
8.4666	50.191
10.079	55.097
10.771	57.103
12.441	61.209
13.65	64.919
14.802	68.521
15.897	72.431
17.048	75.634
17.97	77.84
19.18	80.344
20.389	83.049
21.368	84.752
22.52	87.256
22.923	88.057
23.96	89.961
24.766	91.162
25.514	92.465
26.205	93.466
27.186	94.769
27.704	95.37
28.049	95.472
28.28	93.67
28.108	90.361
28.049	88.057
27.818	84.952
27.186	81.047
26.378	76.439
25.631	72.729
24.997	68.424
24.306	64.616
23.73	60.809
23.039	56.601
22.29	52.193
21.311	48.087
20.216	43.178
19.18	39.271
18.028	35.363
16.76	31.056
15.148	26.247
13.938	22.741
12.383	18.834
10.54	14.626
8.985	10.919
7.6027	7.6136
6.1051	4.3078
4.3774	1.102
3.3406	-0.80144
1.9583	-3.2058
0.80635	-5.109
0.057597	-6.612
-1.1519	-9.3168
-2.6495	-12.222
-4.1468	-16.329
-4.6652	-17.832
-5.3564	-19.835
-6.5085	-23.342
-8.2939	-28.551
-8.8699	-30.455
-9.6185	-32.358
-10.425	-34.863
-11.231	-37.267
-12.153	-40.272
-13.017	-43.378
-14.169	-46.886
-14.745	-48.786
-15.378	-50.792
-16.127	-52.896
-16.588	-54.297
-17.337	-56.401
-19.064	-62.815
-19.871	-65.417
-20.908	-68.321
-21.887	-70.928
-22.808	-73.13
-23.384	-74.735
-23.96	-76.337
-24.939	-78.743
-25.977	-81.145
-26.84	-82.848
-27.935	-84.752
-28.74	-85.855
-28.913	-83.249
-28.509	-78.743
-28.108	-74.735
-27.704	-70.728
-27.127	-66.217
-26.495	-62.41
-25.514	-55.698
-24.882	-51.494
-23.845	-46.984
-23.154	-43.278
-22.405	-39.07
-21.426	-34.963
-20.562	-31.457
-19.756	-27.449
-18.892	-24.344
-17.797	-20.136
-16.472	-15.027
-15.493	-11.621
-14.514	-8.4152
-13.074	-3.907
-11.519	0.40072
-10.137	3.8068
-8.5242	7.7137
-6.8539	11.12
-5.414	14.326
-3.5133	18.233
-2.1311	21.338
-0.92154	24.444
-0.23039	26.247
1.1519	29.152
2.0735	31.557
2.9949	33.761
3.8014	35.464
4.6652	37.267
5.9324	40.473
6.9693	43.078
7.9482	45.583
9.3307	48.586
10.655	51.793
11.923	55.097
13.247	58.407
14.341	61.209
15.897	64.919
17.164	68.223
18.546	71.831
19.871	75.233
21.253	78.943
23.384	83.849
24.19	85.455
25.112	87.256
26.205	89.36
27.589	91.362
29.03	93.466
30.008	94.769
31.735	96.975
33.348	98.376
34.328	99.279
35.883	100.58
36.919	101.28
37.955	101.88
39.108	102.38
40.203	103.09
41.643	103.79
42.045	103.89
42.563	104.19
42.563	102.48
42.507	100.18
42.276	97.473
41.699	93.67
41.123	90.063
40.836	87.256
40.376	83.649
39.972	80.745
39.512	77.64
38.819	74.233
38.014	70.127
37.264	66.12
36.401	62.312
35.479	58.705
34.615	54.897
33.752	51.592
31.735	44.68
30.698	40.874
29.548	37.267
28.28	33.159
27.071	29.253
26.091	25.947
25.112	22.941
23.787	19.034
22.693	15.828
21.426	12.322
20.216	9.4169
19.122	7.2129
17.855	4.9088
16.645	2.805
15.609	1.5027
14.341	0.30054
12.268	-1.3023
10.483	-3.1056
8.9273	-4.508
6.2779	-7.313
4.8956	-8.6153
3.571	-10.419
1.9583	-11.922
0.34557	-13.925
-0.23039	-14.927
-1.5551	-16.73
-3.5133	-19.034
-4.3774	-20.437
-5.1836	-21.839
-5.9324	-23.642
-6.5085	-24.945
-8.1785	-27.65
-8.9273	-29.353
-10.137	-32.158
-11.231	-35.163
-12.095	-37.567
-12.902	-39.671
-13.938	-42.576
-14.802	-45.281
-15.666	-47.785
-16.53	-50.89
-17.394	-54.199
-18.258	-57.704
-19.237	-61.409
-21.541	-68.321
-22.52	-70.728
-23.499	-73.33
-24.594	-75.736
-25.86	-78.44
-27.244	-80.647
-28.567	-82.448
-29.949	-84.049
-31.907	-86.055
-33.406	-87.457
-35.537	-89.16
-37.437	-90.161
-39.568	-91.464
-41.295	-92.465
-42.276	-93.066
-42.794	-93.266
-42.794	-92.167
-42.794	-88.658
-42.736	-86.055
-42.217	-81.545
-41.758	-78.343
-41.412	-75.434
-40.95	-71.528
-40.376	-68.223
-39.281	-62.21
-38.705	-59.505
-37.955	-55.902
-37.15	-51.392
-36.459	-47.585
-35.768	-44.38
-35.019	-40.473
-34.097	-36.966
-33.002	-32.959
-32.197	-29.854
-31.161	-26.147
-30.122	-22.941
-28.857	-18.934
-27.991	-15.728
-26.84	-12.222
-24.478	-5.7103
-23.442	-3.1056
-22.405	-0.60106
-20.965	2.4043
-19.583	4.508
-17.682	7.2129
-15.666	9.7175
-14.341	11.421
-12.556	13.424
-11.75	14.526
-8.985	17.632
-7.3147	19.034
-4.8956	22.14
-3.4557	24.043
-1.6703	26.648
0.80635	30.455
2.7645	33.159
5.0109	36.666
6.1051	38.67
7.7178	41.374
9.4458	44.279
10.943	47.087
12.153	49.689
13.535	52.593
14.86	55.902
16.3	59.007
18.143	63.513
19.928	68.223
21.599	71.528
23.039	74.433
24.018	76.537
24.651	77.64
26.782	82.448
28.108	84.752
29.202	86.456
31.562	89.56
33.119	91.567
35.997	94.769
37.899	96.473
38.763	97.175
39.568	97.776
40.432	98.376
41.412	99.079
41.816	99.279
42.161	99.48
42.794	99.48
42.103	94.671
41.989	92.968
41.699	89.36
41.295	84.552
41.008	81.545
40.432	77.738
39.914	74.633
39.223	70.527
38.532	66.818
37.61	62.614
36.688	59.305
35.824	56.503
34.788	53.194
33.81	49.689
32.944	46.281
32.197	43.178
31.275	39.571
30.239	35.965
29.317	32.859
28.164	29.453
26.899	25.846
25.631	22.44
24.421	19.034
23.327	16.229
21.829	12.322
20.792	9.9177
19.352	6.9126
17.855	4.3078
16.703	2.5045
14.975	0.90161
13.247	-0.70127
11.577	-2.3042
8.4666	-5.109
7.0267	-6.4113
5.6444	-7.4135
4.1468	-8.6153
2.1311	-10.619
-0.28799	-14.626
-2.3614	-17.331
-3.4557	-19.234
-4.9533	-21.639
-6.6812	-24.344
-8.2362	-26.748
-9.3881	-28.551
-11.923	-34.362
-13.017	-36.766
-14.341	-39.771
-15.551	-42.376
-16.3	-44.279
-17.394	-47.184
-19.007	-50.89
-20.504	-54.799
-21.426	-57.602
-22.52	-60.408
-23.845	-63.415
-25.054	-66.12
-26.551	-69.122
-27.818	-71.43
-29.202	-73.935
-30.871	-77.137
-32.139	-79.041
-33.693	-81.145
-35.651	-83.049
-37.15	-84.45
-38.819	-85.655
-40.49	-86.754
-41.585	-87.457
-42.448	-88.057
-42.507	-86.055
-42.507	-82.848
-42.39	-79.441
-42.103	-75.838
-41.816	-72.031
-41.412	-68.824
-40.95	-65.119
-40.49	-62.312
-39.858	-58.607
-39.395	-55.6
-38.819	-52.295
-37.554	-45.783
-36.919	-42.677
-36.228	-39.571
-35.364	-36.065
-34.501	-32.759
-33.81	-30.655
-32.542	-26.748
-31.333	-23.042
-30.295	-20.136
-29.258	-17.131
-27.935	-13.324
-26.726	-9.6175
-25.514	-6.1111
-24.421	-3.1056
-21.311	2.7049
-19.64	5.3096
-17.279	8.3151
-15.263	10.519
-13.189	12.823
-11.289	14.927
-9.5034	16.93
-7.3724	19.234
-5.0686	21.338
-3.0526	23.442
0.51836	27.75
2.1311	30.154
3.7437	32.659
5.5293	35.163
7.257	37.768
10.54	43.078
12.153	46.281
13.938	49.488
15.666	52.793
17.279	55.902
19.064	59.608
20.101	61.809
21.541	64.718
22.981	67.721
24.709	70.625
26.149	73.33
28.108	77.039
30.122	80.544
31.62	82.751
33.233	85.255
35.133	87.959
36.632	89.663
38.072	90.761
39.858	91.567
41.412	92.065
42.276	92.465
42.563	92.567
42.563	91.567
41.699	85.655
41.412	83.249
40.95	79.944
40.317	76.136
39.568	71.728
38.646	67.022
37.841	62.312
37.092	59.105
36.17	55.902
35.133	52.193
33.81	47.887
32.598	43.979
31.275	39.571
29.662	34.662
28.509	31.256
27.127	26.548
25.458	22.14
24.075	18.533
22.462	14.426
20.965	11.12
19.122	7.7137
17.048	4.1074
15.205	1.8032
12.959	-0.10018
11.001	-2.0036
8.985	-3.7067
6.4508	-6.3113
4.2045	-8.7159
1.3823	-11.421
-0.34557	-13.424
-0.63355	-13.825
-1.9007	-14.827
-3.686	-16.93
-5.414	-19.535
-6.7389	-21.839
-8.985	-26.147
-9.9065	-28.151
-11.116	-30.655
-12.556	-33.56
-13.823	-36.165
-15.321	-39.671
-16.991	-43.378
-18.603	-47.184
-20.216	-50.489
-22.405	-54.497
-24.133	-57.802
-25.86	-61.311
-27.417	-64.216
-29.375	-67.823
-30.93	-70.527
-33.002	-73.53
-36.688	-77.738
-38.186	-79.441
-39.914	-81.047
-41.123	-82.146
-42.217	-82.751
-42.736	-82.951
-42.563	-81.447
-42.39	-78.743
-42.39	-76.136
-42.161	-73.632
-41.699	-70.527
-41.354	-68.121
-40.777	-63.713
-40.549	-62.112
-40.259	-60.31
-39.627	-56.903
-38.936	-53.296
-38.359	-50.191
-37.61	-46.482
-36.977	-43.478
-35.997	-39.371
-35.25	-36.366
-34.211	-32.558
-33.175	-29.353
-32.139	-26.347
-30.813	-22.541
-29.548	-18.834
-28.567	-15.528
-27.358	-12.222
-25.687	-7.8142
-24.421	-5.0089
-23.269	-2.2039
-20.447	3.7067
-19.064	5.8104
-16.818	8.8159
-14.226	11.621
-12.326	13.625
-10.31	15.828
-7.6027	18.233
-4.1468	22.44
-2.2462	24.845
0.80635	28.351
4.9533	33.26
7.3147	36.065
9.5034	38.87
11.865	42.276
13.823	45.281
15.954	48.688
17.855	51.695
19.813	54.897
22.117	58.607
24.018	61.912
25.631	64.919
27.244	67.721
28.567	70.025
29.776	72.329
31.333	75.033
33.233	77.938
35.479	80.945
37.381	83.049
38.705	84.352
40.663	86.055
41.585	86.856
42.217	87.256
42.736	87.959
42.448	84.752
41.816	80.847
41.412	78.04
41.181	75.336
40.663	71.528
40.145	67.623
39.395	63.615
38.014	57.602
37.092	53.496
35.883	48.688
35.019	45.08
32.83	37.467
31.679	33.761
29.835	28.651
28.509	25.045
27.244	21.438
25.804	18.032
23.845	13.424
22.232	9.7175
20.792	6.9126
18.834	4.1074
16.933	1.7031
15.148	0.30054
13.247	-1.0018
11.577	-2.3042
9.3307	-4.3078
7.0267	-6.3113
5.126	-7.9143
2.9375	-9.9177
1.9583	-10.819
0.17279	-12.422
-1.4399	-14.426
-3.8014	-17.131
-5.1836	-18.634
-6.9693	-20.838
-8.5819	-23.042
-11.174	-27.149
-13.132	-30.555
-15.033	-33.961
-17.221	-37.567
-19.18	-40.974
-21.253	-44.782
-22.981	-47.887
-24.766	-51.392
-26.436	-54.697
-28.049	-57.802
-29.604	-61.209
-31.275	-64.216
-32.83	-66.92
-34.501	-69.625
-37.955	-74.033
-39.972	-75.838
-41.239	-76.737
-41.699	-77.137
-41.585	-72.129
-41.354	-69.224
-41.123	-66.618
-41.067	-64.016
-41.008	-60.809
-40.836	-58.207
-40.376	-53.999
-39.972	-51.09
-39.454	-48.385
-38.763	-44.68
-38.014	-41.174
-37.206	-37.167
-36.459	-34.061
-35.768	-30.755
-34.615	-26.247
-33.637	-23.042
-32.426	-19.134
-30.93	-15.027
-29.721	-11.721
-26.954	-5.7103
-25.4	-2.6047
-23.96	0
-22.232	2.6047
-19.928	5.5097
-17.74	7.9143
-15.551	10.118
-13.247	12.623
-10.598	15.327
-8.1211	17.832
-5.9324	20.136
-3.9164	22.34
-1.4975	25.145
1.2095	28.151
3.5133	30.955
6.5659	34.762
8.9273	37.968
11.634	41.575
13.996	45.08
16.242	48.586
18.316	51.993
20.619	56.2
22.635	59.808
24.766	63.415
26.609	66.618
28.682	70.025
30.871	73.832
32.888	77.24
34.384	79.641
35.883	82.048
36.86	83.151
38.532	84.854
40.203	86.256
41.354	86.954
42.045	87.359
42.507	87.959
41.699	81.447
41.295	78.343
40.894	75.336
40.259	70.425
38.301	61.311
37.323	57.504
36.401	53.496
35.364	49.391
34.615	45.881
33.81	42.476
32.771	39.17
31.62	35.464
30.526	32.458
29.202	27.95
28.222	24.544
26.84	20.236
25.687	17.531
24.133	14.126
22.232	10.218
20.965	7.7137
18.949	4.9088
15.609	1.2022
13.996	-0.40072
11.75	-2.6047
9.5611	-4.508
7.9482	-5.7103
