"Nagasaka 82, Specimen HPRC 10 63"	
-4.6091	-31.963
-4.9827	-34.887
-5.3668	-37.307
-5.6469	-39.525
-5.7508	-40.332
-5.7821	-34.988
-5.6469	-29.543
-5.4186	-23.897
-5.1592	-19.057
-4.8478	-14.923
-4.5466	-11.192
-4.1626	-7.663
-3.7785	-4.8399
-3.3736	-2.6216
-2.7925	-0.10083
-1.0069	1.8149
0.14533	2.7224
0.97577	4.0332
1.7751	5.5458
2.3772	7.3606
3.1143	9.7807
3.5397	11.696
4.443	19.158
4.8166	22.889
5.2941	27.526
5.6469	31.055
6.1349	35.694
6.5606	39.021
6.8202	40.937
7.3391	41.945
7.6505	40.433
7.6609	35.391
7.4948	27.123
7.2042	18.755
6.8616	12.2
6.5606	6.6547
6.1971	2.3191
5.8651	-0.10083
5.4808	-2.9241
4.9827	-5.1423
3.8928	-6.0497
2.7508	-6.3522
1.6505	-6.6547
0.68511	-7.764
-1.1522	-9.0748
-2.1384	-12.2
-2.699	-15.125
-3.4153	-18.855
-3.9238	-21.174
-4.557	-25.107
-5.4394	-32.064
-5.9896	-36.097
-6.4567	-39.223
-6.986	-42.349
-7.3078	-42.147
-7.3703	-39.223
-7.3599	-35.694
-7.2042	-31.459
-6.6332	-21.578
-6.1453	-14.116
-5.8961	-9.9822
-5.5951	-6.6547
-5.1902	-3.4282
-4.858	-1.1091
-4.4844	0.30249
