"Umehara and Jirsa, 1982, Spec. CUS"	
1.2394	-22.422
0.30602	-19.687
-0.78034	-18.047
-1.7749	-19.687
-2.7694	-18.594
-3.9169	-18.594
-5.0952	-14.766
-6.2581	-15.312
-7.0536	-16.953
-8.3696	-17.5
-8.7521	-19.687
-9.3335	-24.609
-10.19	-33.906
-10.94	-41.562
-11.889	-51.953
-12.593	-56.877
-11.766	-44.297
-10.864	-30.078
-9.3182	-8.203
-8.7368	2.1875
-8.2931	13.125
-6.0284	4.375
-4.575	5.4688
-2.7849	2.1875
-1.3159	0.54688
0.015301	0
1.3006	0
2.3869	-1.0938
3.3355	-1.6406
4.1925	-1.6406
5.3858	-6.5626
6.1051	-5.4688
6.9924	-2.1875
8.2471	3.8281
9.0274	6.5626
9.7925	9.2968
10.405	12.578
10.864	13.125
11.629	20.781
12.317	25.703
13.128	32.265
13.863	39.922
14.582	46.486
15.133	51.406
13.817	29.531
12.96	16.953
12.164	3.2812
11.231	-14.218
10.42	-27.344
10.068	-33.359
8.3236	-31.719
6.9159	-30.078
5.6614	-28.984
4.4679	-27.89
3.1214	-26.25
1.7902	-22.969
0.81095	-21.328
-0.26012	-19.687
-1.2394	-18.594
-2.0809	-18.594
-3.1519	-18.594
-4.0853	-18.594
-4.682	-17.5
-6.0897	-15.312
-7.1303	-16.406
-7.9563	-17.5
-8.7521	-18.594
-9.6548	-22.969
-10.588	-26.25
-11.17	-28.984
-12.195	-37.734
-13.082	-44.297
-13.771	-50.311
-14.49	-56.329
-15.285	-61.796
-13.924	-43.75
-12.822	-24.062
-11.904	-9.8439
-11.062	1.6406
-10.145	16.406
-9.2111	15.859
-8.4155	14.218
-6.4417	10.938
-4.6055	6.0155
-2.9225	2.1875
-1.423	0
0	0
