"Sugano 1996, No.UC15H"	
4.466486665	167.75
3.998265208	125.5
3.60457709	91.5
3.118549923	50.5
2.783195487	24.25
2.477410029	1.75
1.993423039	-34.75
1.595301683	-63.5
1.206092888	-90.25
0.773955763	-119.25
0.443070143	-141.25
0.02025	-169
-0.411885115	-197.25
-0.834705957	-223.75
-1.21054792	-245.5
-1.615551941	-268
-2.038378941	-289.75
-2.38709239	-300.25
-2.819241884	-318.25
-3.176872776	-326
-3.61591782	-339.25
-4.01406146	-345.5
-4.304471277	-347.5
-4.612706545	-352
-5.049346898	-352.5
-5.51273075	-349
-6.169751552	-344
-6.163270335	-301.25
-5.965189366	-283.75
-5.650046872	-256
-5.451971733	-239.25
-4.986159042	-199.5
-4.549519997	-155
-3.975988459	-106.5
-3.431226495	-65.25
-3.431226495	-65.25
-2.958972645	-27.75
-2.56043763	-2.5
-2.207267702	21.5
-1.773099176	49.25
-1.142912457	87.75
-0.573885311	120.5
0.004455	152
0.648000448	183.5
1.251048223	214.75
1.845190341	242.5
2.106015376	251.5
2.466069687	266.5
2.830582331	281.75
3.253421684	297.75
3.629283686	308.75
4.029857721	313.75
4.405730761	321.5
4.828595305	329.25
5.256329037	333.75
5.703920444	335.75
6.06848283	335.75
5.974100934	309.75
5.67718617	281.75
5.220279153	245
4.644299887	199.75
4.032287916	152.5
3.498865505	114
2.812356615	63.25
2.250198755	27
1.835875185	1
1.226343036	-37
0.562545293	-75
-0.089910001	-110.5
-0.632205416	-138.25
-1.237683121	-168.5
-2.01812853	-206.25
-2.513456137	-223.75
-3.042001336	-242.5
-3.636169135	-262
-4.036743274	-273.25
-4.421527281	-284
-4.857758682	-294
-5.283062703	-297.75
-5.722148382	-301.25
-6.108990244	-302
-5.940480043	-263.5
-5.832326539	-253
-5.656932958	-237.25
-5.312631801	-207.5
-4.666577271	-153.75
-4.072791201	-106.75
-3.44945256	-61
-2.562867709	-4.5
-2.250198755	12.25
-1.935101928	35
-1.151822515	81.5
-0.528930244	115.5
-0.044955	140.25
0.801090846	180.25
1.440184917	210.5
2.155426483	238.25
2.42313842	245.25
2.895789971	265.5
3.314174919	281.25
3.690037704	292.25
4.135571423	298.25
4.450690114	304.5
4.880441338	312.5
5.321543045	319
5.67718617	320.25
5.974100934	317.5
6.604404131	319
6.930502881	318
7.283750991	315.5
7.803917192	312.75
8.083049151	310.75
8.112218593	287
7.731805711	254.75
7.090516709	205.75
6.610885528	166.75
5.974100934	119.5
5.321543045	74.75
4.648755362	32.75
4.090612667	0.25
3.447022417	-35.25
2.771855055	-69.5
2.101560278	-100
1.372549256	-134.5
0.740340668	-160.75
-0.081000001	-189.5
-0.737910661	-214.5
-1.440184917	-237
-1.961832429	-252.75
-2.66169104	-266.5
-3.188213344	-276.25
-3.649535011	-280.5
-4.059020077	-285.25
-4.48876387	-290.75
-4.828595305	-291.75
-5.517186419	-279.5
-6.160839879	-277.5
-6.689877777	-276.25
-6.934958938	-273.5
-7.28172546	-267.75
-7.947736233	-259.75
-8.235784351	-255
-8.23132786	-220.25
-7.986223293	-198.5
-7.641869476	-171.25
-7.207186147	-138.5
-6.700815198	-93.5
-6.241855262	-58.75
-5.769136041	-26.25
-5.370960019	-2.25
-4.965906566	22.5
-4.374137755	56.5
-3.658445598	91.5
-2.902675257	125.5
-2.216177917	153
-1.615551941	175.75
-0.827820934	199.75
-0.121500003	223.5
0.787320803	248.25
1.631347146	268.75
2.495230573	280.25
3.208464367	288.5
3.941965826	294.5
4.475397544	292.75
4.934312744	292.25
5.312631801	291.5
5.737945943	289.75
6.098053233	289
6.572807359	285.5
6.8924239	281.75
7.306436951	276.5
7.828629645	274.5
8.121131492	272.5
8.033218177	245.25
7.695750119	218.5
7.23230261	185.75
6.716613709	150.5
6.124788163	111.75
5.519616784	74
4.882871624	38
4.511446138	17
4.146912383	1.25
3.424746119	-35.25
2.832607411	-63
2.042834033	-95.25
1.356754111	-121
0.681615521	-142.5
0	-162
-0.78286579	-179.5
-1.556826211	-196.5
-2.405317907	-213.75
-3.131915567	-220.75
-3.44945256	-222
-4.090612667	-216
-4.736244875	-218.25
-5.253898706	-217.25
-6.09116697	-215.75
-6.570376841	-213.5
-6.982355269	-211.75
-7.297524605	-207.75
-7.837542345	-203.25
-8.170557683	-201
-8.136931647	-165.75
-7.869141966	-139.75
-7.500079351	-111.75
-6.950757698	-72.5
-6.453307331	-38.5
-6.08428071	-15.5
-5.827870792	-1.75
-5.258354314	30.25
-4.605820823	71.5
-4.038768438	100
-3.361562526	132.25
-2.580688291	162.5
-2.01812853	180.75
-1.323138813	199.25
-0.5670003	218
-0.072090001	225.75
0.843615988	243.25
1.611096884	248
2.45918448	243.5
3.044431447	239.75
3.678696944	242.75
4.027427527	243.75
4.705056443	241
5.161546339	238.5
5.661388663	237.25
6.149497758	233
6.574832791	231
6.971012544	229.25
7.353834524	222.5
7.797030123	219.5
8.148275359	213.5
8.618643598	208.5
9.09105649	204
9.453685408	198.25
9.854414785	189.75
10.16722953	181.25
13.79213622	-2.25
13.69322406	-1.5
