"""Thompson and Wallace, 1994, B2"""	
0.21082	-15.027425
-0.96012	-27.16395118
-2.10058	-36.93802718
-3.24358	-46.08757296
-4.23672	-50.24132173
-4.8895	-48.74805394
-4.3815	-40.65762958
-4.15036	-37.453576
-3.92938	-34.54844286
-3.71348	-31.56190728
-3.41884	-28.00555459
-2.48666	-18.31288103
-1.30302	-7.588665026
-0.13208	1.778398756
1.01346	13.86021181
2.23266	23.28109907
3.2766	31.2905658
4.06654	36.82904577
4.826	41.90624522
5.59816	45.57157932
6.34238	47.17338371
6.67766	47.90645053
6.93166	48.36817587
7.19836	48.80232224
7.1374	45.81578666
6.84784	41.499233
6.6167	38.40416083
6.0198	30.50323069
4.79806	18.09580785
3.57378	7.805738211
2.4257	-0.013789485
1.30556	-7.67006747
1.08966	-8.56593918
1.12776	-7.968543099
1.12522	-8.022811396
0.06858	-18.52995422
-1.13284	-27.97842045
-2.33934	-36.36776525
-3.41122	-42.72071448
-4.37896	-48.39531001
-4.84378	-47.03771296
-3.90652	-34.11429649
-3.35026	-28.5753717
-2.90576	-23.11829418
-2.43078	-18.28574689
-1.93548	-13.61600448
-1.47066	-9.407542593
-0.84074	-4.059001663
0.28702	6.01354997
1.46812	16.19508302
2.6416	24.44875708
3.79476	31.3448341
4.56692	35.66183258
5.35178	40.03309936
6.15188	43.58945205
6.79196	46.19610955
7.04596	47.2819203
7.28472	47.96071882
7.07136	44.21398227
6.81482	40.71189788
6.07568	30.93782188
5.32638	23.28109907
4.56438	16.33075376
3.40868	6.93700065
2.27838	-1.343807564
1.2446	-7.561530878
1.10998	-8.321731847
1.1176	-8.049945544
1.12522	-8.185616284
-0.127	-19.94181957
-1.70434	-31.80655944
-3.24612	-41.28171499
-4.32308	-46.92917637
-5.31876	-51.35471145
-6.3373	-54.23271043
-7.01548	-54.36838117
-7.36092	-54.6668568
-7.20598	-51.92497338
-7.12216	-50.45883974
-7.02056	-48.69378564
-6.91896	-47.41803586
-6.83514	-46.2232437
-6.75386	-44.94704909
-6.65988	-43.75270176
-5.70992	-32.32210825
-4.15798	-18.7470274
-2.51206	-8.403134291
-0.91948	0.991063639
0.67818	12.28554158
2.30886	23.06402589
3.80492	31.42623654
5.19684	37.83389889
6.25602	43.67129931
7.26948	47.5537066
8.37184	49.86144366
9.11098	50.64877877
9.68502	51.0015227
9.22782	43.91550664
8.6868	37.20936867
8.12038	31.07349262
7.55142	26.15909806
7.05612	21.70642884
6.5532	17.06382058
5.24764	8.403134291
3.8989	1.39807586
2.26822	-6.01354997
1.17094	-11.00934698
1.16586	-10.71087135
1.17348	-10.73800549
0.29464	-17.7968874
-1.34366	-28.76575556
-2.97942	-37.91530134
-4.6355	-44.91991495
-6.30174	-51.08292514
-6.78688	-45.59871347
-5.30606	-28.98282875
-3.68554	-15.4620162
-2.03708	-6.285336273
-0.42672	3.190264101
1.18872	14.86462012
2.8448	24.50302538
4.56438	33.02804093
6.31952	40.35870913
8.12038	46.65783489
9.5123	48.12352371
7.81812	28.27689607
6.18744	14.18582159
4.52374	4.629263595
2.90068	-3.108861657
1.35636	-10.05920697
1.17348	-10.38481675
0.8382	-13.50702307
-1.2319	-27.48956096
-3.2639	-38.24091111
-5.39496	-47.06484711
-7.49808	-54.17844214
-9.69264	-55.80738067
-9.19226	-46.60312177
-8.79348	-41.68917203
-8.38708	-36.88375889
-8.04164	-33.65257115
-7.87146	-32.21357166
-7.69874	-30.58463313
-7.49808	-29.09136534
-6.69798	-22.41236151
-4.69138	-11.11788357
-2.48666	-2.32152654
-0.47244	6.556677754
1.65608	18.82887467
3.76936	29.22703608
5.98424	38.37702668
8.19658	46.19610955
10.48766	51.273309
11.80084	40.82043447
11.41222	36.82904577
11.2395	34.54844286
11.04646	32.53962626
10.8585	30.77457217
10.65276	28.41256682
10.41654	26.83789658
9.72566	21.08234343
8.46328	11.6338772
7.18058	5.742208489
5.9055	-0.040923633
4.6228	-3.597276323
3.24358	-7.452549463
1.56464	-12.88293766
1.23698	-13.64313863
1.20142	-13.88734596
-0.38608	-23.39008048
-2.44348	-33.84251019
-4.5847	-41.79770863
-6.74116	-47.96071882
-8.93572	-52.98364998
-8.67918	-38.86544134
-6.72338	-21.65216054
-4.6482	-10.05920697
-2.44094	-1.669862163
-0.36068	6.746616791
1.77038	18.04109473
3.94716	26.94643317
6.22554	34.84736331
8.50392	41.20031255
10.76706	45.51731103
12.18692	45.8429208
11.36904	33.19129064
10.08126	21.48935565
8.83666	12.12273669
7.54634	5.796476785
5.74548	-1.181002676
3.48742	-7.968543099
1.47574	-13.99588255
1.28778	-14.13155329
1.2827	-13.61600448
0.88392	-16.4121562
-1.62306	-30.04150535
-4.1783	-40.25017254
-6.80466	-47.11911541
-9.47928	-52.73944264
-12.13866	-52.2777173
-11.24712	-38.51269742
-10.30224	-29.68876142
-9.32942	-22.7926844
-8.32358	-15.89660739
-6.79704	-9.434676741
-4.67868	-2.647136317
-2.61112	2.430063132
-0.54102	9.516079185
1.53416	19.1816186
3.48488	26.34948192
5.46354	32.21357166
7.4676	37.10083207
9.50214	41.30884914
11.50366	43.8883725
13.5636	44.94704909
14.62532	44.24111642
14.6685	40.71189788
14.1478	34.46704042
13.63218	29.0099629
13.09624	24.2316839
12.59078	20.4578132
12.07008	16.14081472
11.54684	13.18141329
10.9982	9.59748163
8.76046	0.773990454
6.08838	-6.638080198
3.2512	-12.50261476
1.42494	-16.6839425
1.34366	-16.4664245
-0.02286	-22.95548929
-2.54	-33.02804093
-5.25526	-40.1687701
-7.91972	-45.59871347
-10.6172	-49.45398661
-11.51636	-40.79330032
-9.10336	-20.83769127
-6.51002	-7.995677248
-3.85826	-0.637874891
-1.24206	6.583811902
1.32334	17.11808887
4.01066	26.59368925
6.78942	33.08230922
9.6012	38.02383793
12.40536	41.52636715
14.6812	40.46724573
12.13612	17.22662547
9.57326	3.434471434
6.91388	-4.602129447
4.13004	-10.60233475
1.61798	-16.62967421
1.35636	-16.6839425
1.35382	-16.33075376
1.36144	-16.08654642
1.35636	-15.70622353
0.1778	-21.8425444
-3.22834	-34.82022917
-6.82752	-43.04676908
-10.52322	-47.93358467
-14.34846	-50.21418758
-17.25676	-48.66665149
-17.05356	-42.04191596
-16.40332	-34.54844286
-15.65656	-28.00555459
-14.66596	-21.08234343
-13.62456	-14.59327863
-12.3952	-9.706018222
-10.96518	-5.606537748
-9.51484	-2.158276829
-8.08736	0.692143188
-6.6421	3.407337286
-4.70154	6.719482643
-2.47142	10.3034143
-0.27686	14.24008989
1.80086	22.49376395
3.98018	28.46683511
6.22554	33.02804093
8.2169	36.0145765
10.47242	38.8383072
12.6873	40.46724573
14.99616	42.77498278
16.84528	42.53077545
18.39722	41.90624522
19.59864	41.30884914
19.61388	35.09157065
18.63598	25.42603124
17.6657	17.93255814
16.68018	11.66101135
15.70736	6.231067977
14.73708	2.32152654
12.98956	-2.728538761
10.81786	-8.10421384
8.61314	-11.11788357
6.35508	-13.56173618
3.37058	-17.49841177
1.51892	-20.67488639
1.45288	-20.29456349
1.43256	-20.4035449
-1.3208	-29.52595653
-4.19354	-36.61197258
-7.23138	-40.46724573
-10.22096	-43.86123835
-13.27658	-46.44031688
-16.31696	-47.5537066
-16.01978	-30.74743802
-13.2715	-13.12714499
-10.21334	-3.515873878
-7.34314	2.402928984
-4.39166	6.828464057
-1.45288	10.84654209
1.43256	20.4578132
4.37388	27.70663414
7.3787	32.83810189
10.45972	35.96030821
13.50518	38.64836816
16.65986	39.97883106
19.84756	39.89742862
17.53616	16.6839425
14.69644	1.995471941
11.84148	-6.068263088
8.81126	-11.30826743
5.7023	-14.62041278
2.64922	-18.69275911
1.4605	-20.75628883
1.4478	-20.24029519
0.94996	-22.19528832
-3.30708	-34.73882672
-7.76986	-41.47209885
-12.41806	-45.05558569
-16.99514	-47.11911541
-21.54936	-45.89763392
-25.27046	-43.53518375
-26.44394	-42.85638522
-27.50058	-41.66203789
-26.5303	-30.88355358
-25.47366	-21.70642884
-24.34336	-15.92374154
-23.35276	-9.896402081
-20.88896	-0.66500904
-15.72006	8.267018729
-9.96696	12.12273669
-4.31038	15.84233909
1.17094	25.42603124
6.78942	33.65257115
12.4968	37.20936867
18.39468	38.48556327
22.0599	37.18223452
22.28596	35.0644365
19.3294	13.67027278
17.84858	3.135995805
13.62964	-6.529543606
7.89432	-14.89175426
2.35966	-20.1860269
1.50622	-21.08234343
1.50368	-20.86482542
1.50622	-20.70202053
1.50368	-20.26742934
1.49352	-20.1860269
1.45542	-20.70202053
1.47574	-20.1317586
-2.30124	-30.96495603
-9.73328	-39.76131305
-17.36344	-43.18243982
-24.60498	-42.36797056
-28.65628	-40.79330032
-31.87192	-39.40856913
-33.68802	-38.56696571
-34.96056	-37.88816719
-36.23564	-37.58924674
-37.55898	-36.50343599
-37.35324	-28.41256682
-36.20262	-18.09580785
-35.04692	-10.95507868
-33.86074	-4.411745588
-32.64662	1.561325571
-31.4452	5.389464564
-30.22854	8.538805032
-28.97886	11.14501772
-26.6192	14.51187619
-22.7203	17.68835081
-16.6751	19.48009423
-10.43686	20.43067905
-4.29768	23.47148293
1.6002	30.69316972
5.17144	33.24555893
10.07618	36.47630184
14.94536	37.53497844
20.02028	37.37217355
15.21206	2.837075354
4.48056	-15.62482108
