"Azizinamini et al., 1988, Spec. NC-2"	
5.9218	228.8
6.6352	252.44
7.4915	281.42
9.1323	322.61
10.559	357.69
11.701	382.1
13.128	411.08
14.412	445.38
15.625	453.03
16.695	459.88
16.766	443.87
16.196	427.86
15.197	396.59
14.055	362.27
13.056	332.52
12.129	311.93
11.344	294.39
10.845	285.24
9.4892	251.68
8.4902	225.75
7.5626	201.34
6.5639	169.31
5.5649	141.86
4.7803	121.27
4.2095	103.72
3.5674	85.419
3.0678	66.351
2.5684	46.522
0.92751	0
0.21404	-32.795
-0.071346	-61.778
-0.85616	-92.283
-1.9264	-124.31
-2.9253	-157.87
-3.8527	-190.67
-4.9941	-218.12
-6.1359	-244.05
-7.4201	-271.51
-9.1323	-308.88
-10.417	-331.76
-11.701	-352.35
-13.556	-378.28
-15.482	-404.21
-16.909	-417.18
-15.768	-387.43
-14.769	-354.64
-14.126	-335.57
-12.628	-302.01
-10.916	-266.17
-9.7031	-240.24
-8.2047	-209.73
-6.9919	-183.04
-5.7076	-147.19
-4.5662	-116.69
-3.2819	-82.368
-1.641	-41.184
-0.49941	-12.965
0.57076	12.965
1.641	54.911
2.2831	83.894
2.9964	115.16
3.7813	145.67
4.7089	173.89
5.9931	207.45
7.1346	240.24
8.2047	268.46
9.4892	297.44
10.987	329.47
13.056	369.9
14.126	392.77
15.054	411.08
15.768	424.81
16.267	433.96
15.197	399.64
14.126	366.08
13.342	341.67
12.486	316.51
11.201	290.57
9.9172	263.12
8.9896	242.53
7.8481	203.63
6.9919	179.23
6.0645	151.77
4.9941	120.5
3.7813	85.419
2.6398	51.099
1.7123	22.88
0.92751	-0.76265
-0.14269	-53.385
-0.92751	-82.368
-2.2117	-123.55
-3.4247	-160.92
-4.9228	-198.29
-6.5639	-237.95
-8.2047	-270.75
-9.9172	-298.96
-11.558	-324.9
-12.985	-347.02
-14.769	-375.23
-16.41	-404.98
-14.769	-356.16
-13.698	-327.19
-12.129	-295.15
-10.773	-261.6
-7.206	-187.62
-5.779	-145.67
-4.4234	-110.59
-2.6398	-70.167
-0.99885	-30.507
0	-2.288
0.71346	13.728
-1.2129	-32.795
0.21404	-1.5254
0.99885	21.355
1.9264	53.385
2.7112	83.129
3.2819	114.4
4.0668	144.91
4.7803	169.31
6.0645	208.21
7.1346	239.48
8.2047	264.65
8.9182	282.19
10.987	324.9
12.771	362.27
13.984	386.67
15.411	414.13
16.481	433.2
17.837	454.54
20.12	461.44
23.116	465.22
25.114	466.77
25.185	437.01
23.616	399.64
22.403	368.37
21.332	339.39
20.548	321.08
19.335	293.63
17.694	258.54
16.196	218.89
14.341	184.57
12.842	151.01
11.344	123.55
10.488	106.01
7.9195	62.539
5.2083	15.254
3.9954	-2.288
2.5684	-35.083
1.1416	-69.402
-0.071346	-99.911
-1.9977	-144.91
-4.4234	-189.14
-7.206	-240.24
-9.5603	-290.57
-11.059	-320.32
-12.343	-346.25
-14.055	-373.71
-15.839	-395.82
-18.407	-417.94
-22.331	-426.33
-24.472	-428.62
-23.758	-402.69
-22.546	-357.69
-21.618	-329.47
-19.264	-282.19
-17.623	-245.58
-14.769	-195.24
-12.486	-152.54
-9.8458	-105.25
-5.7076	-48.812
-2.8539	-6.8642
-1.855	3.8133
0.14269	57.201
1.4983	91.522
2.8539	123.55
3.924	146.43
5.9931	197.53
7.8481	234.14
10.06	266.93
11.558	290.57
13.056	311.17
14.198	329.47
15.34	345.49
18.407	382.1
21.475	414.13
22.831	427.86
22.474	400.4
21.975	376.76
21.761	353.11
21.261	333.28
20.334	311.17
19.049	282.19
17.837	253.21
16.909	231.85
15.411	202.87
13.627	169.31
12.129	141.86
10.916	118.21
9.4892	91.522
8.1336	67.876
7.0632	48.047
5.779	22.88
4.2095	-0.76265
2.9964	-28.219
1.9977	-48.812
-0.21404	-100.67
-1.7123	-131.18
-3.924	-182.28
-6.9919	-232.61
-8.9896	-257.02
-11.13	-282.19
-12.771	-304.31
-15.482	-337.86
-17.195	-358.46
-18.622	-375.23
-21.475	-388.96
-23.402	-401.17
-24.686	-407.26
-23.544	-374.47
-22.403	-341.67
-20.191	-298.2
-18.193	-255.49
-16.124	-214.31
-14.126	-176.18
-12.7	-147.96
-11.273	-118.21
-10.773	-108.3
-7.0632	-62.539
-4.0668	-22.117
-2.2117	1.5254
-0.85616	32.032
2.069	104.48
4.5662	165.5
7.206	218.89
10.987	269.98
13.413	303.54
14.983	324.13
17.765	358.46
20.048	382.1
22.189	406.5
23.758	426.33
27.041	443.11
29.68	456.05
32.106	448.45
33.462	444.64
31.75	398.11
30.323	360.74
29.108	329.47
27.61	297.44
26.114	263.88
24.686	233.38
23.188	205.16
20.762	157.87
19.264	133.47
18.336	118.98
15.625	80.082
11.844	32.795
9.1323	-1.5254
6.2073	-41.184
3.5674	-77.03
0.42807	-118.21
-1.7837	-154.82
-3.7813	-183.8
-6.5639	-218.89
-9.0609	-250.16
-11.487	-282.95
-13.77	-314.98
-15.268	-333.28
-18.55	-356.93
-21.975	-382.1
-24.329	-398.11
-27.396	-421.75
-29.822	-415.65
-32.819	-411.08
-31.605	-372.18
-29.822	-334.05
-28.181	-297.44
-26.612	-264.65
-24.686	-227.28
-21.618	-173.13
-19.62	-139.57
-17.908	-112.11
-15.125	-77.791
-12.058	-44.996
-8.633	-11.44
-5.9218	15.254
-4.0668	41.947
-2.2117	65.59
-0.99885	83.129
2.069	132.71
4.5662	171.6
6.5639	205.92
7.3487	217.36
10.274	250.16
13.484	283.71
16.41	314.98
18.122	335.57
19.121	346.25
22.189	368.37
25.185	392.01
27.539	408.03
28.966	418.7
29.751	424.81
31.963	427.09
33.104	427.86
32.606	411.84
31.534	375.99
30.607	353.11
29.822	335.57
28.966	314.22
27.826	289.81
26.827	266.17
25.756	243.29
24.971	226.51
23.473	196.77
21.689	163.98
20.262	136.52
18.907	113.64
16.695	84.654
14.341	52.624
12.272	25.931
8.9182	-14.491
6.1359	-48.812
3.3533	-78.556
0.85616	-111.35
-0.85616	-139.57
-2.1404	-160.16
-3.1392	-174.65
-5.1369	-205.16
-7.0632	-227.28
-9.6317	-252.44
-12.129	-274.56
-14.483	-296.68
-17.195	-322.61
-18.764	-337.86
-20.476	-345.49
-25.256	-366.84
-29.893	-385.91
-32.606	-398.87
-31.821	-378.28
-30.038	-337.1
-28.539	-303.54
-26.827	-269.22
-25.043	-237.19
-22.902	-198.29
-21.475	-169.31
-19.477	-133.47
-18.193	-109.83
-16.695	-86.18
-15.696	-69.402
-12.343	-51.099
-8.2761	-27.456
-3.2819	2.288
-2.4971	31.269
-1.2842	70.928
-0.28539	102.96
1.2129	123.55
4.4234	165.5
6.9205	202.11
8.9896	233.38
9.9172	245.58
12.771	276.09
15.268	301.25
17.837	326.42
20.048	343.2
24.258	372.18
26.683	390.49
28.468	402.69
30.749	411.84
34.745	428.62
38.1	442.35
40.096	437.77
42.167	431.67
40.952	398.11
38.74	341.67
36.815	302.01
33.604	233.38
31.178	186.09
28.753	139.57
27.254	118.21
24.686	85.419
22.902	61.013
20.833	35.846
18.122	6.1013
17.266	-2.288
15.197	-19.829
11.701	-47.287
8.9182	-69.402
6.4925	-89.231
3.3533	-112.11
-0.78481	-161.68
-3.0678	-189.9
-6.6352	-224.99
-9.4892	-251.68
-12.343	-279.13
-14.555	-298.2
-17.195	-316.51
-18.55	-326.42
-21.119	-338.63
-24.258	-356.16
-26.899	-372.18
-31.392	-393.54
-32.535	-400.4
-35.387	-398.87
-38.313	-398.11
-41.737	-394.3
-40.81	-369.13
-39.954	-340.91
-38.313	-308.88
-36.744	-282.19
-35.032	-249.39
-32.319	-202.11
-30.109	-166.26
-28.395	-139.57
-26.683	-112.11
-23.402	-83.129
-20.904	-56.436
-18.764	-35.846
-16.481	-12.965
-14.626	6.1013
-11.629	26.693
-8.7043	48.812
-6.1359	72.453
-3.9954	91.522
-1.9264	107.53
0.42807	135.75
2.4258	161.68
6.4211	207.45
8.3475	228.04
13.27	263.88
16.909	293.63
19.977	314.98
21.119	322.61
24.115	341.67
28.395	367.6
31.107	382.86
33.533	397.35
35.245	407.26
38.598	410.31
41.095	416.42
42.167	416.42
40.952	381.33
39.312	342.44
38.242	319.56
36.957	293.63
35.745	268.46
35.032	248.63
33.175	212.02
31.605	180.75
30.323	155.58
28.895	130.42
27.826	111.35
25.756	89.231
24.044	69.402
22.26	46.522
20.476	23.643
19.192	7.6265
18.265	-0.76265
17.551	-5.3385
15.34	-25.168
13.413	-41.184
11.344	-57.962
8.9896	-75.505
6.2784	-96.86
4.6375	-111.35
3.2106	-123.55
1.1416	-144.15
-0.35674	-159.4
-1.7837	-173.89
-5.0655	-198.29
-8.3475	-225.75
-11.558	-246.34
-13.913	-260.07
-15.982	-273.04
-18.764	-289.05
-23.544	-318.03
-26.398	-331.76
-29.395	-347.02
-32.677	-362.27
-36.243	-374.47
-39.027	-380.57
-42.022	-386.67
-40.81	-356.93
-40.526	-344.72
-37.315	-289.81
-34.247	-233.38
-32.748	-203.63
-30.82	-167.79
-29.467	-139.57
-27.968	-112.88
-25.114	-85.419
-22.403	-59.488
-19.049	-29.744
-16.695	-6.8642
-15.553	3.0507
-12.2	28.981
-9.4178	51.859
-5.9931	83.129
-3.0678	107.53
-2.4258	112.11
0.99885	145.67
3.2819	169.31
6.778	208.21
9.3464	235.66
12.058	252.44
16.552	279.13
20.405	305.07
22.902	320.32
25.684	335.57
29.108	353.11
32.535	371.42
36.03	389.72
39.954	407.26
41.951	417.18
45.09	417.18
50.229	414.89
49.444	364.55
48.801	339.39
47.302	308.12
45.448	272.27
43.95	242.53
42.238	208.97
40.31	174.65
38.313	138.04
37.099	115.92
34.961	92.283
32.177	58.727
29.964	33.557
27.325	1.5254
23.83	-20.592
20.191	-44.235
17.195	-63.299
12.985	-89.996
9.2037	-112.11
5.2083	-138.04
0.85616	-169.31
-2.1404	-195.24
-9.4892	-243.29
-14.769	-271.51
-19.834	-298.96
-25.328	-324.9
-27.539	-336.34
-31.963	-347.02
-37.099	-359.22
-40.381	-366.84
-42.38	-372.18
-46.091	-375.23
-49.444	-378.28
-50.442	-379.81
-50.157	-361.5
-49.87	-336.34
-47.587	-297.44
-45.09	-261.6
-42.309	-222.7
-40.81	-191.43
-38.527	-152.54
-36.101	-110.59
-32.177	-77.791
-28.895	-48.812
-22.046	7.6265
-17.195	38.896
-12.2	74.74
-6.2784	118.98
-1.2842	154.82
8.2761	226.51
12.486	253.21
16.41	275.32
20.904	295.92
25.542	321.08
29.822	340.15
34.531	363.03
38.527	376.76
41.951	390.49
44.092	400.4
46.375	401.17
48.943	399.64
50.3	398.11
49.657	368.37
49.014	329.47
47.445	302.01
46.091	274.56
44.234	236.43
42.238	198.29
40.239	159.4
38.74	133.47
38.171	120.5
36.459	101.44
34.105	70.928
31.463	38.896
29.395	12.203
28.468	0.76265
24.329	-32.032
21.761	-51.859
19.62	-68.642
16.41	-88.471
11.701	-118.21
7.7053	-142.62
3.7813	-167.02
0.71346	-186.09
-0.071346	-191.43
-4.9228	-218.12
-9.6317	-241.77
-13.413	-263.88
-15.982	-276.09
-19.763	-295.92
-23.259	-313.46
-26.754	-328.71
-27.897	-333.28
-32.248	-346.25
-35.817	-357.69
-39.383	-367.6
-41.237	-370.66
-44.948	-375.99
-48.659	-379.81
-49.657	-381.33
-48.943	-356.93
-48.087	-330.23
-47.16	-305.83
-46.304	-276.09
-44.234	-241
-42.451	-211.26
-40.739	-180.75
-39.169	-151.77
-36.957	-109.83
-33.746	-82.368
-30.323	-52.624
-27.468	-25.931
-25.114	-0.76265
-21.332	23.643
-16.98	51.859
-12.058	83.129
-7.2774	115.16
-2.5684	145.67
3.5674	183.04
10.06	222.7
16.124	250.92
21.19	276.85
26.612	303.54
31.392	326.42
35.387	343.96
37.884	352.35
41.595	360.74
45.59	373.71
49.301	384.38
53.223	397.35
56.291	395.82
58.788	393.54
58.788	363.03
58.575	338.63
56.007	286
54.008	247.1
52.583	219.65
50.229	177.7
48.588	146.43
46.66	113.64
44.092	82.368
41.595	54.911
39.741	32.795
37.813	9.9146
37.099	1.5254
33.104	-25.931
28.824	-59.488
25.542	-83.129
24.115	-93.808
21.19	-111.35
18.122	-128.89
14.269	-148.72
11.13	-163.98
7.9195	-178.46
3.0678	-203.63
0.21404	-218.89
-0.99885	-224.22
-5.5649	-241
-9.2037	-257.78
-12.771	-273.04
-16.98	-288.29
-18.622	-294.39
-22.974	-313.46
-26.97	-330.23
-28.395	-334.81
-31.605	-339.39
-35.674	-347.02
-39.883	-353.88
-44.092	-360.74
-47.874	-366.84
-51.656	-375.99
-54.867	-382.1
-58.362	-385.91
-57.434	-353.88
-57.076	-336.34
-55.151	-297.44
-53.081	-260.83
-51.44	-230.33
-49.228	-189.9
-47.16	-157.87
-44.092	-109.06
-42.451	-91.522
-38.242	-52.624
-33.889	-9.9146
-32.962	0
-28.753	23.643
-24.186	47.287
-19.549	72.453
-11.558	119.74
-6.4925	144.91
-2.1404	170.07
2.1404	190.67
3.924	200.58
10.488	228.04
16.267	253.21
20.904	269.98
25.114	286
28.611	298.2
31.679	309.64
35.674	325.66
39.027	337.86
41.88	345.49
47.302	354.64
52.367	363.03
56.149	369.9
59.431	376.76
59.86	363.03
60.002	336.34
59.289	317.27
57.577	282.95
55.435	239.48
53.795	204.39
51.798	170.84
50.584	150.24
49.157	126.6
48.588	115.16
46.017	82.368
42.664	43.472
40.168	11.44
39.24	0
36.815	-15.254
33.462	-40.421
30.109	-67.876
26.327	-95.334
23.402	-116.69
19.763	-132.71
15.625	-151.01
11.416	-169.31
7.5626	-184.57
2.8539	-205.16
-0.99885	-222.7
-3.4247	-231.09
-7.5626	-248.63
-11.844	-263.88
-17.195	-280.66
-22.26	-297.44
-27.539	-312.69
-33.604	-331.76
-35.888	-337.86
-41.88	-346.25
-45.306	-349.3
-48.943	-356.16
-52.367	-360.74
-55.435	-365.32
-58.003	-368.37
-58.077	-347.78
-58.077	-310.4
-56.792	-286
-54.295	-236.43
-52.438	-202.11
-48.443	-138.8
-46.876	-110.59
-42.38	-68.642
-38.669	-34.32
-35.103	0
-30.607	26.693
-23.116	70.928
-18.265	97.62
-15.839	112.88
-11.701	130.42
-7.4915	147.19
-3.8527	164.74
4.5662	200.58
11.844	229.56
17.908	250.16
22.831	265.41
28.324	285.24
33.033	300.49
38.384	314.98
42.451	329.47
45.448	337.1
51.727	347.02
57.076	353.88
63.071	362.27
66.352	365.32
66.637	349.3
66.85	337.86
65.71	303.54
64.353	276.09
63.284	249.39
62.073	227.28
60.574	199.06
58.29	154.06
57.005	130.42
55.222	102.96
51.511	59.488
48.372	21.355
46.589	0
45.59	-2.288
42.951	-24.405
39.883	-49.573
37.315	-67.876
34.889	-86.18
30.749	-118.21
26.043	-135.75
21.475	-154.06
14.769	-177.7
9.2751	-195.24
5.5649	-208.97
2.2831	-220.41
-0.85616	-230.33
-4.2807	-239.48
-9.2037	-257.02
-15.839	-272.27
-21.761	-288.29
-29.253	-307.36
-34.247	-321.84
-40.096	-337.1
-47.945	-338.63
-52.083	-340.15
-57.506	-341.67
-61.501	-343.96
-64.569	-347.02
-67.137	-347.78
-67.78	-331.76
-66.352	-305.83
-64.64	-269.22
-62.499	-220.41
-60.145	-177.7
-56.078	-110.59
-53.01	-81.607
-49.657	-51.099
-46.446	-23.643
-42.736	11.44
-37.099	41.184
-32.606	69.402
-28.252	92.283
-24.757	112.11
-15.553	139.57
-8.9182	160.16
-3.6386	179.23
1.4269	196.77
4.7803	208.21
14.555	234.14
22.759	252.44
32.034	273.04
39.383	290.57
47.945	311.93
55.293	331.76
57.577	334.81
61.999	328.71
66.779	324.13
66.424	297.44
65.923	257.78
64.569	227.28
62.286	183.8
60.858	154.82
59.431	126.6
58.788	113.64
56.934	92.283
53.866	52.624
51.511	22.117
49.586	0
43.736	-41.184
38.74	-79.317
33.675	-117.45
27.539	-134.99
19.906	-160.16
13.128	-179.99
6.1359	-202.11
-0.28539	-222.7
-8.5616	-242.53
-15.268	-253.21
-20.619	-263.12
-24.329	-273.8
-33.104	-275.32
-42.38	-276.85
-51.511	-276.09
-60.93	-279.13
-64.996	-279.9
-67.493	-278.37
-68.278	-228.04
-69.776	-147.19
-67.993	-122.79
-65.639	-86.18
-62.215	-44.996
-59.36	-12.203
-58.003	4.5761
