Saatcioglu and Grira1999 Column BG-6	
-9.997932	-57.38959271
-9.498337	-51.24018845
-8.998742	-46.40007295
-8.499146	-41.55995745
-7.999552	-37.65012766
-7.499957	-31.63853495
-6.983134	-22.69294225
-6.483539	-21.19497264
-5.983944	-13.2883465
-5.484349	-7.621306991
-4.984754	-6.881355623
-4.485158	1.059725836
-3.985563	4.969555015
-3.485968	13.46191489
-2.986373	15.78681459
-2.486778	18.86971429
-1.987183	21.81480851
-1.487588	27.13729483
-0.9879924	34.18254103
-0.4883973	39.78066869
0.01119782	44.10396353
0.510793	50.39119149
1.010388	57.33306991
1.509983	58.72768389
2.009578	65.66954407
2.509173	71.47440729
3.008769	73.07574468
3.508364	79.01841945
4.007959	82.30808511
4.507554	87.63057751
5.007149	89.23191489
5.506744	96.03598784
6.00634	100.7382371
6.505935	105.9229179
7.00553	107.5587234
7.505125	112.5021884
8.004721	118.2381763
8.504315	121.0798784
9.003911	123.1979939
9.503506	130.1743465
10.0031	131.9134954
10.5027	136.9603647
11.00229	137.9759271
11.51911	141.3398176
12.00148	145.9678419
12.50108	149.6364742
13.00067	154.3043161
13.50027	155.80231
14.01709	158.3736778
14.51668	162.9037082
15.01628	165.5041945
15.51587	169.1384195
16.01547	171.3254711
16.51506	174.8218237
17.01466	178.1803647
17.51426	182.9860182
18.01385	186.1033435
18.51344	187.4979331
19.01304	191.0976292
19.51264	191.9754407
20.01223	190.7858359
20.51183	196.5218237
21.01142	199.2945897
21.51101	202.0329483
22.01061	205.0813374
22.51021	204.1329483
23.0098	208.0427964
23.5094	210.229848
24.00899	211.3488146
24.50859	212.1231611
25.00818	214.9303951
25.50778	217.6342857
26.00737	216.0312462
26.50697	216.8056535
27.00656	217.8556839
27.50616	216.5282675
28.00575	214.0294225
28.50535	216.5265653
29.00494	213.7520365
29.50454	215.4911246
30.00413	215.4386018
30.50373	211.9405471
31.00332	214.8511246
31.50292	215.8322188
32.00251	217.0545289
32.50211	218.3457143
33.00171	219.2923404
33.5013	221.134772
34.00089	205.336231
33.46684	155.6594529
32.98448	155.0282067
32.48488	154.5638906
31.98529	153.7551368
32.50211	153.6044985
31.98529	147.6220669
31.48569	141.8862006
30.96887	134.870152
