"Zahn et al. 86, Specimen 8"	
-11.257	-14.241
-9.7267	3.0516
-8.1968	18.648
-6.5573	34.923
-5.4646	48.826
-2.7323	73.574
-1.6393	88.155
-0.32786	101.72
0.54646	111.89
1.7486	123.76
3.1694	138.34
5.4646	164.44
6.776	178.35
8.3061	192.25
9.9454	206.15
11.913	221.75
13.989	234.97
16.393	248.19
18.579	255.31
20.984	260.06
23.825	265.15
26.012	266.5
30.82	268.88
35.847	268.88
37.048	268.53
37.267	268.2
37.485	263.45
37.267	256.33
37.158	247.85
36.502	231.58
35.956	221.75
34.099	197.33
33.879	188.86
33.005	180.04
31.803	164.44
30.383	150.2
29.18	139.36
26.886	119.01
23.06	90.53
21.53	79.339
19.563	66.796
17.596	54.59
15.738	41.366
13.989	29.837
12.678	20.004
11.366	10.85
8.8524	-6.7814
6.776	-20.683
5.1366	-33.906
3.4973	-46.112
2.1858	-55.604
0.65573	-66.115
-1.9672	-86.798
-3.8252	-100.7
-8.3061	-129.52
-11.585	-148.51
-14.535	-168.51
-16.503	-177.33
-18.579	-187.5
-20.656	-198.01
-22.841	-208.52
-24.809	-218.01
-26.667	-227.17
-29.18	-238.7
-31.366	-246.84
-33.551	-253.28
-38.252	-257.35
-46.34	-259.04
-50.493	-258.7
-54.646	-256.67
-58.362	-254.63
-60.437	-253.62
-60.218	-240.05
-59.891	-229.54
-59.563	-217
-58.798	-205.81
-57.813	-191.23
-56.721	-176.65
-55.519	-164.44
-54.209	-150.2
-52.677	-133.93
-51.148	-122.4
-49.726	-108.16
-48.197	-95.614
-45.903	-79.001
-43.607	-64.42
-41.311	-48.145
-39.563	-37.296
-35.41	-10.172
-33.879	0.33906
-31.257	14.58
-28.306	30.177
-25.682	44.078
-22.514	61.031
-20.219	72.898
-17.268	87.817
-14.098	103.41
-11.475	116.98
-6.9947	137.32
-1.3115	160.03
1.7486	172.92
4.8087	186.48
9.7267	204.11
16.066	223.44
22.514	240.73
29.289	253.96
34.099	260.4
33.769	248.53
33.442	235.98
32.24	209.2
30.82	187.84
28.524	165.8
26.777	149.19
24.918	133.93
20.874	100.36
17.158	74.593
11.585	36.619
7.9781	15.936
5.1366	0.67814
1.6393	-17.292
-1.53	-34.245
-5.3551	-53.234
-9.0711	-68.828
-12.131	-84.427
-17.814	-111.89
-24.262	-140.03
-30.602	-165.12
-35.301	-181.4
-37.595	-189.53
-39.781	-196.32
-42.078	-202.76
-44.044	-208.52
-47.104	-217
-49.726	-222.42
-53.332	-229.21
-56.721	-234.29
-59.891	-238.02
-64.699	-240.39
-64.153	-221.41
-63.934	-206.83
-63.497	-191.57
-62.078	-171.56
-60.764	-153.93
-59.454	-138.68
-57.925	-125.45
-55.41	-108.5
-53.114	-90.868
-51.039	-75.612
-48.961	-61.707
-46.121	-43.739
-38.58	-1.6953
-31.694	32.55
-25.464	60.012
-17.377	95.952
-7.1039	138
-4.0437	149.19
-0.21858	165.46
3.2786	180.04
8.4153	198.35
13.661	216.32
19.126	231.92
25.027	244.8
31.257	256.67
37.485	263.45
42.296	266.5
47.432	268.88
50.056	268.2
50.274	260.74
50.383	245.14
50.056	229.88
49.507	213.95
48.306	196.65
46.886	178.35
45.027	162.75
42.515	139.69
40.109	121.72
37.267	105.45
35.41	94.6
32.677	79.677
30.056	65.439
26.995	50.52
22.076	27.803
17.049	5.0858
12.787	-11.189
9.1803	-24.412
5.1366	-38.653
-2.9507	-65.777
-7.541	-79.677
-11.038	-90.868
-14.645	-102.74
-22.295	-129.86
-26.667	-145.8
-31.476	-160.72
-37.376	-176.31
-41.311	-185.81
-45.027	-193.94
-48.524	-201.06
-52.459	-208.18
-55.301	-213.61
-58.143	-217.68
-62.733	-224.46
-67.104	-228.87
-71.148	-230.9
-75.192	-232.59
-78.471	-231.92
-81.859	-230.9
-89.398	-226.49
-93.99	-223.1
-99.235	-218.36
-103.72	-212.59
-108.85	-204.45
-109.07	-183.77
-108.85	-164.1
-108.2	-149.52
-107.21	-133.93
-104.92	-112.57
-102.3	-94.258
-100.44	-78.325
-98.143	-64.758
-95.628	-49.84
-92.895	-35.94
-89.837	-20.344
-85.136	0
-81.638	14.241
-77.048	31.872
-72.349	48.488
-68.087	60.693
-60.328	82.052
-55.629	94.258
-49.289	108.5
-43.061	120.71
-36.83	131.55
-27.541	147.83
-21.639	159.36
-11.803	178.69
-0.43716	202.42
8.1968	220.73
12.241	228.52
18.689	239.04
24.153	244.8
31.039	251.58
39.345	253.96
43.825	253.62
48.415	248.53
48.415	239.72
47.978	227.85
47.76	219.03
47.432	209.2
44.917	175.63
43.17	159.02
40.983	140.37
38.689	124.09
36.393	109.86
33.99	96.971
31.476	82.39
29.398	71.542
27.869	64.42
30.602	50.858
28.743	39.331
26.558	29.837
